subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Weimar_Classicism,Membership:has_group,war and highway commissions,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar,Locale_by_use:has_theme,nearby Ilmenau,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar,Locale_by_use:has_theme,University,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Text:has_text,poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar,Temporal_collocation:has_theme,1791,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar,Measure_duration:has_theme,years,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar,Ordinal_numbers:has_type,novel,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Anna_Amalia,_Abbess_of_Quedlinburg",Leadership:has_theme,managing,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Anna_Amalia,_Abbess_of_Quedlinburg",Leadership:has_theme,theatre at Weimar,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Subjective_influence:has_theme,German language,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar_Classicism,Membership:has_location,http://en.wikipedia.org/wiki/Weimar,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar,Measure_duration:has_theme,ten,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar_Classicism,Cause_emotion:has_time,1782,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar_Classicism,Membership:has_group,Duke's privy council,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Anna_Amalia,_Abbess_of_Quedlinburg",Leadership:has_leader,director,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar_Classicism,Cause_emotion:has_theme,http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Performing_arts:has_theme,plays,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar,Locale_by_use:has_theme,mines,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Giving:has_recipient,planning of Weimar's botanical park and the rebuilding of its Ducal Palace,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar,Temporal_collocation:has_theme,he was made managing director of the theatre at Weimar,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Objective_influence:has_theme,"literary, political, and philosophical thought in the Western world",0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar,Locale_by_use:has_theme,silver,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Objective_influence:has_degree,wide-ranging,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar_Classicism,Membership:has_time,During his first ten years in Weimar,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Participation:has_event,Sturm und Drang literary movement,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Activity_start:has_location,http://en.wikipedia.org/wiki/Weimar,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar,Locale_by_use:has_theme,Jena,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Residence:has_location,http://en.wikipedia.org/wiki/Weimar,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Labor_product:has_theme,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar_Classicism,Membership:has_member,http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Text_creation:has_text,German language,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Text_creation:has_text,"wide range of works, including plays, poetry and aesthetic criticism, as well as treatises on botany, anatomy, and colour",0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Objective_influence:has_theme,His work,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar,Personal_success:has_theme,"his first novel, The Sorrows of Young Werther (1774",0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar,Death:has_time,1805,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Subjective_influence:has_entity,writer,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Text:has_text,treatises,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Execute_plan:has_location,http://en.wikipedia.org/wiki/Weimar,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Inclusion:has_theme,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar_Classicism,Becoming:has_entity,http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,0.9,Unknown,True
http://en.wikipedia.org/wiki/Germany,Increment:has_class,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar_Classicism,Cause_emotion:has_agent,"Karl August, Duke of Saxe-Weimar",0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Dimension:has_theme,wide,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Text:has_theme,"botany, anatomy, and colour",0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Categorization:has_item,who,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar,Ordinal_numbers:has_type,ten years,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar_Classicism,Becoming:has_time,During his first ten years in Weimar,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Dimension:has_object,range,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Leadership:has_theme,whose plays,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Execute_plan:has_plan,series of administrative reforms at the University of Jena,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar,Buildings:has_theme,theatre,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Temporal_subregion:has_theme,18th century,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Execute_plan:has_time,During his first ten years in Weimar,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Activity_start:has_activity,"friendship with the dramatist, historian, and philosopher Friedrich Schiller, whose plays he premiered until Schiller's death in 1805",0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Participation:has_time,early,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Posture:has_location,war and highway commissions,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Categorization:has_category,as the most influential writer in the German language,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Relative_time:has_theme,participant in the Sturm und Drang literary movement,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Leadership:has_location,http://en.wikipedia.org/wiki/Weimar,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Objective_influence:has_time,late 18th century to the present,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Giving:has_theme,"http://en.wikipedia.org/wiki/Karl_August,_Grand_Duke_of_Saxe-Weimar-Eisenach",0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar_Classicism,Becoming:has_location,http://en.wikipedia.org/wiki/Weimar,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Diversity:has_group,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Ordinal_numbers:has_type,"major scientific work, the Metamorphosis of Plants",0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Text:has_text,poetry,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Anna_Amalia,_Abbess_of_Quedlinburg",Leadership:has_location,http://en.wikipedia.org/wiki/Weimar,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar_Classicism,Becoming:has_theme,member of the Duke's privy council (1776–1785),0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar,Thriving:has_entity,intellectual and cultural environment,0.9,Unknown,True
http://en.wikipedia.org/wiki/Germany,Reference_text:has_theme,Goethe (disambiguation) and Gote (disambiguation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Inclusion:has_theme,"plays, poetry and aesthetic criticism, as well as treatises on botany, anatomy, and colour",0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar,Text:has_text,Sorrows of Young Werther,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Posture:has_theme,During his first ten years in Weimar,0.9,Unknown,True
http://en.wikipedia.org/wiki/Weimar,Death:has_theme,Schiller's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Temporal_subregion:has_theme,late,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Arriving:has_theme,1788 tour of Italy,0.9,Unknown,True
