Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,be the inventor of the detective fiction genre,has category,Categorization
http://en.wikipedia.org/wiki/University_of_Virginia,http://en.wikipedia.org/wiki/Edgar_Allan_Poe,has theme,Becoming_a_member
http://en.wikipedia.org/wiki/John_Allan_(colonel),1829,has time,Death
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,http://en.wikipedia.org/wiki/Boston,has location,Being_born
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,"Edgar Allan Poe  né Edgar Poe ; January 19, 1809 – October 7, 1849",has author,Text_creation
http://en.wikipedia.org/wiki/United_States,detective fiction,has category,Type
http://en.wikipedia.org/wiki/John_Allan_(colonel),gambling,has theme,Commitment
http://en.wikipedia.org/wiki/University_of_Virginia,"his first collection, Tamerlane and Other Poems, which was credited only to ""a Bostonian",has work,Publishing
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,who,has entity,Fame
http://en.wikipedia.org/wiki/United_States,contributing significantly to the emergence of science fiction,has behavior,Praiseworthiness
http://en.wikipedia.org/wiki/United_States,http://en.wikipedia.org/wiki/ELIZA,has theme,Death
http://en.wikipedia.org/wiki/United_States_Military_Academy,officer,has teacher,Education_teaching
http://en.wikipedia.org/wiki/United_States,earn a living exclusively through writing,has theme,Ordinal_numbers
http://en.wikipedia.org/wiki/United_States,following,has theme,Calendric_unit
http://en.wikipedia.org/wiki/United_States,money,has theme,Possession
http://en.wikipedia.org/wiki/University_of_Virginia,year,has theme,Measure_duration
http://en.wikipedia.org/wiki/University_of_Virginia,funds,has theme,Being_necessary
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,poetry,has text,Text
http://en.wikipedia.org/wiki/John_Allan_(colonel),"writer, primarily of poems",has theme,Becoming
http://en.wikipedia.org/wiki/John_Allan_(colonel),temporary rapprochement,has goal,Arriving
http://en.wikipedia.org/wiki/United_States,adulthood,has entity,Age
http://en.wikipedia.org/wiki/United_States,family,has theme,Kinship
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Edgar Allan Poe disambiguation and Poe disambiguation ,has theme,Reference_text
http://en.wikipedia.org/wiki/University_of_Virginia,http://en.wikipedia.org/wiki/Edgar_Allan_Poe,has student,Education_teaching
http://en.wikipedia.org/wiki/John_Allan_(colonel),http://en.wikipedia.org/wiki/United_States_Military_Academy,has location,Purpose
http://en.wikipedia.org/wiki/University_of_Virginia,which,has theme,Praiseworthiness
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,http://en.wikipedia.org/wiki/United_States_Military_Academy,has location,Statement
http://en.wikipedia.org/wiki/University_of_Virginia,quarreled with John Allan over the funds needed to continue his education as well as his gambling debts,has event,Frequency
