Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Dramatis_Personae,His Dramatis Personae 1864 and book-length epic poem The Ring and the Book 1868–1869,has cause,Causation
http://en.wikipedia.org/wiki/Bank_of_England,£150,has theme,Earnings_and_losses
http://en.wikipedia.org/wiki/Saint_Kitts,sugar plantation,has task,Being_employed
http://en.wikipedia.org/wiki/Robert_Browning,poem,has text,Text
http://en.wikipedia.org/wiki/Robert_Browning,Lock,has location,Kinship
http://en.wikipedia.org/wiki/York_Street,http://en.wikipedia.org/wiki/Robert_Browning,has theme,Rite
http://en.wikipedia.org/wiki/Robert_Browning,his work,has theme,Scrutiny
http://en.wikipedia.org/wiki/United_Kingdom,20th,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Bank_of_England,year,has theme,Measure_duration
http://en.wikipedia.org/wiki/Robert_Browning,poems,has theme,Duration_description
http://en.wikipedia.org/wiki/Robert_Browning,collection Men and Women,has work,Publishing
http://en.wikipedia.org/wiki/Robert_Browning,Pauline 1833 and Paracelsus 1835,has theme,Judgment_communication
http://en.wikipedia.org/wiki/Robert_Browning,http://en.wikipedia.org/wiki/Dundee,has location,Personal_relationship
http://en.wikipedia.org/wiki/Robert_Browning,high,has value,Position_on_a_scale
http://en.wikipedia.org/wiki/Robert_Browning,Britain and the US,has location,Surviving
http://en.wikipedia.org/wiki/Saint_Kitts,"German shipowner who had settled in Dundee, Scotland and his Scottish wife",has theme,Kinship
http://en.wikipedia.org/wiki/Robert_Browning,as a sage and philosopher-poet who had fed into Victorian social and political discourse,has category,Categorization
http://en.wikipedia.org/wiki/Saint_Kitts,sugar,has theme,Growing_food
http://en.wikipedia.org/wiki/Robert_Browning,decade,has theme,Measure_duration
http://en.wikipedia.org/wiki/Robert_Browning,1846,has time,Forming_relationships
http://en.wikipedia.org/wiki/Robert_Browning,Robert Browning disambiguation ,has theme,Reference_text
http://en.wikipedia.org/wiki/Robert_Browning,over a decade,has theme,Taking_time
http://en.wikipedia.org/wiki/Robert_Browning,Societies,has theme,Scrutiny
