subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Trojan_War,Text:has_text,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Text:has_text,article,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ancient_Greek,Text:has_text,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Quantified_mass:has_time,2025,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Calendric_unit:has_theme,year,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Transfer:has_time,originally,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anno_Domini,Praiseworthiness:has_behavior,"as the author of the Iliad and the Odyssey, two epic poems that are foundational works of ancient Greek literature",0.9,Unknown,True
http://en.wikipedia.org/wiki/Ancient_Greek,Text:has_text,poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Resolve_problem:has_problem,through the punishment of the gods,0.9,Unknown,True
http://en.wikipedia.org/wiki/Homeric_Greek,Fields:has_theme,language,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Cause_to_perceive:has_location,http://en.wikipedia.org/wiki/Homeric_Greek,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Instance:has_theme,instances,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Cause_to_perceive:has_agent,that,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Emphasizing:has_theme,quarrel between King Agamemnon and the warrior Achilles during the last year of the Trojan War,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ithaca,Travel:has_time,after the fall of Troy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anno_Domini,Certainty:has_theme,his authorship,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Existence:has_location,talk page,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Reading_perception:has_reader,readers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Calendric_unit:has_theme,last,0.9,Unknown,True
http://en.wikipedia.org/wiki/Homer,Categorization:has_category,one of the most influential authors in history,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Spatial_contact:has_theme,discussion about this,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Redirecting:has_goal,here,0.9,Unknown,True
http://en.wikipedia.org/wiki/Homeric_Greek,Identicality:has_type,centuries,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Certainty:has_theme,that the poems were originally transmitted orally,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ithaca,Travel:has_traveler,"Odysseus, king of Ithaca",0.9,Unknown,True
http://en.wikipedia.org/wiki/Homeric_Greek,Dominate_situation:has_theme,influence,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Fame:has_degree,predominantly,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anno_Domini,Text_creation:has_author,who,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Leadership:has_theme,http://en.wikipedia.org/wiki/Ithaca,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Fame:has_reason,their tragic and serious themes,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Calendric_unit:has_theme,Trojan War,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Origin:has_entity,culture and education,0.9,Unknown,True
http://en.wikipedia.org/wiki/Homeric_Greek,Being_named:has_entity,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Redirecting:has_cause,Several terms,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Likelihood:has_theme,be confusing or unclear to readers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Text_creation:has_author,author,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anno_Domini,Text:has_text,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anno_Domini,Labor_product:has_theme,foundational,0.9,Unknown,True
http://en.wikipedia.org/wiki/Greece,Education_teaching:has_teacher,who,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Quantified_mass:has_theme,terms,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Temporal_collocation:has_theme,Greek culture and education,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Text:has_text,epics,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anno_Domini,Temporal_collocation:has_theme,Greek literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Homeric_Greek,Text:has_text,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ithaca,Travel:has_theme,ten-year,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Spatial_contact:has_theme,talk page,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Instance:has_type,comedy and laughter,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Cause_to_perceive:has_theme,mixture of features of the Ionic and Aeolic dialects from different centuries,0.9,Unknown,True
http://en.wikipedia.org/wiki/Homeric_Greek,Objective_influence:has_theme,Eastern Ionic,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,People_by_vocation:has_person,researchers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Assistance:has_goal,clarify the article,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Resolve_problem:has_agent,Odysseus,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Discussion:has_location,talk page,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ancient_Greek,Origin:has_entity,poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Discussion:has_theme,this,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anno_Domini,Subjective_influence:has_entity,authors,0.9,Unknown,True
http://en.wikipedia.org/wiki/Homer,Inclusion:has_theme,instances of comedy and laughter,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Buildings:has_theme,home,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anno_Domini,Labor_product:has_theme,ancient Greek literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Redirecting:has_time,2025,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Removing:has_theme,this message,0.9,Unknown,True
http://en.wikipedia.org/wiki/Homer,Reference_text:has_theme,"Homer (disambiguation ), Homerus (disambiguation ), and Homeric (disambiguation )",0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Removing:has_time,2025,0.9,Unknown,True
http://en.wikipedia.org/wiki/Homer,Text:has_text,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Rewards_and_punishments:has_theme,gods,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anno_Domini,Leadership:has_leader,http://en.wikipedia.org/wiki/Homer,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Existence:has_entity,discussion about this,0.9,Unknown,True
http://en.wikipedia.org/wiki/Homer,Inclusion:has_theme,Homeric poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Education_teaching:has_skill,how and when to remove this message,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Transfer:has_theme,orally,0.9,Unknown,True
http://en.wikipedia.org/wiki/Homeric_Greek,Distinctiveness:has_entity,ancient Greek culture and education,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anno_Domini,Time_vector:has_event,Greek poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ancient_Greek,Origin:has_entity,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anno_Domini,Text_creation:has_text,"Iliad and the Odyssey, two epic poems that are foundational works of ancient Greek literature",0.9,Unknown,True
http://en.wikipedia.org/wiki/Anno_Domini,Labor_product:has_theme,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Homeric_Greek,Objective_influence:has_degree,predominant,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Certainty:has_theme,Most researchers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Homeric_Greek,Being_named:has_theme,as Epic Greek,0.9,Unknown,True
http://en.wikipedia.org/wiki/Iliad,Text_creation:has_text,Iliad and Odyssey,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Origin:has_theme,http://en.wikipedia.org/wiki/Ancient_Greek,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Leadership:has_leader,Odysseus,0.9,Unknown,True
http://en.wikipedia.org/wiki/Trojan_War,Transfer:has_theme,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ithaca,Travel:has_goal,back to his home,0.9,Unknown,True
http://en.wikipedia.org/wiki/Homeric_Greek,Calendric_unit:has_theme,centuries,0.9,Unknown,True
