subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/John_Milton,Origin:has_entity,author,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Origin:has_theme,http://en.wikipedia.org/wiki/England,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Desiring:has_theme,freedom,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Fame:has_reason,as one of history's greatest poets,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Text_creation:has_text,12 books,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Inclusion:has_theme,fall of man,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Accomplishment:has_goal,fame and recognition,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Using:has_instrument,unrhymed verse,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Ordinal_numbers:has_theme,employ unrhymed verse outside of the theatre or translations,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Text:has_text,books,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paradise_Lost,Topic:has_theme,"fall of man, including the temptation of Adam and Eve by the fallen angel Satan, and God's expulsion of them from the Garden of Eden",0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Subjective_influence:has_entity,defences of freedom of speech and freedom of the press,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Be_subset_of:has_theme,history's most influential and impassioned defences of freedom of speech and freedom of the press,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Fields:has_theme,theatre,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Ordinal_numbers:has_type,modern writer,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paradise_Lost,Connecting_architecture:has_theme,Milton's reputation as one of history's greatest poets,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Ordinal_numbers:has_type,place,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Using:has_agent,first modern writer,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Simple_name:has_theme,words,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paradise_Lost,Inclusion:has_theme,His 1667 epic poem Paradise Lost,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Age:has_entity,words,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Using:has_location,outside of the theatre or translations,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Being_named:has_entity,other people,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paradise_Lost,Text_creation:has_text,His 1667 epic poem Paradise Lost,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Judgment:has_theme,"poets such as William Blake, William Wordsworth, and Thomas Hardy",0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Categorization:has_category,as one of the preeminent writers in the English language,0.9,Unknown,True
http://en.wikipedia.org/wiki/God,Removing:has_theme,God,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paradise_Lost,Communicate_categorization:has_item,Milton's politics,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Text_creation:has_text,http://en.wikipedia.org/wiki/England,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Defending:has_theme,freedom of speech and freedom of the press,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Text_creation:has_text,writers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paradise_Lost,Judgment_communication:has_reason,"as "" a poem which... with respect to design may claim the first place, and with respect to performance, the second, among the productions of the human mind ",0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,State_continue:has_state,"generally regarded "" as one of the preeminent writers in the English language ",0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Age:has_age,new,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paradise_Lost,Inclusion:has_theme,"12 books, written in a time of immense religious flux and political upheaval",0.9,Unknown,True
http://en.wikipedia.org/wiki/Paradise_Lost,Judgment_communication:has_theme,Samuel Johnson,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Defending:has_theme,history's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paradise_Lost,Communicate_categorization:has_category,"as those of an "" acrimonious and surly republican",0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Defending:has_theme,impassioned,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Text_creation:has_text,modern verse,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Text_creation:has_theme,English language,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Be_subset_of:has_theme,His celebrated Areopagitica (1644) condemning pre-publication censorship,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Text:has_text,poem,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paradise_Lost,Text_creation:has_theme,blank verse,0.9,Unknown,True
http://en.wikipedia.org/wiki/God,Removing:has_theme,http://en.wikipedia.org/wiki/Garden_of_Eden,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Judgment_communication:has_theme,pre-publication censorship,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Categorization:has_theme,his biographer William Hayley,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Increment:has_class,people,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Locale:has_theme,place,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Fame:has_entity,Milton's,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Ordinal_numbers:has_theme,among the productions of the human mind,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Categorization:has_category,"as the "" greatest English author ",0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Measure_duration:has_theme,centuries,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Text:has_text,poets,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,People:has_person,people,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Inclusion:has_theme,"temptation of Adam and Eve by the fallen angel Satan, and God's expulsion of them from the Garden of Eden",0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Inclusion:has_theme,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Expertise:has_theme,verse,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Text_creation:has_time,time of immense religious flux and political upheaval,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Accomplishment:has_time,during his lifetime,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Judgment_communication:has_theme,His celebrated Areopagitica (1644),0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Milton,Inclusion:has_theme,"his introduction of new words to the English language, coined from Latin and Ancient Greek",0.9,Unknown,True
