Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Mikhail_Lermontov,http://en.wikipedia.org/wiki/Moscow,has location,Being_born
http://en.wikipedia.org/wiki/Mikhail_Lermontov,his grandmother,has theme,Motion
http://en.wikipedia.org/wiki/New_Zealand,1986,has time,Catching_fire
http://en.wikipedia.org/wiki/Russia,15 July 1841,has time,Text_creation
http://en.wikipedia.org/wiki/Russia,Russian Romanticism,has location,Text_creation
http://en.wikipedia.org/wiki/Russia,Russian Romanticism,has location,Origin
http://en.wikipedia.org/wiki/Russia,1837,has time,Death
http://en.wikipedia.org/wiki/Mikhail_Lermontov,http://en.wikipedia.org/wiki/Tarkhany,has location,Growing_food
http://en.wikipedia.org/wiki/Russia,marriage,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Mikhail_Lermontov,Moscow University's boarding school,has group,Becoming_a_member
http://en.wikipedia.org/wiki/Russia,Russian poet,has theme,Importance
http://en.wikipedia.org/wiki/Russia,psychological,has theme,Text
http://en.wikipedia.org/wiki/East_Slavic_languages,Russian literature,has theme,Objective_influence
http://en.wikipedia.org/wiki/East_Slavic_languages,1827,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Mikhail_Lermontov,http://en.wikipedia.org/wiki/Tarkhany,has location,Personal_relationship
http://en.wikipedia.org/wiki/East_Slavic_languages,Maria's health,has entity,Improvement_or_decline
http://en.wikipedia.org/wiki/Moscow_State_University,school,has theme,Locale_by_use
http://en.wikipedia.org/wiki/New_Zealand,1986,has time,Reference_text
http://en.wikipedia.org/wiki/East_Slavic_languages,family,has theme,Kinship
http://en.wikipedia.org/wiki/East_Slavic_languages,Lermontov moved to Moscow with his grandmother and joined the Moscow University's boarding school,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/East_Slavic_languages,lonely and introspective,has theme,People
http://en.wikipedia.org/wiki/Mikhail_Lermontov,"October 15, 1814",has time,Being_born
http://en.wikipedia.org/wiki/East_Slavic_languages,home,has theme,Foreign_or_domestic_country
http://en.wikipedia.org/wiki/East_Slavic_languages,his development as a lonely and introspective individual,has effect,Causation
http://en.wikipedia.org/wiki/Mikhail_Lermontov,into the Lermontov family,has theme,Being_born
http://en.wikipedia.org/wiki/New_Zealand,"nurturing his talents in languages, music, and painting",has means,Supply
http://en.wikipedia.org/wiki/East_Slavic_languages,military,has theme,Military
http://en.wikipedia.org/wiki/East_Slavic_languages,1817,has time,Death
http://en.wikipedia.org/wiki/New_Zealand,grandmother,has theme,Kinship
http://en.wikipedia.org/wiki/East_Slavic_languages,http://en.wikipedia.org/wiki/Mikhail_Lermontov,has theme,Causation
http://en.wikipedia.org/wiki/East_Slavic_languages,His grandmother's,has theme,Being_in_control
http://en.wikipedia.org/wiki/East_Slavic_languages,Maria Mikhaylovna Arsenyeva,has person,People_by_vocation
http://en.wikipedia.org/wiki/Mikhail_Lermontov,1827,has time,Becoming_a_member
http://en.wikipedia.org/wiki/Mikhail_Lermontov,http://en.wikipedia.org/wiki/Moscow,has goal,Motion
http://en.wikipedia.org/wiki/East_Slavic_languages,Maria,has theme,Death
http://en.wikipedia.org/wiki/Russia,Russian Romanticism,has location,Labeling
http://en.wikipedia.org/wiki/East_Slavic_languages,over Lermontov's custody,has issue,Quarreling
http://en.wikipedia.org/wiki/Russia,Russian Romanticism,has location,Text
http://en.wikipedia.org/wiki/East_Slavic_languages,times,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Mikhail_Lermontov,"his grandmother, Elizaveta Arsenyeva, raising him",has effect,Causation
http://en.wikipedia.org/wiki/Moscow_State_University,boarding,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Moscow,University,has theme,Locale_by_use
http://en.wikipedia.org/wiki/East_Slavic_languages,life,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Moscow_State_University,Moscow University's,has theme,Locale_by_use
http://en.wikipedia.org/wiki/East_Slavic_languages,music,has theme,Performing_arts
http://en.wikipedia.org/wiki/Russia,the poet of the Caucasus,has theme,Labeling
http://en.wikipedia.org/wiki/Mikhail_Lermontov,grandmother,has theme,Kinship
http://en.wikipedia.org/wiki/East_Slavic_languages,His grandmother's strict control caused him emotional turmoil,has cause,Causation
http://en.wikipedia.org/wiki/Mikhail_Lermontov,family dispute ensued over Lermontov's custody,has cause,Causation
http://en.wikipedia.org/wiki/East_Slavic_languages,"his grandmother, Elizaveta Arsenyeva",has cause,Causation
http://en.wikipedia.org/wiki/East_Slavic_languages,literature,has theme,Fields
http://en.wikipedia.org/wiki/East_Slavic_languages,tuberculosis,has theme,Medical_conditions
http://en.wikipedia.org/wiki/Russia,poet,has text,Text
http://en.wikipedia.org/wiki/Russia,literature,has entity,Origin
http://en.wikipedia.org/wiki/New_Zealand,uses,has class,Increment
http://en.wikipedia.org/wiki/East_Slavic_languages,Russian Romanticism,has location,Relative_time
http://en.wikipedia.org/wiki/Mikhail_Lermontov,poetry,has text,Text
http://en.wikipedia.org/wiki/East_Slavic_languages,literary,has activity,Fields
http://en.wikipedia.org/wiki/East_Slavic_languages,home education,has theme,Desirability
http://en.wikipedia.org/wiki/Russia,after Alexander Pushkin's death in 1837,has time,Importance
http://en.wikipedia.org/wiki/East_Slavic_languages,Russian psychological novel,has behavior,Custom
http://en.wikipedia.org/wiki/Mikhail_Lermontov,Lermontov's,has theme,Kinship
http://en.wikipedia.org/wiki/Russia,"Russian Romantic writer, poet and painter",has entity,Labeling
http://en.wikipedia.org/wiki/East_Slavic_languages,heiress,has entity,Age
http://en.wikipedia.org/wiki/East_Slavic_languages,who,has theme,Personal_relationship
http://en.wikipedia.org/wiki/East_Slavic_languages,individual,has person,People
http://en.wikipedia.org/wiki/East_Slavic_languages,Maria,has patient,Medical_conditions
http://en.wikipedia.org/wiki/East_Slavic_languages,Lermontov's,has student,Education_teaching
http://en.wikipedia.org/wiki/East_Slavic_languages,young,has age,People_by_vocation
http://en.wikipedia.org/wiki/Russia,Russian Romantic,has author,Text_creation
http://en.wikipedia.org/wiki/East_Slavic_languages,17,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Russia,Russian Romanticism,has location,Importance
http://en.wikipedia.org/wiki/East_Slavic_languages,family,has theme,Quarreling
http://en.wikipedia.org/wiki/Mikhail_Lermontov,scrofula and rickets,has event,Eventive_affecting
http://en.wikipedia.org/wiki/East_Slavic_languages,Alexander Pushkin's death in 1837,has theme,Relative_time
http://en.wikipedia.org/wiki/New_Zealand,excellent home education,has theme,Supply
http://en.wikipedia.org/wiki/East_Slavic_languages,Lermontov's,has owner,Possession
http://en.wikipedia.org/wiki/East_Slavic_languages,name,has theme,Being_named
http://en.wikipedia.org/wiki/New_Zealand,which,has theme,Catching_fire
http://en.wikipedia.org/wiki/New_Zealand,Lermontov disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Russia,Alexander Pushkin's,has theme,Death
http://en.wikipedia.org/wiki/East_Slavic_languages,Maria's,has patient,Medical_conditions
http://en.wikipedia.org/wiki/Russia,Romanticism,has entity,Origin
http://en.wikipedia.org/wiki/East_Slavic_languages,early,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/East_Slavic_languages,most important Russian poet,has theme,Relative_time
http://en.wikipedia.org/wiki/East_Slavic_languages,emotional turmoil,has effect,Causation
http://en.wikipedia.org/wiki/Mikhail_Lermontov,father,has theme,Kinship
http://en.wikipedia.org/wiki/East_Slavic_languages,family,has entity,Being_named
http://en.wikipedia.org/wiki/Russia,novel,has text,Text
http://en.wikipedia.org/wiki/Russia,writer,has author,Text_creation
http://en.wikipedia.org/wiki/East_Slavic_languages,aristocratic family,has theme,People_by_vocation
http://en.wikipedia.org/wiki/East_Slavic_languages,home,has level,Education_teaching
http://en.wikipedia.org/wiki/East_Slavic_languages,young,has age,Age
http://en.wikipedia.org/wiki/East_Slavic_languages,she died of tuberculosis,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/East_Slavic_languages,http://en.wikipedia.org/wiki/Mikhail_Lermontov,has patient,Medical_conditions
http://en.wikipedia.org/wiki/East_Slavic_languages,strict,has degree,Being_in_control
http://en.wikipedia.org/wiki/Mikhail_Lermontov,literary,has theme,Accomplishment
http://en.wikipedia.org/wiki/East_Slavic_languages,"Maria Mikhaylovna Arsenyeva, a young heiress from an aristocratic family",has theme,Personal_relationship
http://en.wikipedia.org/wiki/East_Slavic_languages,http://en.wikipedia.org/wiki/Mikhail_Lermontov,has theme,Objective_influence
http://en.wikipedia.org/wiki/East_Slavic_languages,His grandmother's strict control,has cause,Causation
http://en.wikipedia.org/wiki/East_Slavic_languages,http://en.wikipedia.org/wiki/Mikhail_Lermontov,has theme,Being_named
http://en.wikipedia.org/wiki/Russia,poet,has entity,Origin
