subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Ancient_Rome,Text:has_text,article,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Temporal_subregion:has_theme,early,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virgilius_Maro_Grammaticus,Categorization:has_theme,modern scholars,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virgil,Being_located:has_theme,"as the most popular Latin poet through late antiquity, the Middle Ages, and early modernity",0.9,Unknown,True
http://en.wikipedia.org/wiki/Virgil,Reference_text:has_theme,Virgil (disambiguation),0.9,Unknown,True
"http://en.wikipedia.org/wiki/Augusta,_Georgia",Fame:has_entity,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Latin,Text:has_text,Aeneid,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virgil,Judgment_communication:has_time,his lifetime,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Aesthetics:has_attribute,style,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Augusta,_Georgia",Fame:has_location,Latin literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virgilius_Maro_Grammaticus,Categorization:has_category,as spurious,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ancient_Rome,Text:has_text,poet,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Augusta,_Georgia",Part_piece:has_theme,short,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ancient_Rome,Increment:has_class,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virgilius_Maro_Grammaticus,Simple_naming:has_entity,Publius Vergilius Maro ( Classical Latin : [publis wrlis maro] ; 15 October 70 BC – 21 September 19 BC ),0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Posture:has_location,pilere,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Augusta,_Georgia",Temporal_collocation:has_theme,Roman poet of the Augustan period,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virgil,Text_creation:has_location,http://en.wikipedia.org/wiki/Latin,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Augusta,_Georgia",Duration_description:has_theme,pieces,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virgil,Statement:has_message,that it must be one which will expressly reckon with him,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Time_vector:has_theme,Already,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ancient_Rome,Temporal_collocation:has_theme,Roman poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virgil,Conduct:has_location,House,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Statement:has_message,"as standing on a pilere / that was of tinned yren clere ("" on a pillar that was of bright tin-plated iron""), and in the Divine Comedy, in which Virgil appears as the author's guide through Hell and Purgatory, Dante pays tribute to Virgil with the words tu se' solo colui da cu'io tolsi / lo bello stile che m'ha fatto onore",0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Distinctiveness:has_feature,that,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virgilius_Maro_Grammaticus,Text:has_text,poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virgil,Text_creation:has_text,classic,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Time_vector:has_event,acclaimed in his lifetime as a classic author,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virgil,Judgment_communication:has_role,as a classic author,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virgilius_Maro_Grammaticus,Simple_naming:has_theme,Virgil or Vergil,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,People_by_vocation:has_person,alone,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Text_creation:has_author,authors,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Temporal_subregion:has_theme,modernity,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virgil,Take_place_of:has_degree,rapidly,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Distinctiveness:has_entity,Roman,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Desirability:has_theme,Latin poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Appendix_Vergiliana,Gathering_up:has_theme,Some minor poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Intentionally_act:has_purpose,Roman,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virgil,Take_place_of:has_role,as a standard school text,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virgil,Take_place_of:has_theme,Ennius and other earlier authors,0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Education_teaching:has_theme,"subject "" What Is a Classic?",0.9,Unknown,True
http://en.wikipedia.org/wiki/Virgilius_Maro_Grammaticus,Simple_naming:has_location,English,0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Activity_start:has_activity,"lecture on the subject "" What Is a Classic?",0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Type:has_theme,classic,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Statement:has_speaker,Geoffrey Chaucer,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virgilius_Maro_Grammaticus,Text:has_author,Publius Vergilius Maro ( Classical Latin : [publis wrlis maro] ; 15 October 70 BC – 21 September 19 BC ),0.9,Unknown,True
http://en.wikipedia.org/wiki/Latin,Fields:has_theme,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Relative_time:has_theme,authors,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virgilius_Maro_Grammaticus,Text:has_theme,Augustan period,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Increment:has_class,earlier authors,0.9,Unknown,True
