subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Spanish_language,Natural_features:has_theme,island,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portugal,Being_named:has_time,1922,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Temporal_collocation:has_theme,most gifted novelist alive in the world,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Being_named:has_entity,paternal,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jesus,Attributed_information:has_time,1992,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Expressing_publicly:has_theme,http://en.wikipedia.org/wiki/José_Saramago,0.9,Unknown,True
http://en.wikipedia.org/wiki/Government_of_Portugal,Statement:has_speaker,Government of Portugal under Prime Minister Anbal Cavaco Silva,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portugal,Duplication:has_theme,Saramago's books,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Distinctiveness:has_feature,tone,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Wood_(critic),Causation:has_cause,he narrates his novels as if he were someone both wise and ignorant,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Grasp:has_category,as allegories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harold_Bloom,Communicate_categorization:has_category,"as "" the most gifted novelist alive in the world today ",0.9,Unknown,True
http://en.wikipedia.org/wiki/Harold_Bloom,Statement:has_time,2010,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portugal,Cardinal_numbers:has_entity,languages,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Preventing_or_letting:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Dead_or_alive:has_theme,most gifted novelist,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portugal,Cardinal_numbers:has_theme,25,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Defending:has_theme,http://en.wikipedia.org/wiki/José_Saramago,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harold_Bloom,Statement:has_message,"he considers Saramago to be "" a permanent part of the Western canon ",0.9,Unknown,True
http://en.wikipedia.org/wiki/Portugal,Ordinal_numbers:has_time,1922,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Membership:has_theme,founding,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Receiving:has_time,1998,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jesus,Attributed_information:has_theme,"one of his works, The Gospel",0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Wood_(critic),Causation:has_time,2003,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Part_whole:has_time,2003,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Event:has_event,events,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Cardinal_numbers:has_theme,one,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Categorization:has_category,as political censorship of his work,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Residence:has_theme,alongside his Spanish wife Pilar del Ro,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Feeling:has_theme,disheartened by what he perceived as political censorship of his work,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Cardinal_numbers:has_theme,million,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Gizmo:has_theme,instrument,0.9,Unknown,True
http://en.wikipedia.org/wiki/Aníbal_Cavaco_Silva,Leadership:has_leader,Anbal Cavaco Silva,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jesus,Removing:has_theme,Aristeion Prize's shortlist,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Receiving:has_theme,"his "" parables sustained by imagination, compassion and irony [with which he] continually enables us once again to apprehend an elusory reality",0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Text:has_time,2003,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Being_named:has_entity,second or paternal family,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Cardinal_numbers:has_location,http://en.wikipedia.org/wiki/Portugal,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Cause_to_make_progress:has_project,human condition,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Distinctiveness:has_entity,his fiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Intentionally_create:has_location,Lisbon,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Receiving:has_theme,1998 Nobel Prize in Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Membership:has_location,Lisbon,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Political_locales:has_theme,world,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portugal,Frequency:has_theme,languages,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Preventing_or_letting:has_theme,once again,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Categorization:has_theme,http://en.wikipedia.org/wiki/José_Saramago,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portugal,Ordinal_numbers:has_type,family name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jesus,Removing:has_theme,"one of his works, The Gospel According to Jesus Christ",0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,People:has_time,2003,0.9,Unknown,True
http://en.wikipedia.org/wiki/Government_of_Portugal,Statement:has_message,work was religiously offensive,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Intentionally_create:has_theme,member of the National Front for the Defense of Culture in Lisbon,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jesus,Removing:has_time,1992,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Preventing_or_letting:has_time,1998,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portugal,Being_named:has_theme,name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Feeling:has_time,2010,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Event:has_theme,historic,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Political_locales:has_time,2003,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Membership:has_time,1992,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Gizmo:has_theme,improve the human condition,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Natural_features:has_theme,http://en.wikipedia.org/wiki/Lanzarote,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Defending:has_purpose,as an instrument to improve the human condition,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portugal,Commerce_sell:has_theme,alone,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Categorization:has_time,2003,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harold_Bloom,Communicate_categorization:has_item,http://en.wikipedia.org/wiki/José_Saramago,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Mental_property:has_theme,someone,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Receiving:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Part_whole:has_theme,Western canon,0.9,Unknown,True
http://en.wikipedia.org/wiki/Aníbal_Cavaco_Silva,Leadership:has_time,1992,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Residence:has_time,until his death in 2010,0.9,Unknown,True
http://en.wikipedia.org/wiki/Government_of_Portugal,Statement:has_time,1992,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Expressing_publicly:has_theme,his novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Residence:has_location,where,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Cardinal_numbers:has_entity,copies of Saramago's books,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Categorization:has_time,2010,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Mental_property:has_time,2003,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portugal,Duplication:has_theme,copies,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Personal_relationship:has_theme,Pilar del Ro,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portugal,Increment:has_class,than two million copies of Saramago's books,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Death:has_time,2010,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Wood_(critic),Causation:has_effect,"James Wood praises "" the distinctive tone to his fiction",0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Temporal_collocation:has_theme,today,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portugal,First_experience:has_time,1922,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Dead_or_alive:has_time,2003,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Distinctiveness:has_time,2003,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Cardinal_numbers:has_entity,his works,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Personal_relationship:has_time,2010,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Intentionally_create:has_time,1992,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Cardinal_numbers:has_theme,two,0.9,Unknown,True
http://en.wikipedia.org/wiki/Catholic_Church,Categorization:has_item,what,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Categorization:has_category,"be "" a permanent part of the Western canon",0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Text:has_author,Saramago's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Temporal_collocation:has_time,2003,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portugal,Translating:has_theme,his work,0.9,Unknown,True
http://en.wikipedia.org/wiki/José_Saramago,Judgment_communication:has_theme,"institutions such as the Catholic Church, the European Union and the International Monetary Fund",0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Memorial_Prize_in_Economic_Sciences,Attention:has_time,2003,0.9,Unknown,True
http://en.wikipedia.org/wiki/Government_of_Portugal,Request:has_message,"removal of one of his works, The Gospel According to Jesus Christ, from the Aristeion Prize's shortlist",0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Wood_(critic),Judgment_communication:has_time,2003,0.9,Unknown,True
