Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Hugo_Award,most,has degree,Fame
http://en.wikipedia.org/wiki/Isaac_Asimov,Robert A. Heinlein and Arthur C. Clarke,has theme,Accompaniment
http://en.wikipedia.org/wiki/Hugo_Award,his works,has participant,Individual_history
http://en.wikipedia.org/wiki/Isaac_Asimov,using the pen name Paul French,has means,Text_creation
http://en.wikipedia.org/wiki/Hugo_Award,earlier,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Boston_University,biochemistry,has type,People_by_vocation
http://en.wikipedia.org/wiki/Isaac_Asimov,During his lifetime,has time,Categorization
http://en.wikipedia.org/wiki/LeBron_James,one,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Boston_University,1920,has time,Origin
http://en.wikipedia.org/wiki/Foundation_series,fictional universe,has type,Identicality
http://en.wikipedia.org/wiki/Hugo_Award,Examples,has theme,Instance
http://en.wikipedia.org/wiki/Hugo_Award,"social science fiction novelette "" Nightfall ",has theme,Inclusion
http://en.wikipedia.org/wiki/Hugo_Award,stories,has theme,Duration_description
http://en.wikipedia.org/wiki/Arthur_C._Clarke,writer,has theme,Expertise
http://en.wikipedia.org/wiki/Isaac_Asimov,"estimated 90,000 letters and postcards",has text,Text_creation
http://en.wikipedia.org/wiki/Hugo_Award,1964,has time,Text
http://en.wikipedia.org/wiki/Hugo_Award,future,has event,Range
http://en.wikipedia.org/wiki/Isaac_Asimov,1986,has time,Creating
http://en.wikipedia.org/wiki/Arthur_C._Clarke,science fiction,has text,Text_creation
http://en.wikipedia.org/wiki/Arthur_C._Clarke,letters,has text,Text
http://en.wikipedia.org/wiki/Galactic_Empire_(Isaac_Asimov),novels,has text,Text
http://en.wikipedia.org/wiki/Hugo_Award,mid-1950s,has time,Text_creation
http://en.wikipedia.org/wiki/Hugo_Award,works,has theme,Importance
http://en.wikipedia.org/wiki/Isaac_Asimov,this distant future,has theme,Make_cognitive_connection
http://en.wikipedia.org/wiki/Isaac_Asimov,"mysteries and fantasy, as well as popular science and other non-fiction",has text,Text_creation
http://en.wikipedia.org/wiki/Isaac_Asimov,"unified "" future history "" for his works",has theme,Creating
http://en.wikipedia.org/wiki/Hugo_Award,series,has theme,Importance
http://en.wikipedia.org/wiki/Boston_University,writer,has entity,Origin
http://en.wikipedia.org/wiki/Arthur_C._Clarke,his lifetime,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Arthur_C._Clarke,books,has text,Text
http://en.wikipedia.org/wiki/United_States,uses,has class,Increment
http://en.wikipedia.org/wiki/Hugo_Award,three books of which,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Hugo_Award,1986,has time,Range
http://en.wikipedia.org/wiki/Boston_University,"Isaac Asimov  / z m v / AZ -im-ov ;  b   c. January 2, 1920  a  – April 6, 1992 ",has person,People_by_vocation
http://en.wikipedia.org/wiki/Hugo_Award,which,has theme,Inclusion
http://en.wikipedia.org/wiki/United_States,1920,has time,Origin
http://en.wikipedia.org/wiki/LeBron_James," Big Three "" science fiction writers",has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/Hugo_Award,1966,has time,Cardinal_numbers
http://en.wikipedia.org/wiki/Hugo_Award,1966,has time,Fame
http://en.wikipedia.org/wiki/Arthur_C._Clarke,"Asimov was considered one of the "" Big Three "" science fiction writers, along with Robert A. Heinlein and Arthur C. Clarke",has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Hugo_Award,1964,has time,Inclusion
http://en.wikipedia.org/wiki/Hugo_Award,history of the same fictional universe as the Foundation series,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Hugo_Award,history,has theme,Individual_history
http://en.wikipedia.org/wiki/Boston_University,1920,has time,People_by_vocation
http://en.wikipedia.org/wiki/Isaac_Asimov,1986,has time,Labor_product
http://en.wikipedia.org/wiki/Arthur_C._Clarke,letters,has item,Estimating
http://en.wikipedia.org/wiki/Hugo_Award,"major works such as The Caves of Steel and ""The Naked Sun ",has text,Text_creation
http://en.wikipedia.org/wiki/Isaac_Asimov,more than 500 books,has text,Text_creation
http://en.wikipedia.org/wiki/Hugo_Award,he linked this distant future to the Robot series,has event,Time_vector
http://en.wikipedia.org/wiki/Hugo_Award,social science fiction,has theme,Text
http://en.wikipedia.org/wiki/Hugo_Award,"Guide to Science, the three-volume Understanding Physics, and Asimov's Chronology of Science and Discovery",has theme,Inclusion
http://en.wikipedia.org/wiki/Science_Fiction_and_Fantasy_Writers_of_America,Science Fiction Writers of America,has theme,Capital_stock
http://en.wikipedia.org/wiki/Hugo_Award,all time,has theme,Desirability
http://en.wikipedia.org/wiki/Isaac_Asimov,his hard science fiction,has reason,Fame
http://en.wikipedia.org/wiki/Arthur_C._Clarke,writer,has author,Text_creation
http://en.wikipedia.org/wiki/Hugo_Award,stories,has text,Text
http://en.wikipedia.org/wiki/Hugo_Award,more than 380 short stories,has theme,Inclusion
http://en.wikipedia.org/wiki/Isaac_Asimov,"one of the "" Big Three "" science fiction writers",has category,Categorization
http://en.wikipedia.org/wiki/Hugo_Award,distant,has theme,Range
http://en.wikipedia.org/wiki/Isaac_Asimov,pen name Paul French,has instrument,Using
http://en.wikipedia.org/wiki/Hugo_Award,1966,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/Isaac_Asimov,works,has theme,Labor_product
http://en.wikipedia.org/wiki/Hugo_Award,work,has entity,Fame
