Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Jane_Austen,marriage,has instrument,Reliance
http://en.wikipedia.org/wiki/Jane_Austen,favourable social standing and economic security,has theme,Cotheme
http://en.wikipedia.org/wiki/Jane_Austen,economic,has theme,Being_at_risk
http://en.wikipedia.org/wiki/Jane_Austen,end,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Richard_Bentley,essays,has text,Text
http://en.wikipedia.org/wiki/Jane_Austen,major novels,has text,Text_creation
http://en.wikipedia.org/wiki/Jane_Austen,"Her use of social commentary, realism, wit, and irony",has reason,Judgment_communication
http://en.wikipedia.org/wiki/Jane_Austen,her nephew published A Memoir of Jane Austen,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Richard_Bentley,transition in her reputation,has theme,Importance
http://en.wikipedia.org/wiki/Richard_Bentley,anthologies,has text,Text
http://en.wikipedia.org/wiki/Jane_Austen,volumes,has text,Text
http://en.wikipedia.org/wiki/Jane_Austen,18th century,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Jane_Austen,until she was 35,has time,Publishing
http://en.wikipedia.org/wiki/Jane_Austen,novels,has text,Text
http://en.wikipedia.org/wiki/Richard_Bentley,critical essays,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Richard_Bentley,number,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/Jane_Austen,second half of the 18th century,has theme,Text
http://en.wikipedia.org/wiki/Jane_Austen,amongst critics and scholars,has theme,Judgment_communication
http://en.wikipedia.org/wiki/Jane_Austen,transition to 19th-century literary realism,has theme,Part_whole
http://en.wikipedia.org/wiki/Jane_Austen,1869,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Jane_Austen,before the age of 22,has time,Text_creation
http://en.wikipedia.org/wiki/Jane_Austen,writings,has text,Text_creation
http://en.wikipedia.org/wiki/Jane_Austen,two other novels,has text,Text_creation
http://en.wikipedia.org/wiki/Jane_Austen,Austen's,has author,Text
http://en.wikipedia.org/wiki/Pride_and_Prejudice,wide acclaim and popular readership,has theme,Getting
http://en.wikipedia.org/wiki/Richard_Bentley,significant transition in her reputation,has event,Event
