subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/United_States_Customs_Service,Intentionally_create:has_creator,founder,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Boulder,_Colorado",Education_teaching:has_teacher,teachers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Allen_Ginsberg,Activity_start:has_activity,"friendships with Lucien Carr, William S. Burroughs and Jack Kerouac",0.9,Unknown,True
http://en.wikipedia.org/wiki/Columbia_University,Education_teaching:has_institution,Columbia University,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Residence:has_theme,modestly,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States_Customs_Service,Offenses:has_theme,acts,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States_Customs_Service,Trial:has_time,1956,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Categorization:has_category,as the destructive forces of capitalism and conformity in the United States,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States_Customs_Service,Artifact:has_type,religious,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Categorization:has_theme,http://en.wikipedia.org/wiki/Allen_Ginsberg,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States_Customs_Service,Causation:has_effect,crime in every state,0.9,Unknown,True
http://en.wikipedia.org/wiki/Columbia_University,Education_teaching:has_location,Columbia University,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States_Customs_Service,Cardinal_numbers:has_theme,One,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States_Customs_Service,Offenses:has_time,1956,0.9,Unknown,True
http://en.wikipedia.org/wiki/Columbia_University,Political_locales:has_location,Columbia University,0.9,Unknown,True
http://en.wikipedia.org/wiki/Allen_Ginsberg,Taking_sides:has_issue,"militarism, economic materialism and sexual repression",0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States_Customs_Service,Cause_change_of_position_on_a_scale:has_theme,vapid innocuous euphemisms,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anne_Waldman,Activity_start:has_location,there,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States_Customs_Service,Legal_rulings:has_theme,Judge Clayton W. Horn,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States_Customs_Service,Intentionally_create:has_theme,"Naropa Institute in Boulder, Colorado",0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States_Customs_Service,Cause_motion:has_time,1956,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Categorization:has_item,what,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States_Customs_Service,Cause_motion:has_theme,widespread publicity,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States_Customs_Service,Relative_time:has_time,1956,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Residence:has_theme,http://en.wikipedia.org/wiki/Allen_Ginsberg,0.9,Unknown,True
http://en.wikipedia.org/wiki/Columbia_University,Political_locales:has_theme,Columbia,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_MacDonald_(Christian_author),Grasp:has_theme,William MacDonald (serial killer ),0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States_Customs_Service,Legal_rulings:has_theme,"that "" Howl "" was not obscene",0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States_Customs_Service,Cause_change_of_position_on_a_scale:has_agent,one,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States_Customs_Service,Cause_change_of_position_on_a_scale:has_attribute,his vocabulary,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Commerce_buy:has_goods,his clothing,0.9,Unknown,True
http://en.wikipedia.org/wiki/Allen_Ginsberg,People_by_religion:has_religion,http://en.wikipedia.org/wiki/Buddhism,0.9,Unknown,True
http://en.wikipedia.org/wiki/Americans,Text:has_time,1926,0.9,Unknown,True
http://en.wikipedia.org/wiki/Allen_Ginsberg,Taking_sides:has_degree,vigorously,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Residence:has_location,apartments in New York City's East Village,0.9,Unknown,True
