Source,Target,Label,Frame
http://en.wikipedia.org/wiki/United_States,1928,has time,Text_creation
http://en.wikipedia.org/wiki/United_States,string of odd jobs during her young adulthood,has theme,Relative_time
http://en.wikipedia.org/wiki/United_States,http://en.wikipedia.org/wiki/Maya_Angelou,has recipient,Receiving
http://en.wikipedia.org/wiki/United_States,honorary degrees,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/United_States,poet,has text,Text
http://en.wikipedia.org/wiki/Wake_Forest_University,Reynolds,has person,People_by_vocation
http://en.wikipedia.org/wiki/Wake_Forest_University,Black,has theme,People
http://en.wikipedia.org/wiki/Wake_Forest_University,I Know Why the Caged Bird Sings,has text,Text
http://en.wikipedia.org/wiki/Maya_Angelou,works,has theme,Labor_product
http://en.wikipedia.org/wiki/Wake_Forest_University,her books,has theme,Prohibiting_or_licensing
http://en.wikipedia.org/wiki/United_States,1969,has time,Age
http://en.wikipedia.org/wiki/Maya_Angelou,as a spokesperson for Black people and women,has role,Judgment
http://en.wikipedia.org/wiki/Wake_Forest_University,libraries,has theme,Buildings
http://en.wikipedia.org/wiki/United_States,adulthood,has entity,Age
http://en.wikipedia.org/wiki/United_States,author,has author,Text_creation
http://en.wikipedia.org/wiki/Wake_Forest_University,defense of Black culture,has category,Categorization
http://en.wikipedia.org/wiki/United_States,international,has theme,Judgment_communication
http://en.wikipedia.org/wiki/Wake_Forest_University,Winston,has location,People_by_vocation
http://en.wikipedia.org/wiki/Wake_Forest_University,widely,has degree,Using
http://en.wikipedia.org/wiki/Maya_Angelou,young,has age,People_by_age
http://en.wikipedia.org/wiki/I_Know_Why_the_Caged_Bird_Sings,1969,has time,Causation
http://en.wikipedia.org/wiki/United_States,Mercury,has theme,Natural_features
http://en.wikipedia.org/wiki/United_States,"list of plays, movies, and television shows spanning over 50 years",has behavior,Praiseworthiness
http://en.wikipedia.org/wiki/United_States,early,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/United_States,1969,has time,Political_locales
http://en.wikipedia.org/wiki/Wake_Forest_University,universities,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Bill_Clinton,first inauguration of Bill Clinton,has time,Reading_activity
http://en.wikipedia.org/wiki/Wake_Forest_University,"Wake Forest University in Winston-Salem, North Carolina",has theme,People_by_vocation
http://en.wikipedia.org/wiki/United_States,list,has text,Text
http://en.wikipedia.org/wiki/Wake_Forest_University,some U.S. libraries,has location,Prohibiting_or_licensing
http://en.wikipedia.org/wiki/United_States,http://en.wikipedia.org/wiki/Maya_Angelou,has theme,Praiseworthiness
http://en.wikipedia.org/wiki/United_States,string of odd jobs,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/United_States,17,has age,Age
http://en.wikipedia.org/wiki/Wake_Forest_University,1993,has time,Text
http://en.wikipedia.org/wiki/Wake_Forest_University,1993,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/Wake_Forest_University,women,has person,People
http://en.wikipedia.org/wiki/United_States,essays,has theme,Text
http://en.wikipedia.org/wiki/United_States,"plays, movies, and television shows",has theme,Text
http://en.wikipedia.org/wiki/United_States,crater,has theme,Natural_features
http://en.wikipedia.org/wiki/Wake_Forest_University,1982,has time,People_by_vocation
http://en.wikipedia.org/wiki/I_Know_Why_the_Caged_Bird_Sings,"first, I Know Why the Caged Bird Sings 1969 ",has cause,Causation
http://en.wikipedia.org/wiki/Bill_Clinton,http://en.wikipedia.org/wiki/Maya_Angelou,has reader,Reading_activity
http://en.wikipedia.org/wiki/Wake_Forest_University,she made approximately 80 appearances a year on the lecture circuit,has event,Process_start
http://en.wikipedia.org/wiki/I_Know_Why_the_Caged_Bird_Sings,her international recognition and acclaim,has effect,Causation
http://en.wikipedia.org/wiki/Maya_Angelou,http://en.wikipedia.org/wiki/Civil_rights_movements,has activity,Being_active
