subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award,Attention:has_time,1977,0.9,Unknown,True
http://en.wikipedia.org/wiki/Toni_Morrison,Becoming:has_theme,"first Black female editor for fiction at Random House in New York City, in the late 1960s",0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award,Intentionally_create:has_role,into a film,0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award,Behind_the_scenes:has_time,1998,0.9,Unknown,True
http://en.wikipedia.org/wiki/African_Americans,Grasp:has_location,American Fiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/Toni_Morrison,Arriving:has_goal,http://en.wikipedia.org/wiki/Howard_University,0.9,Unknown,True
http://en.wikipedia.org/wiki/African_Americans,Judgment_communication:has_reason,addressing the harsh consequences of racism in the United States and the Black American experience,0.9,Unknown,True
http://en.wikipedia.org/wiki/Toni_Morrison,Intentionally_create:has_time,1970s and'80s,0.9,Unknown,True
http://en.wikipedia.org/wiki/Toni_Morrison,Arriving:has_time,1957,0.9,Unknown,True
http://en.wikipedia.org/wiki/Toni_Morrison,Growing_food:has_time,1953,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Ordinal_numbers:has_type,Black female editor for fiction at Random House in New York City,0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Foundation,Causation:has_time,2020,0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Endowment_for_the_Humanities,Choosing:has_time,1996,0.9,Unknown,True
http://en.wikipedia.org/wiki/Toni_Morrison,Being_born:has_location,"Lorain, Ohio",0.9,Unknown,True
"http://en.wikipedia.org/wiki/Lorain,_Ohio",Ordinal_numbers:has_item,Chloe Ardelia Wofford,0.9,Unknown,True
http://en.wikipedia.org/wiki/Toni_Morrison,Forming_relationships:has_time,1964,0.9,Unknown,True
http://en.wikipedia.org/wiki/Toni_Morrison,Compliance:has_theme,National Book Foundation's Medal of Distinguished Contribution to American Letters,0.9,Unknown,True
http://en.wikipedia.org/wiki/African_Americans,Receiving:has_recipient,http://en.wikipedia.org/wiki/Toni_Morrison,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_entity,politician,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Giving:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Toni_Morrison,Kinship:has_theme,children,0.9,Unknown,True
http://en.wikipedia.org/wiki/Toni_Morrison,Text:has_time,1970,0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Foundation,Causation:has_theme,http://en.wikipedia.org/wiki/Toni_Morrison,0.9,Unknown,True
http://en.wikipedia.org/wiki/Toni_Morrison,Labor_product:has_agent,Morrison's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Giving:has_time,1993,0.9,Unknown,True
http://en.wikipedia.org/wiki/African_Americans,Leadership:has_theme,federal,0.9,Unknown,True
http://en.wikipedia.org/wiki/Barack_Obama,Leadership:has_time,2012,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Giving:has_theme,Nobel Prize in Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Temporal_subregion:has_theme,late,0.9,Unknown,True
http://en.wikipedia.org/wiki/Toni_Morrison,Reference_text:has_time,1931,0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award,Win_prize:has_time,1977,0.9,Unknown,True
http://en.wikipedia.org/wiki/Toni_Morrison,Being_born:has_location,"http://en.wikipedia.org/wiki/Lorain,_Ohio",0.9,Unknown,True
http://en.wikipedia.org/wiki/Toni_Morrison,Becoming:has_location,http://en.wikipedia.org/wiki/New_York_City,0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award,Win_prize:has_competitor,critically acclaimed Song of Solomon (1977),0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award,Fame:has_entity,her own,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Lorain,_Ohio",People_by_age:has_person,children,0.9,Unknown,True
http://en.wikipedia.org/wiki/African_Americans,Topic:has_text,Morrison's works,0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award,Origin:has_entity,attention,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Lorain,_Ohio",Temporal_subregion:has_theme,Early,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Publishing:has_time,1970,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cornell_University,Earnings_and_losses:has_theme,master's degree in American Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Publishing:has_work,"Her first novel, The Bluest Eye",0.9,Unknown,True
http://en.wikipedia.org/wiki/Toni_Morrison,Intentionally_create:has_theme,her own reputation as an author,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Lorain,_Ohio",Calendric_unit:has_theme,years,0.9,Unknown,True
http://en.wikipedia.org/wiki/Toni_Morrison,Kinship:has_time,1957,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Lorain,_Ohio",People_by_age:has_theme,"working-class, Black family",0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award,Judgment_communication:has_time,1977,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Lorain,_Ohio",Kinship:has_theme,Black,0.9,Unknown,True
http://en.wikipedia.org/wiki/African_Americans,Identicality:has_type,year,0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award,Intentionally_create:has_theme,Her novel Beloved,0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Endowment_for_the_Humanities,Choosing:has_theme,http://en.wikipedia.org/wiki/Toni_Morrison,0.9,Unknown,True
http://en.wikipedia.org/wiki/African_Americans,Calendric_unit:has_theme,same,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Ordinal_numbers:has_type,novel,0.9,Unknown,True
