Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Raymond_F._Chandler,1939,has time,Text
http://en.wikipedia.org/wiki/Humphrey_Bogart,possess elements of mystery,has theme,Coincidence
http://en.wikipedia.org/wiki/Black_Mask_(magazine),pulp,has theme,Text
http://en.wikipedia.org/wiki/Philip_Marlowe,Hammett's Sam Spade,has theme,Similarity
http://en.wikipedia.org/wiki/Raymond_F._Chandler,1933,has time,Text
http://en.wikipedia.org/wiki/Black_Mask_(magazine),"Black Mask, a pulp magazine",has location,Publishing
http://en.wikipedia.org/wiki/The_Simple_Art_of_Murder,Simple Art of Murder,has activity,Fields
http://en.wikipedia.org/wiki/Humphrey_Bogart,mainstream,has theme,Text
http://en.wikipedia.org/wiki/Raymond_Chandler,detective fiction,has theme,Judgment_communication
http://en.wikipedia.org/wiki/Black_Mask_(magazine),novels,has text,Text
http://en.wikipedia.org/wiki/Robert_B._Parker,Mystery Writers of America,has theme,Leadership
http://en.wikipedia.org/wiki/United_States,literature,has text,Text
http://en.wikipedia.org/wiki/United_States,1932,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Black_Mask_(magazine),1939,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/Black_Mask_(magazine),stories,has theme,Duration_description
http://en.wikipedia.org/wiki/Humphrey_Bogart,elements of mystery,has theme,Possession
http://en.wikipedia.org/wiki/Black_Mask_(magazine),1933,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/Dashiell_Hammett,hardboiled,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Humphrey_Bogart,qualify as a serious and significant mainstream novel that just happened to possess elements of mystery,has theme,Ordinal_numbers
http://en.wikipedia.org/wiki/Dashiell_Hammett,"Philip Marlowe, like Hammett's Sam Spade",has item,Categorization
http://en.wikipedia.org/wiki/Raymond_Chandler,during the Great Depression,has time,Finish_competition
http://en.wikipedia.org/wiki/Humphrey_Bogart,Hammett's The Glass Key,has work,Publishing
http://en.wikipedia.org/wiki/United_States,1932,has time,Substance
http://en.wikipedia.org/wiki/Black_Mask_(magazine),before,has theme,Time_vector
http://en.wikipedia.org/wiki/Humphrey_Bogart,more than twenty years earlier,has time,Publishing
http://en.wikipedia.org/wiki/Raymond_F._Chandler,http://en.wikipedia.org/wiki/Raymond_Chandler,has creator,Intentionally_create
http://en.wikipedia.org/wiki/Humphrey_Bogart,Crime Writers'Association,has theme,People_by_vocation
http://en.wikipedia.org/wiki/Humphrey_Bogart,anthology,has text,Text
http://en.wikipedia.org/wiki/United_States,company,has business,Businesses
http://en.wikipedia.org/wiki/United_States,oil,has product,Businesses
http://en.wikipedia.org/wiki/Philip_Marlowe,whom,has item,Categorization
http://en.wikipedia.org/wiki/Raymond_Chandler,American popular literature,has theme,Objective_influence
http://en.wikipedia.org/wiki/Black_Mask_(magazine),magazine,has text,Text
http://en.wikipedia.org/wiki/Black_Mask_(magazine),year,has event,Time_vector
http://en.wikipedia.org/wiki/Black_Mask_(magazine),novel,has item,Ordinal_numbers
http://en.wikipedia.org/wiki/Humphrey_Bogart,novel,has text,Text
http://en.wikipedia.org/wiki/Black_Mask_(magazine),his death,has theme,Time_vector
http://en.wikipedia.org/wiki/Mystery_Writers_of_America,year before his death,has time,Change_of_leadership
http://en.wikipedia.org/wiki/United_States,1932,has time,Businesses
http://en.wikipedia.org/wiki/Humphrey_Bogart,"his "" The Simple Art of Murder ",has text,Text
http://en.wikipedia.org/wiki/Black_Mask_(magazine),short story,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Crime_Writers'_Association,crime stories,has entity,Origin
