subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,Alternatives:has_purpose,his home,0.9,Unknown,True
http://en.wikipedia.org/wiki/Luo_Guanzhong,Awareness:has_theme,people's lives in Shandong,0.9,Unknown,True
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,Certainty:has_location,http://en.wikipedia.org/wiki/Shandong,0.9,Unknown,True
http://en.wikipedia.org/wiki/Luo_Guanzhong,Residence:has_time,during the Ming dynasty,0.9,Unknown,True
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,Certainty:has_theme,some people,0.9,Unknown,True
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,Being_necessary:has_theme,citation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,Make_acquaintance:has_time,1364,0.9,Unknown,True
http://en.wikipedia.org/wiki/China,Adducing:has_role,citations,0.9,Unknown,True
http://en.wikipedia.org/wiki/Luo_Guanzhong,Source_of_getting:has_theme,sources,0.9,Unknown,True
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,Statement:has_theme,"other possibilities for his home, also including Hangzhou and Jiangnan",0.9,Unknown,True
http://en.wikipedia.org/wiki/China,Verification:has_theme,This article,0.9,Unknown,True
http://en.wikipedia.org/wiki/China,Being_named:has_time,2017,0.9,Unknown,True
http://en.wikipedia.org/wiki/China,Trust:has_information,sources,0.9,Unknown,True
http://en.wikipedia.org/wiki/China,Being_named:has_theme,name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,Temporal_subregion:has_theme,Yuan,0.9,Unknown,True
http://en.wikipedia.org/wiki/China,Have_as_requirement:has_theme,This article,0.9,Unknown,True
http://en.wikipedia.org/wiki/Records_of_the_Three_Kingdoms,Being_born:has_location,"Dongyuan, the province of Shandong",0.9,Unknown,True
