subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/William_Faulkner,Text_creation:has_location,Yoknapatawpha County,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Giving:has_theme,two Nobel laureates,0.9,Unknown,True
http://en.wikipedia.org/wiki/Southern_United_States_literature,Origin:has_theme,http://en.wikipedia.org/wiki/United_States,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Mississippi,Relative_time:has_theme,year,0.9,Unknown,True
http://en.wikipedia.org/wiki/Southern_United_States_literature,Part_orientational:has_theme,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Sound_and_the_Fury,Win_prize:has_prize,http://en.wikipedia.org/wiki/Pulitzer_Prize_for_Fiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Text:has_author,Ernest Hemingway's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Southern_United_States_literature,Text_creation:has_text,American literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Faulkner,Fame:has_entity,Faulkner's,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Mississippi,Change_position_on_a_scale:has_time,following publication of Malcolm Cowley's The Portable Faulkner,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Mississippi,Ordinal_numbers:has_time,1927,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Mississippi,Education_teaching:has_theme,only Mississippi-born,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Faulkner,Text:has_text,Sound and the Fury,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Leadership:has_leader,laureates,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Becoming_a_member:has_group,Royal Canadian Air Force,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Faulkner,Text_creation:has_text,his first novel Soldiers'Pay (1925),0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Mississippi,Ordinal_numbers:has_location,Yoknapatawpha County,0.9,Unknown,True
http://en.wikipedia.org/wiki/Southern_United_States_literature,Receiving:has_theme,1949 Nobel Prize in Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Mississippi,Text:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Faulkner,Increment:has_class,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Sound_and_the_Fury,Removing:has_theme,former film,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Faulkner,Fame:has_degree,best,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Leadership:has_theme,Nobel,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Mississippi,Behind_the_scenes:has_time,former,0.9,Unknown,True
http://en.wikipedia.org/wiki/Southern_United_States_literature,Categorization:has_category,greatest writer of Southern literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Becoming_a_member:has_time,During World War I,0.9,Unknown,True
