subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Charlotte_Brontë,Kinship:has_location,http://en.wikipedia.org/wiki/Lancashire,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cowan_Bridge,Measure_duration:has_theme,few,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mirfield,Interior_profile_relation:has_theme,"teach her sisters, Emily and Anne",0.9,Unknown,True
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",Operating_a_system:has_location,http://en.wikipedia.org/wiki/Brussels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Eyre,Behind_the_scenes:has_theme,school's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Eyre,Locale_by_use:has_theme,School,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brussels,Desiring:has_event,acquiring the skills required to open a school of her own,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brussels,Temporal_collocation:has_theme,"Charlotte joined the Heger Pensionnat, a girls' boarding school in Brussels, as a student teacher, in the hope of acquiring the skills required to open a school of her own",0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Eyre,Becoming:has_time,since,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",Departing:has_time,following year,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charlotte_Brontë,Publishing:has_work,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cowan_Bridge,Measure_duration:has_theme,months,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charlotte_Brontë,Successful_action:has_theme,"Charlotte, Emily and Anne",0.9,Unknown,True
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",Text:has_location,http://en.wikipedia.org/wiki/Jane_Eyre,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Eyre,Being_named:has_theme,as a classic of English literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Lancashire,Measure_duration:has_theme,years,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mirfield,Temporal_collocation:has_theme,Charlotte became a pupil at Roe Head School in Mirfield,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mirfield,Relative_time:has_theme,year,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mirfield,Purpose:has_goal,"teach her sisters, Emily and Anne, at home",0.9,Unknown,True
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",Using:has_role,as the model for Lowood School in Jane Eyre,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charlotte_Brontë,Publishing:has_theme,under the pseudonym Currer Bell,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charlotte_Brontë,Kinship:has_theme,Charlotte Brontë -> http://en.wikipedia.org/wiki/Charlotte_Brontë,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charlotte_Brontë,Fame:has_reason,"her novel Jane Eyre, which was published under the pseudonym Currer Bell",0.9,Unknown,True
http://en.wikipedia.org/wiki/Charlotte_Brontë,Fields:has_theme,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cowan_Bridge,Conquering:has_theme,"love with the school's director, Constantin Heger, a married man, who inspired both the character of Rochester in Jane Eyre, and Charlotte's first novel, The Professor",0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Eyre,Locale_by_use:has_theme,Lowood,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cowan_Bridge,Being_employed:has_position,as governess to a local family,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",Education_teaching:has_location,home,0.9,Unknown,True
