subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/New_England,Statement:has_speaker,Lowell,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Emphasizing:has_theme,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Quantified_mass:has_quantity,number,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Carlos_Williams,Serving_in_capacity:has_location,where,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Origin:has_entity,poets,0.9,Unknown,True
http://en.wikipedia.org/wiki/Life_Studies,Part_whole:has_time,1959,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Individual_history:has_participant,American poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Allen_Tate,Subjective_influence:has_entity,who,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Temporal_collocation:has_theme,work,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Political_locales:has_time,1959,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Expensiveness:has_goods,verse,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Proportional_quantity:has_theme,some,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Political_locales:has_theme,National,0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Award_for_Poetry,Win_prize:has_prize,National Institute of Arts and Letters Award,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Labor_product:has_agent,Lowell,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Being_employed:has_time,over the course of his career,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Categorization:has_theme,Lowell,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Locale:has_theme,region,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Cause_to_amalgamate:has_theme,personal,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Categorization:has_category,important part of the confessional poetry movement,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Likelihood:has_theme,combination,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Categorization:has_category,one of the most important American poets of the postwar era,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Age:has_entity,emphasis,0.9,Unknown,True
http://en.wikipedia.org/wiki/Library_of_Congress,Appointing:has_location,Poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Age:has_time,1959,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Labor_product:has_theme,work,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Categorization:has_theme,particularly in his early work,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Discussion:has_time,1959,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Desiring:has_theme,American poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Cause_to_amalgamate:has_theme,public,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Categorization:has_time,"After the publication of his 1959 book Life Studies, which won the 1960 National Book Award and ""featured a new emphasis on intense, uninhibited discussion of personal, family, and psychological struggles",0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_Traill_(Irish_clergyman),People_by_vocation:has_time,1917,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Individual_history:has_theme,past,0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Award_for_Poetry,Win_prize:has_time,1947,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Quantified_mass:has_theme,distinctive stylistic modes and forms,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Type:has_theme,stylistic,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Origin:has_time,1917,0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston,Origin:has_theme,origins,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Importance:has_theme,his poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston,Kinship:has_theme,Boston Brahmin,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Emphasizing:has_theme,"intense, uninhibited discussion of personal, family, and psychological struggles",0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Time_vector:has_time,1959,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Origin:has_theme,http://en.wikipedia.org/wiki/United_States,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paula_Hayes,Opinion:has_opinion,"that Lowell mythologized New England, particularly in his early work",0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Typicality:has_theme,"confessional poetry "" model",0.9,Unknown,True
http://en.wikipedia.org/wiki/Library_of_Congress,Appointing:has_theme,http://en.wikipedia.org/wiki/Allen_Tate,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Text:has_author,Lowell,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Kinship:has_theme,American poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Type:has_theme,forms,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paula_Hayes,Opinion:has_theme,literary scholar Paula Hayes,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Text:has_text,poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Compliance:has_theme,"typical ""confessional poetry "" model",0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Origin:has_entity,poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Proportional_quantity:has_theme,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Text:has_author,American poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Measure_linear_extent:has_theme,verse,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text:has_time,1917,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Publishing:has_time,1959,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Kinship:has_time,1959,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Compliance:has_theme,"much of Lowell's work, which often combined the public with the personal",0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston,Being_born:has_theme,into a Boston Brahmin family that could trace its origins back to the Mayflower,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Age:has_age,new,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Categorization:has_item,http://en.wikipedia.org/wiki/Life_Studies,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Emphasizing:has_time,1959,0.9,Unknown,True
http://en.wikipedia.org/wiki/Library_of_Congress,Calendric_unit:has_theme,era,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Importance:has_time,1959,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Text:has_text,verse,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Time_vector:has_event,he was considered an important part of the confessional poetry movement,0.9,Unknown,True
http://en.wikipedia.org/wiki/Library_of_Congress,Calendric_unit:has_theme,postwar,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Being_employed:has_task,number of distinctive stylistic modes and forms,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Text:has_theme,some poems from Life Studies,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_England,Discussion:has_theme,"intense, uninhibited",0.9,Unknown,True
