Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Franz_Kafka,"Prague, in the Austro-Hungarian Empire",has location,Being_born
http://en.wikipedia.org/wiki/Bohemia,http://en.wikipedia.org/wiki/Franz_Kafka,has employee,Being_employed
http://en.wikipedia.org/wiki/History_of_the_Jews_in_Czechoslovakia,aged 40,has theme,Death
http://en.wikipedia.org/wiki/Franz_Kafka,Metamorphosis,has text,Text
http://en.wikipedia.org/wiki/Franz_Kafka,most,has degree,Fame
http://en.wikipedia.org/wiki/Franz_Kafka,letters,has text,Text
http://en.wikipedia.org/wiki/History_of_the_Jews_in_Czechoslovakia,"artists, philosophers, composers, filmmakers, literary historians, religious scholars, cultural theorists",has theme,Objective_influence
http://en.wikipedia.org/wiki/Bohemia,whom,has theme,Relation
http://en.wikipedia.org/wiki/Franz_Kafka,family and close friends,has addressee,Text_creation
http://en.wikipedia.org/wiki/Bohemia,http://en.wikipedia.org/wiki/Franz_Kafka,has theme,Relative_time
http://en.wikipedia.org/wiki/Bohemia,legal,has theme,Education_teaching
http://en.wikipedia.org/wiki/Bohemia,legal,has theme,Domain
http://en.wikipedia.org/wiki/History_of_the_Jews_in_Czechoslovakia,His work,has theme,Objective_influence
http://en.wikipedia.org/wiki/History_of_the_Jews_in_Czechoslovakia,1924,has time,Death
http://en.wikipedia.org/wiki/Franz_Kafka,1924,has time,Age
http://en.wikipedia.org/wiki/History_of_the_Jews_in_Czechoslovakia,literature,has theme,Fields
http://en.wikipedia.org/wiki/History_of_the_Jews_in_Czechoslovakia,1915,has time,Text
http://en.wikipedia.org/wiki/Bohemia,as a lawyer,has role,Education_teaching
http://en.wikipedia.org/wiki/Bohemia,full-time,has theme,Being_employed
http://en.wikipedia.org/wiki/Bohemia,letters,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Franz_Kafka,hundreds of letters,has text,Text_creation
http://en.wikipedia.org/wiki/Bohemia,1912,has time,Fields
http://en.wikipedia.org/wiki/Franz_Kafka,term Kafkaesque,has theme,Arriving
http://en.wikipedia.org/wiki/Bohemia,http://en.wikipedia.org/wiki/Franz_Kafka,has theme,Relation
http://en.wikipedia.org/wiki/Franz_Kafka,describe situations like those depicted in his writings,has purpose,Arriving
http://en.wikipedia.org/wiki/Bohemia,stories,has theme,Duration_description
http://en.wikipedia.org/wiki/Bohemia,little,has degree,Attention
http://en.wikipedia.org/wiki/Bohemia,1912,has time,Publishing
http://en.wikipedia.org/wiki/Franz_Kafka,work,has theme,Labor_product
http://en.wikipedia.org/wiki/Bohemia,during his life,has time,Publishing
http://en.wikipedia.org/wiki/Austria,Kafka disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Bohemia,"his father, with whom he had a strained and formal relationship",has theme,Inclusion
http://en.wikipedia.org/wiki/History_of_the_Jews_in_Czechoslovakia,socio- bureaucratic,has type,Leadership
http://en.wikipedia.org/wiki/Franz_Kafka,his novels and short stories,has reason,Fame
http://en.wikipedia.org/wiki/Franz_Kafka,1912,has time,Text
http://en.wikipedia.org/wiki/Franz_Kafka,Franz Kafka  b  3 July 1883 – 3 June 1924,has person,Being_born
http://en.wikipedia.org/wiki/History_of_the_Jews_in_Czechoslovakia,isolated protagonists facing bizarre or surreal predicaments and incomprehensible socio- bureaucratic powers,has role,Performers_and_roles
http://en.wikipedia.org/wiki/Bohemia,http://en.wikipedia.org/wiki/Franz_Kafka,has theme,Being_obligated
http://en.wikipedia.org/wiki/Bohemia,women,has person,People
