Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Lord_Byron,"Ottoman Empire, for which Greeks revere him as a folk hero",has theme,Hostile_encounter
http://en.wikipedia.org/wiki/Lord_Byron,his friend and fellow poet Percy Bysshe Shelley,has entity,Visiting
http://en.wikipedia.org/wiki/Lord_Byron,http://en.wikipedia.org/wiki/Hebrew_Melodies,has location,Text
http://en.wikipedia.org/wiki/Lord_Byron,http://en.wikipedia.org/wiki/Ancient_Greece,has theme,Judgment
http://en.wikipedia.org/wiki/Lord_Byron,works,has theme,Labor_product
http://en.wikipedia.org/wiki/England,who,has theme,Arriving
http://en.wikipedia.org/wiki/Lord_Byron,extensively in Europe,has theme,Travel
http://en.wikipedia.org/wiki/Greek_War_of_Independence,Later in life,has time,Becoming_a_member
http://en.wikipedia.org/wiki/Lord_Byron,Lord Byron,has document,Documents
"http://en.wikipedia.org/wiki/Trinity_College,_Cambridge",http://en.wikipedia.org/wiki/Europe,has location,Education_teaching
http://en.wikipedia.org/wiki/Italy,http://en.wikipedia.org/wiki/England,has theme,Fleeing
http://en.wikipedia.org/wiki/United_Kingdom,greatest British poets,has theme,Be_subset_of
http://en.wikipedia.org/wiki/Aberdeenshire,child of Captain John 'Jack' Byron,has type,Sole_instance
"http://en.wikipedia.org/wiki/Trinity_College,_Cambridge","Trinity College, Cambridge",has institution,Education_teaching
http://en.wikipedia.org/wiki/Lord_Byron,uses,has class,Increment
http://en.wikipedia.org/wiki/Greek_War_of_Independence,http://en.wikipedia.org/wiki/Lord_Byron,has theme,Becoming_a_member
http://en.wikipedia.org/wiki/Lord_Byron,Captain John 'Jack' Byron,has theme,Personal_relationship
"http://en.wikipedia.org/wiki/Trinity_College,_Cambridge",leading a campaign in 1824,has theme,Death
http://en.wikipedia.org/wiki/Lord_Byron,"Captain John 'Jack'Byron and his second wife, Catherine Gordon of the Clan Gordon ",has theme,People_by_age
http://en.wikipedia.org/wiki/Greek_War_of_Independence,after the first and second sieges of Missolonghi,has time,Come_down_with
http://en.wikipedia.org/wiki/Lord_Byron,only,has theme,People_by_age
http://en.wikipedia.org/wiki/Midlands,http://en.wikipedia.org/wiki/England,has location,Kinship
http://en.wikipedia.org/wiki/Lord_Byron,http://en.wikipedia.org/wiki/Aberdeenshire,has location,Personal_relationship
http://en.wikipedia.org/wiki/Lord_Byron,father,has theme,Kinship
http://en.wikipedia.org/wiki/Hebrew_Melodies,his best-known works,has theme,Be_subset_of
http://en.wikipedia.org/wiki/United_Kingdom,http://en.wikipedia.org/wiki/Lord_Byron,has theme,Be_subset_of
http://en.wikipedia.org/wiki/Greek_War_of_Independence,fever,has theme,Come_down_with
http://en.wikipedia.org/wiki/Italy,http://en.wikipedia.org/wiki/Lord_Byron,has theme,Fleeing
http://en.wikipedia.org/wiki/Lord_Byron,figures of the Romantic movement,has theme,Importance
http://en.wikipedia.org/wiki/United_Kingdom,http://en.wikipedia.org/wiki/Lord_Byron,has item,Categorization
http://en.wikipedia.org/wiki/Hebrew_Melodies,lyrics,has theme,Duration_description
http://en.wikipedia.org/wiki/Hebrew_Melodies,many of his shorter lyrics in Hebrew Melodies,has entity,Becoming
http://en.wikipedia.org/wiki/Hebrew_Melodies,popular,has theme,Becoming
http://en.wikipedia.org/wiki/Greek_War_of_Independence,36,has age,Age
http://en.wikipedia.org/wiki/Lord_Byron,as a folk hero,has role,Judgment
http://en.wikipedia.org/wiki/Lord_Byron,holders,has class,Increment
http://en.wikipedia.org/wiki/Greek_War_of_Independence,His land holdings,has text,Text_creation
"http://en.wikipedia.org/wiki/Trinity_College,_Cambridge",http://en.wikipedia.org/wiki/Lord_Byron,has theme,Death
http://en.wikipedia.org/wiki/Lord_Byron,Byron disambiguation and George Byron disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Hebrew_Melodies,his shorter lyrics in Hebrew Melodies,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Lord_Byron,http://en.wikipedia.org/wiki/London,has location,Kinship
"http://en.wikipedia.org/wiki/Trinity_College,_Cambridge","Italy, in Venice, Ravenna, Pisa and Genoa",has location,Residence
http://en.wikipedia.org/wiki/Hebrew_Melodies,many,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/England,http://en.wikipedia.org/wiki/Lord_Byron,has theme,Causation
http://en.wikipedia.org/wiki/England,flee England,has effect,Causation
http://en.wikipedia.org/wiki/Italy,http://en.wikipedia.org/wiki/Lord_Byron,has theme,Duration_description
http://en.wikipedia.org/wiki/Lord_Byron,frequently,has theme,Visiting
http://en.wikipedia.org/wiki/Lord_Byron,http://en.wikipedia.org/wiki/Europe,has location,Travel
http://en.wikipedia.org/wiki/Greek_War_of_Independence,"Byron joined the Greek War of Independence to fight the Ottoman Empire, for which Greeks revere him as a folk hero",has event,Time_vector
"http://en.wikipedia.org/wiki/Trinity_College,_Cambridge",before he travelled extensively in Europe,has time,Education_teaching
http://en.wikipedia.org/wiki/Lord_Byron,Holles Street in London,has location,Being_born
http://en.wikipedia.org/wiki/Greek_War_of_Independence,folk,has person,People
http://en.wikipedia.org/wiki/Greek_War_of_Independence,"http://en.wikipedia.org/wiki/Oare,_Somerset",has theme,Text_creation
http://en.wikipedia.org/wiki/Lord_Byron,http://en.wikipedia.org/wiki/Aberdeenshire,has location,People_by_age
http://en.wikipedia.org/wiki/Aberdeenshire,heiress,has theme,Kinship
http://en.wikipedia.org/wiki/Lord_Byron,http://en.wikipedia.org/wiki/Italy,has location,Visiting
"http://en.wikipedia.org/wiki/Trinity_College,_Cambridge",http://en.wikipedia.org/wiki/Lord_Byron,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Greek_War_of_Independence,"fight the Ottoman Empire, for which Greeks revere him as a folk hero",has purpose,Becoming_a_member
http://en.wikipedia.org/wiki/United_Kingdom,as being among the greatest British poets,has category,Categorization
http://en.wikipedia.org/wiki/London,life of Lord Byron,has theme,Temporal_subregion
"http://en.wikipedia.org/wiki/Trinity_College,_Cambridge",after he was forced to flee England due to threats of lynching,has time,Residence
http://en.wikipedia.org/wiki/Greek_War_of_Independence,Greek,has theme,Hostile_encounter
http://en.wikipedia.org/wiki/Lord_Byron,best-known,has theme,Labor_product
"http://en.wikipedia.org/wiki/Trinity_College,_Cambridge",http://en.wikipedia.org/wiki/Lord_Byron,has student,Education_teaching
http://en.wikipedia.org/wiki/Lord_Byron,During his stay in Italy,has time,Visiting
http://en.wikipedia.org/wiki/Italy,seven,has theme,Measure_duration
http://en.wikipedia.org/wiki/Lord_Byron,http://en.wikipedia.org/wiki/Hebrew_Melodies,has theme,Text
"http://en.wikipedia.org/wiki/Trinity_College,_Cambridge",http://en.wikipedia.org/wiki/Italy,has location,Personal_relationship
http://en.wikipedia.org/wiki/Greek_War_of_Independence,Ottoman,has theme,Political_locales
http://en.wikipedia.org/wiki/Midlands,family,has theme,Kinship
"http://en.wikipedia.org/wiki/Trinity_College,_Cambridge",friend,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Lord_Byron,Byron's,has theme,Kinship
http://en.wikipedia.org/wiki/England,due to threats of lynching,has cause,Causation
http://en.wikipedia.org/wiki/Lord_Byron,wife,has theme,Personal_relationship
"http://en.wikipedia.org/wiki/Trinity_College,_Cambridge",fever contracted after the first and second sieges of Missolonghi,has theme,Death
"http://en.wikipedia.org/wiki/Trinity_College,_Cambridge",http://en.wikipedia.org/wiki/Lord_Byron,has theme,Residence
http://en.wikipedia.org/wiki/London,Early,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Greek_War_of_Independence,Empire,has theme,Political_locales
http://en.wikipedia.org/wiki/Italy,years,has theme,Measure_duration
http://en.wikipedia.org/wiki/Aberdeenshire,wife,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Greek_War_of_Independence,sieges of Missolonghi,has type,Ordinal_numbers
"http://en.wikipedia.org/wiki/Trinity_College,_Cambridge",age of 36,has time,Death
http://en.wikipedia.org/wiki/Hebrew_Melodies,lengthy narratives Don Juan and Childe Harold's Pilgrimage,has theme,Be_subset_of
http://en.wikipedia.org/wiki/Hebrew_Melodies,many of his shorter lyrics in Hebrew Melodies,has theme,Desirability
http://en.wikipedia.org/wiki/Lord_Byron,lyrics,has text,Text
http://en.wikipedia.org/wiki/Greek_War_of_Independence,War of Independence,has entity,Origin
