Source,Target,Label,Frame
http://en.wikipedia.org/wiki/James_Blish,early 20th century,has time,Process_start
http://en.wikipedia.org/wiki/T._S._Eliot,20th century,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/T._S._Eliot,late,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/London,discover and shape the work of contemporaries such as H.D,has goal,Assistance
http://en.wikipedia.org/wiki/T._S._Eliot,Young,has age,People
http://en.wikipedia.org/wiki/T._S._Eliot,1915,has theme,Text
http://en.wikipedia.org/wiki/Ezra_Pound,carnage of World War I,has theme,Experiencer_obj
http://en.wikipedia.org/wiki/London,http://en.wikipedia.org/wiki/Ezra_Pound,has theme,Assistance
http://en.wikipedia.org/wiki/T._S._Eliot,early,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/United_States,Fascist Italy,has location,Text
http://en.wikipedia.org/wiki/T._S._Eliot,incarnation as a German puppet state,has theme,Relative_time
http://en.wikipedia.org/wiki/T._S._Eliot,1924,has time,Text
http://en.wikipedia.org/wiki/James_Blish,who,has author,Text_creation
http://en.wikipedia.org/wiki/James_Blish,economy,has theme,Economy
http://en.wikipedia.org/wiki/T._S._Eliot,http://en.wikipedia.org/wiki/Ezra_Pound,has theme,Judgment
http://en.wikipedia.org/wiki/James_Blish,1914,has time,Responsibility
http://en.wikipedia.org/wiki/The_Cantos,1924,has time,Being_named
http://en.wikipedia.org/wiki/James_Blish,http://en.wikipedia.org/wiki/Ezra_Pound,has agent,Cause_to_make_progress
http://en.wikipedia.org/wiki/James_Blish,1913,has time,Temporal_subregion
http://en.wikipedia.org/wiki/Ernest_Hemingway,"that, for poets born in the late 19th or early 20th century, not to be influenced by Pound would be "" like passing through a great blizzard and not feeling its cold",has message,Statement
http://en.wikipedia.org/wiki/T._S._Eliot,Man,has entity,Age
http://en.wikipedia.org/wiki/James_Blish,modernist poetry movement,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Ernest_Hemingway,1932,has time,Text_creation
http://en.wikipedia.org/wiki/T._S._Eliot,1932,has time,Traversing
http://en.wikipedia.org/wiki/T._S._Eliot,1932,has time,Perception_experience
http://en.wikipedia.org/wiki/James_Blish,early modernist poetry movement,has theme,Importance
http://en.wikipedia.org/wiki/James_Blish,"Imagism, a movement stressing precision and economy of language",has project,Cause_to_make_progress
http://en.wikipedia.org/wiki/James_Blish,Fascist Italy,has location,Origin
http://en.wikipedia.org/wiki/The_Cantos,1932,has time,Subjective_influence
http://en.wikipedia.org/wiki/James_Blish,http://en.wikipedia.org/wiki/United_States,has theme,Origin
http://en.wikipedia.org/wiki/The_Cantos,as social credit,has theme,Being_named
http://en.wikipedia.org/wiki/The_Cantos,poets,has person,Being_born
http://en.wikipedia.org/wiki/T._S._Eliot,war,has reason,Judgment
http://en.wikipedia.org/wiki/Oswald_Mosley,1924,has time,Contacting
http://en.wikipedia.org/wiki/Oswald_Mosley,publications owned by the British fascist Oswald Mosley,has purpose,Contacting
http://en.wikipedia.org/wiki/T._S._Eliot,British fascist Oswald Mosley,has owner,Possession
http://en.wikipedia.org/wiki/T._S._Eliot,government,has leader,Leadership
http://en.wikipedia.org/wiki/James_Blish,work of contemporaries such as H.D,has theme,Becoming_aware
http://en.wikipedia.org/wiki/United_States,poet and critic,has entity,Origin
http://en.wikipedia.org/wiki/The_Cantos,late 19th or early 20th century,has time,Being_born
http://en.wikipedia.org/wiki/James_Blish,http://en.wikipedia.org/wiki/London,has location,Origin
http://en.wikipedia.org/wiki/T._S._Eliot,poets,has person,People_by_vocation
http://en.wikipedia.org/wiki/T._S._Eliot,1924,has time,Possession
http://en.wikipedia.org/wiki/T._S._Eliot,not to be influenced by Pound,has theme,Similarity
http://en.wikipedia.org/wiki/James_Blish,movement,has theme,Convey_importance
http://en.wikipedia.org/wiki/James_Blish,poet and critic,has entity,Origin
http://en.wikipedia.org/wiki/T._S._Eliot,Young,has age,Age
http://en.wikipedia.org/wiki/James_Blish,http://en.wikipedia.org/wiki/Ezra_Pound,has theme,Becoming_aware
http://en.wikipedia.org/wiki/London,American literary,has theme,Text
http://en.wikipedia.org/wiki/T._S._Eliot,1932,has time,Ambient_temperature
http://en.wikipedia.org/wiki/James_Blish,figure,has theme,Importance
http://en.wikipedia.org/wiki/T._S._Eliot,1932,has time,People_by_vocation
http://en.wikipedia.org/wiki/T._S._Eliot,Man,has person,People
http://en.wikipedia.org/wiki/T._S._Eliot,1932,has time,Temporal_subregion
http://en.wikipedia.org/wiki/London,foreign,has theme,Foreign_or_domestic_country
http://en.wikipedia.org/wiki/T._S._Eliot,passing through a great blizzard and not feeling its cold,has theme,Similarity
