Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Middle_Ages,establish the modern-day standardized Italian language,has goal,Assistance
http://en.wikipedia.org/wiki/La_Vita_Nuova,larger body of Western art and literature,has theme,Subjective_influence
http://en.wikipedia.org/wiki/Middle_Ages,one of the most important poems of the Middle Ages and the greatest literary work in the Italian language,has category,Categorization
http://en.wikipedia.org/wiki/Italy,uses,has class,Increment
http://en.wikipedia.org/wiki/Middle_Ages,follow,has event,Time_vector
http://en.wikipedia.org/wiki/Middle_Ages,"interlocking three-line rhyme scheme, or the terza rima,",has means,Purpose
http://en.wikipedia.org/wiki/La_Vita_Nuova,"first use of the interlocking three-line rhyme scheme, or the terza rima,",has evaluee,Judgment
http://en.wikipedia.org/wiki/Middle_Ages,use of the interlocking three-line rhyme scheme,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/La_Vita_Nuova,"English writers such as Geoffrey Chaucer, John Milton, and Alfred Tennyson, among many others",has theme,Subjective_influence
http://en.wikipedia.org/wiki/Middle_Ages,"His Divine Comedy, originally called Comeda modern Italian: Commedia  and later christened Divina by Giovanni Boccaccio",has item,Categorization
http://en.wikipedia.org/wiki/Middle_Ages,Western art and literature,has theme,Aggregate
http://en.wikipedia.org/wiki/Divine_Comedy,http://en.wikipedia.org/wiki/Giovanni_Boccaccio,has speaker,Name_conferral
http://en.wikipedia.org/wiki/Divine_Comedy,His Divine Comedy,has entity,Name_conferral
http://en.wikipedia.org/wiki/Dante_Alighieri,works such as The New Life 1295 and Divine Comedy,has purpose,Using
http://en.wikipedia.org/wiki/Middle_Ages,literary,has theme,Fields
http://en.wikipedia.org/wiki/English_language,writers,has text,Text
http://en.wikipedia.org/wiki/La_Vita_Nuova,http://en.wikipedia.org/wiki/Dante_Alighieri,has theme,Judgment
http://en.wikipedia.org/wiki/Middle_Ages,poems,has theme,Importance
http://en.wikipedia.org/wiki/Middle_Ages,writers,has author,Text_creation
http://en.wikipedia.org/wiki/Italy,poets,has text,Text
http://en.wikipedia.org/wiki/Middle_Ages,Italian writers such as Petrarch and Boccaccio,has theme,Importance
http://en.wikipedia.org/wiki/Dante_Alighieri,http://en.wikipedia.org/wiki/Italy,has location,Subjective_influence
http://en.wikipedia.org/wiki/Divine_Comedy,Comeda modern Italian: Commedia,has theme,Referring_by_name
http://en.wikipedia.org/wiki/Middle_Ages,writing,has theme,Expertise
http://en.wikipedia.org/wiki/Middle_Ages,Italian poets,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Middle_Ages,inspiration,has theme,Supply
http://en.wikipedia.org/wiki/Middle_Ages,http://en.wikipedia.org/wiki/Italy,has theme,Origin
http://en.wikipedia.org/wiki/Italy,Dante disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Middle_Ages,language,has theme,Dominate_situation
http://en.wikipedia.org/wiki/Middle_Ages,writing,has theme,Fields
http://en.wikipedia.org/wiki/Middle_Ages,country,has theme,Political_locales
http://en.wikipedia.org/wiki/Italy,inspiration,has theme,Cause_motion
http://en.wikipedia.org/wiki/Italy,French or Provençal traditions,has theme,Subjective_influence
http://en.wikipedia.org/wiki/Dante_Alighieri,country's national poets and the Western world's greatest literary icons,has theme,Be_subset_of
http://en.wikipedia.org/wiki/Middle_Ages,art,has theme,Fields
http://en.wikipedia.org/wiki/Italy,many Italian poets,has agent,Cause_motion
http://en.wikipedia.org/wiki/Middle_Ages,works,has text,Text
http://en.wikipedia.org/wiki/Middle_Ages,"His depictions of Hell, Purgatory, and Heaven",has theme,Supply
http://en.wikipedia.org/wiki/Middle_Ages,national,has theme,Political_locales
http://en.wikipedia.org/wiki/Middle_Ages,French or Provençal,has theme,Custom
http://en.wikipedia.org/wiki/Middle_Ages,writing,has text,Text
http://en.wikipedia.org/wiki/Dante_Alighieri,establishing the literature of Italy,has theme,Importance
http://en.wikipedia.org/wiki/Middle_Ages,dominant language for scholarly and literary writing,has theme,Continued_state_of_affairs
http://en.wikipedia.org/wiki/Middle_Ages,http://en.wikipedia.org/wiki/Italy,has location,Fields
http://en.wikipedia.org/wiki/Middle_Ages,His use of the Florentine dialect for works such as The New Life 1295 and Divine Comedy,has theme,Assistance
http://en.wikipedia.org/wiki/Tuscan_dialect,Tuscan dialect,has entity,Indigenous_origin
http://en.wikipedia.org/wiki/Middle_Ages,poems,has text,Text
http://en.wikipedia.org/wiki/Dante_Alighieri,be among the country's national poets and the Western world's greatest literary icons,has category,Categorization
http://en.wikipedia.org/wiki/Dante_Alighieri,poets,has text,Text
http://en.wikipedia.org/wiki/Divine_Comedy,His Divine Comedy,has entity,Referring_by_name
http://en.wikipedia.org/wiki/Divine_Comedy,originally,has time,Referring_by_name
http://en.wikipedia.org/wiki/Dante_Alighieri,literature of Italy,has theme,Intentionally_create
http://en.wikipedia.org/wiki/Dante_Alighieri,"as the "" father "" of the Italian language",has category,Categorization
http://en.wikipedia.org/wiki/Middle_Ages,poets,has entity,Origin
http://en.wikipedia.org/wiki/Middle_Ages,larger,has theme,Aggregate
http://en.wikipedia.org/wiki/Dante_Alighieri,Florentine dialect,has instrument,Using
http://en.wikipedia.org/wiki/Middle_Ages,body,has theme,Aggregate
http://en.wikipedia.org/wiki/Middle_Ages,many,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/La_Vita_Nuova,"His depictions of Hell, Purgatory, and Heaven",has theme,Subjective_influence
http://en.wikipedia.org/wiki/Middle_Ages,scholarly and literary,has theme,Text
http://en.wikipedia.org/wiki/Middle_Ages,christened Divina by Giovanni Boccaccio,has theme,Relative_time
http://en.wikipedia.org/wiki/Middle_Ages,literature,has theme,Fields
http://en.wikipedia.org/wiki/Middle_Ages,still,has theme,Continued_state_of_affairs
http://en.wikipedia.org/wiki/La_Vita_Nuova,http://en.wikipedia.org/wiki/Dante_Alighieri,has entity,Subjective_influence
http://en.wikipedia.org/wiki/Middle_Ages,modern-day standardized Italian language,has theme,Intentionally_create
http://en.wikipedia.org/wiki/Italy,many Italian poets,has theme,Subjective_influence
http://en.wikipedia.org/wiki/Middle_Ages,scholarly defenses of the vernacular,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Italy,French or Provençal traditions,has theme,Cause_motion
http://en.wikipedia.org/wiki/Dante_Alighieri,"vernacular, specifically his native Tuscan dialect",has text,Text_creation
http://en.wikipedia.org/wiki/Middle_Ages,country's,has theme,Political_locales
http://en.wikipedia.org/wiki/Dante_Alighieri,http://en.wikipedia.org/wiki/Italy,has location,Categorization
http://en.wikipedia.org/wiki/Divine_Comedy,http://en.wikipedia.org/wiki/Divina,has theme,Name_conferral
http://en.wikipedia.org/wiki/Dante_Alighieri,"as il Sommo Poeta ""the Supreme Poet """,has product,Subjective_influence
http://en.wikipedia.org/wiki/Middle_Ages,larger body of Western art and literature,has recipient,Supply
