Source,Target,Label,Frame
http://en.wikipedia.org/wiki/David_Icke,"British conspiracy theorist David Icke and his works, which contain antisemitic conspiracy theories, along with criticisms of her own writings",has reason,Judgment_communication
http://en.wikipedia.org/wiki/David_Icke,East Putnam Consolidated,has location,Measure_duration
http://en.wikipedia.org/wiki/Alice_Walker,1982,has time,Becoming
http://en.wikipedia.org/wiki/Alice_Walker,1982,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/Walker_(film),multiple accusations of antisemitism,has issue,Confronting_problem
http://en.wikipedia.org/wiki/Alice_Walker,College,has theme,Locale_by_use
http://en.wikipedia.org/wiki/United_States,author and activist,has entity,Origin
http://en.wikipedia.org/wiki/Alice_Walker,1944,has time,Increment
http://en.wikipedia.org/wiki/Alice_Walker,just four years,has age,Age
http://en.wikipedia.org/wiki/David_Icke,money,has class,Increment
http://en.wikipedia.org/wiki/David_Icke,her right eye,has theme,Experience_bodily_harm
http://en.wikipedia.org/wiki/Alice_Walker,1944,has time,Being_named
http://en.wikipedia.org/wiki/David_Icke,eight children,has entity,Age
http://en.wikipedia.org/wiki/Alice_Walker,1944,has time,People
http://en.wikipedia.org/wiki/David_Icke,East Putnam Consolidated,has location,Age
http://en.wikipedia.org/wiki/United_States,novelist,has entity,Origin
http://en.wikipedia.org/wiki/Alice_Walker,win the Pulitzer Prize for Fiction,has theme,Ordinal_numbers
http://en.wikipedia.org/wiki/Alice_Walker,novels,has theme,Inclusion
http://en.wikipedia.org/wiki/Walker_(film),become high school valedictorian and graduate from Sarah Lawrence College,has purpose,Conquering
http://en.wikipedia.org/wiki/Alice_Walker,Alice Malsenior Tallulah-Kate Walker,has author,Text_creation
http://en.wikipedia.org/wiki/David_Icke,http://en.wikipedia.org/wiki/Alice_Walker,has theme,Judgment_communication
http://en.wikipedia.org/wiki/United_States,American author and activist,has person,Being_born
http://en.wikipedia.org/wiki/Alice_Walker,1944,has time,Text_creation
http://en.wikipedia.org/wiki/David_Icke,her own writings,has theme,Judgment_communication
"http://en.wikipedia.org/wiki/Eatonton,_Georgia",rural,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Walker_(film),Walker's,has theme,Kinship
http://en.wikipedia.org/wiki/David_Icke,earn extra money,has purpose,Being_employed
http://en.wikipedia.org/wiki/David_Icke,East Putnam Consolidated,has location,Locale_by_use
http://en.wikipedia.org/wiki/Alice_Walker,novels,has text,Text
http://en.wikipedia.org/wiki/Alice_Walker,http://en.wikipedia.org/wiki/The_Color_Purple,has text,Text
http://en.wikipedia.org/wiki/Alice_Walker,high,has level,Education_teaching
http://en.wikipedia.org/wiki/Alice_Walker,stance,has action,Level_of_force_exertion
http://en.wikipedia.org/wiki/David_Icke,youngest,has degree,Age
http://en.wikipedia.org/wiki/David_Icke,her mother also worked as a seamstress to earn extra money,has theme,Concessive
http://en.wikipedia.org/wiki/David_Icke,after one of her brothers fired a BB gun,has time,Duration_description
http://en.wikipedia.org/wiki/The_Color_Purple,one of her brothers,has agent,Shoot_projectiles
http://en.wikipedia.org/wiki/David_Icke,gun,has theme,Weapon
http://en.wikipedia.org/wiki/David_Icke,East Putnam Consolidated,has location,Locative_relation
http://en.wikipedia.org/wiki/David_Icke,after one of her brothers fired a BB gun,has theme,Experience_bodily_harm
http://en.wikipedia.org/wiki/Alice_Walker,rural,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Alice_Walker,her first book of poetry,has means,Activity_start
http://en.wikipedia.org/wiki/Alice_Walker,people,has person,People
http://en.wikipedia.org/wiki/David_Icke,extra money,has theme,Earnings_and_losses
http://en.wikipedia.org/wiki/Alice_Walker,non-fiction,has theme,Labor_product
http://en.wikipedia.org/wiki/David_Icke,four,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Alice_Walker,Alice Malsenior Tallulah-Kate Walker,has person,Being_born
http://en.wikipedia.org/wiki/Alice_Walker,her writing career,has activity,Activity_start
http://en.wikipedia.org/wiki/Alice_Walker,works,has theme,Labor_product
http://en.wikipedia.org/wiki/Alice_Walker,Alice Walker disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Alice_Walker,essays and poetry,has theme,Aggregate
http://en.wikipedia.org/wiki/David_Icke,"Walker, the youngest of eight children",has theme,Becoming_a_member
http://en.wikipedia.org/wiki/David_Icke,right,has theme,Body_parts
http://en.wikipedia.org/wiki/Alice_Walker,challenges,has activity,Difficulty
http://en.wikipedia.org/wiki/Walker_(film),Civil Rights Movement,has institution,Participation
http://en.wikipedia.org/wiki/Alice_Walker,poetry,has text,Text
http://en.wikipedia.org/wiki/Alice_Walker,collections,has theme,Aggregate
http://en.wikipedia.org/wiki/Alice_Walker,http://en.wikipedia.org/wiki/The_Color_Purple,has theme,Labor_product
http://en.wikipedia.org/wiki/Alice_Walker,1982,has time,Text
http://en.wikipedia.org/wiki/David_Icke,school,has theme,Locale_by_use
http://en.wikipedia.org/wiki/David_Icke,four,has theme,Measure_duration
http://en.wikipedia.org/wiki/Alice_Walker,"February 9, 1944",has time,Being_born
http://en.wikipedia.org/wiki/David_Icke,years,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/David_Icke,http://en.wikipedia.org/wiki/Alice_Walker,has possessor,Body_parts
http://en.wikipedia.org/wiki/David_Icke,East Putnam Consolidated,has location,First_experience
http://en.wikipedia.org/wiki/Alice_Walker,poetry,has theme,Text
