subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Moscow,Foreign_or_domestic_country:has_theme,foreign,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Petersburg,Text:has_theme,critical of Tsarist Russia,0.9,Unknown,True
http://en.wikipedia.org/wiki/Moscow,Temporal_collocation:has_theme,age,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Raw_Youth,Death:has_theme,tuberculosis,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,Departing:has_time,around the same time,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,Categorization:has_category,as one of the greatest novelists in both Russian and world literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,Text:has_text,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Raw_Youth,Categorization:has_item,"His Notes from Underground, a novella published in 1864",0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Petersburg,Measure_duration:has_process,compulsory military service in exile,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Petersburg,Text:has_text,books,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,Text_creation:has_time,mid-1840s,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,Inclusion:has_theme,His most acclaimed novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Petersburg,Aggregate:has_theme,literary,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,Categorization:has_category,highly influential masterpieces,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Petersburg,Arrest:has_theme,"belonging to a literary group, the Petrashevsky Circle, that discussed banned books critical of Tsarist Russia",0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Petersburg,Ordinal_numbers:has_type,novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fyodor_Dostoevsky,Departing:has_theme,school,0.9,Unknown,True
http://en.wikipedia.org/wiki/Military_Engineering-Technical_University,Name_conferral:has_time,later,0.9,Unknown,True
http://en.wikipedia.org/wiki/Saint_Petersburg,Measure_duration:has_theme,six,0.9,Unknown,True
