Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,figures,has theme,Building_subparts
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,books,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Isaac_Asimov,space,has theme,Travel
http://en.wikipedia.org/wiki/Isaac_Asimov,satellite communication,has theme,System
http://en.wikipedia.org/wiki/Koneswaram_Temple,http://en.wikipedia.org/wiki/Trincomalee,has location,Age
http://en.wikipedia.org/wiki/Sri_Lanka,http://en.wikipedia.org/wiki/Arthur_C._Clarke,has theme,Residence
http://en.wikipedia.org/wiki/Sri_Lanka,Commander of the Order of the British Empire CBE,has role,Appointing
http://en.wikipedia.org/wiki/Robert_A._Heinlein,"as the "" Big Three "" of science fiction",has theme,Being_named
http://en.wikipedia.org/wiki/Arthur_C._Clarke,1934,has time,People_by_age
http://en.wikipedia.org/wiki/Arthur_C._Clarke,teenager,has age,People_by_age
http://en.wikipedia.org/wiki/Isaac_Asimov,1934,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Sri_Lanka,http://en.wikipedia.org/wiki/Arthur_C._Clarke,has theme,Death
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,genre,has theme,Type
http://en.wikipedia.org/wiki/Isaac_Asimov,scuba diving,has theme,Emotion_directed
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,one of the towering figures of the genre,has effect,Causation
http://en.wikipedia.org/wiki/Arthur_C._Clarke,underwater ruins of the ancient original Koneswaram Temple,has theme,Becoming_aware
http://en.wikipedia.org/wiki/Isaac_Asimov,system,has theme,System
http://en.wikipedia.org/wiki/Space_Odyssey,as one of the most influential films of all time,has category,Categorization
http://en.wikipedia.org/wiki/Sri_Lanka,British cultural interests in Sri Lanka,has theme,Assistance
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,"number of Hugo and Nebula awards, which along with a large readership, made him one of the towering figures of the genre",has theme,Earnings_and_losses
http://en.wikipedia.org/wiki/Isaac_Asimov,teenager,has theme,Continued_state_of_affairs
http://en.wikipedia.org/wiki/Space_Odyssey,1968,has time,Categorization
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,towering figures of the genre,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/Nebula_Award,Hugo and Nebula awards,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Arthur_C._Clarke,space travel,has goal,Attempt
http://en.wikipedia.org/wiki/Isaac_Asimov,1934,has time,Continued_state_of_affairs
http://en.wikipedia.org/wiki/Arthur_C._Clarke,1956,has time,Quitting_a_place
http://en.wikipedia.org/wiki/Arthur_C._Clarke,Ceylon now Sri Lanka,has theme,Quitting_a_place
http://en.wikipedia.org/wiki/Kalinga_Prize,"Kalinga Prize, a UNESCO award for popularising science",has theme,Receiving
http://en.wikipedia.org/wiki/Isaac_Asimov,http://en.wikipedia.org/wiki/Arthur_C._Clarke,has theme,Becoming_a_member
http://en.wikipedia.org/wiki/Arthur_C._Clarke,science fiction,has text,Text_creation
http://en.wikipedia.org/wiki/Isaac_Asimov,1934,has time,Temporal_collocation
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,futurist,has entity,Capability
http://en.wikipedia.org/wiki/Space_Odyssey,1968,has time,Behind_the_scenes
http://en.wikipedia.org/wiki/Arthur_C._Clarke,http://en.wikipedia.org/wiki/Trincomalee,has theme,Becoming_aware
http://en.wikipedia.org/wiki/Koneswaram_Temple,ancient,has age,Age
http://en.wikipedia.org/wiki/Isaac_Asimov,years,has theme,Measure_duration
http://en.wikipedia.org/wiki/Arthur_C._Clarke,1946,has time,Leadership
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,magazines,has theme,Desirability
http://en.wikipedia.org/wiki/Nebula_Award,number,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/Isaac_Asimov,http://en.wikipedia.org/wiki/Arthur_C._Clarke,has theme,Emotion_directed
http://en.wikipedia.org/wiki/Arthur_C._Clarke,That year,has time,Becoming_aware
http://en.wikipedia.org/wiki/Robert_A._Heinlein,"Clarke, Robert Heinlein, and Isaac Asimov",has entity,Being_named
http://en.wikipedia.org/wiki/Arthur_C._Clarke,Arthur Clarke disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,populariser of space travel,has theme,Grasp
http://en.wikipedia.org/wiki/Space_Odyssey,2001 : A Space Odyssey,has item,Categorization
http://en.wikipedia.org/wiki/Sri_Lanka,services to British cultural interests in Sri Lanka,has function,Appointing
http://en.wikipedia.org/wiki/Arthur_C._Clarke,1945,has time,Using
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,which along with a large readership,has cause,Causation
http://en.wikipedia.org/wiki/UNESCO,popularising science,has feature,Distinctiveness
http://en.wikipedia.org/wiki/Isaac_Asimov,British Interplanetary Society BIS ,has group,Becoming_a_member
http://en.wikipedia.org/wiki/Arthur_C._Clarke,many books and many essays for popular magazines,has text,Text_creation
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,books,has text,Text
http://en.wikipedia.org/wiki/Isaac_Asimov,http://en.wikipedia.org/wiki/Arthur_C._Clarke,has theme,Rite
http://en.wikipedia.org/wiki/Isaac_Asimov,1945,has time,System
http://en.wikipedia.org/wiki/Trincomalee,That,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Arthur_C._Clarke,uses,has class,Increment
http://en.wikipedia.org/wiki/Sri_Lanka,highest civil,has theme,Commemorative
http://en.wikipedia.org/wiki/Nebula_Award,Hugo and Nebula,has theme,Receiving
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,essays,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Isaac_Asimov,most,has degree,Objective_influence
http://en.wikipedia.org/wiki/Arthur_C._Clarke,1946 to 1947 and again in 1951–1953,has theme,Leadership
http://en.wikipedia.org/wiki/Isaac_Asimov,http://en.wikipedia.org/wiki/Arthur_C._Clarke,has theme,Desirability
http://en.wikipedia.org/wiki/Isaac_Asimov,1968,has time,Objective_influence
http://en.wikipedia.org/wiki/Arthur_C._Clarke,http://en.wikipedia.org/wiki/Trincomalee,has location,Becoming_aware
http://en.wikipedia.org/wiki/Isaac_Asimov,many,has theme,Measure_duration
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,http://en.wikipedia.org/wiki/Arthur_C._Clarke,has theme,Causation
http://en.wikipedia.org/wiki/Arthur_C._Clarke,satellite communication system using geostationary orbits,has message,Statement
http://en.wikipedia.org/wiki/Isaac_Asimov,still,has theme,Continued_state_of_affairs
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,many,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Arthur_C._Clarke,lifelong,has theme,Attempt
http://en.wikipedia.org/wiki/Space_Odyssey,2001 : A Space Odyssey,has theme,Behind_the_scenes
http://en.wikipedia.org/wiki/Arthur_C._Clarke,1945,has time,Statement
http://en.wikipedia.org/wiki/Arthur_C._Clarke,pursue his interest in scuba diving,has purpose,Quitting_a_place
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,many,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/Arthur_C._Clarke,space,has theme,Travel
http://en.wikipedia.org/wiki/Sri_Lanka,Sri Lanka's,has theme,Commemorative
http://en.wikipedia.org/wiki/Sri_Lanka,http://en.wikipedia.org/wiki/Arthur_C._Clarke,has theme,Appointing
http://en.wikipedia.org/wiki/Isaac_Asimov,1998,has time,Rite
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,http://en.wikipedia.org/wiki/Arthur_C._Clarke,has buyer,Earnings_and_losses
http://en.wikipedia.org/wiki/Kalinga_Prize,http://en.wikipedia.org/wiki/Arthur_C._Clarke,has recipient,Receiving
http://en.wikipedia.org/wiki/UNESCO,1961,has time,Distinctiveness
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,His science fiction writings in particular,has theme,Earnings_and_losses
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,readership,has entity,Size
http://en.wikipedia.org/wiki/Isaac_Asimov,films,has theme,Objective_influence
http://en.wikipedia.org/wiki/Isaac_Asimov,1956,has time,Emotion_directed
http://en.wikipedia.org/wiki/Isaac_Asimov,while still a teenager,has time,Becoming_a_member
http://en.wikipedia.org/wiki/Sri_Lanka,1998,has time,Commemorative
http://en.wikipedia.org/wiki/Order_of_the_British_Empire,one,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Isaac_Asimov,1968,has time,Behind_the_scenes
http://en.wikipedia.org/wiki/Sri_Lanka,1989,has time,Assistance
http://en.wikipedia.org/wiki/Isaac_Asimov,he joined the British Interplanetary Society BIS ,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Arthur_C._Clarke,http://en.wikipedia.org/wiki/British_Interplanetary_Society,has theme,Leadership
http://en.wikipedia.org/wiki/Arthur_C._Clarke,geostationary orbits,has instrument,Using
http://en.wikipedia.org/wiki/Koneswaram_Temple,original Koneswaram Temple,has entity,Age
http://en.wikipedia.org/wiki/Isaac_Asimov,films,has theme,Behind_the_scenes
http://en.wikipedia.org/wiki/Sri_Lanka,1989,has time,Appointing
http://en.wikipedia.org/wiki/Kalinga_Prize,1961,has time,Receiving
