subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/France,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text:has_theme,detective,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Behind_the_scenes:has_theme,films,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Being_named:has_theme,de Chiel,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_New_York_Times,Age:has_age,younger,0.9,Unknown,True
http://en.wikipedia.org/wiki/Philadelphia,Rite:has_theme,http://en.wikipedia.org/wiki/Catholic_Church,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Text_creation:has_location,http://en.wikipedia.org/wiki/United_States,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Desirability:has_time,1929,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_New_York_Times,Categorization:has_theme,his obituary in The New York Times,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Growing_food:has_location,Philadelphia and Baltimore,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_New_York_Times,Categorization:has_item,http://en.wikipedia.org/wiki/Dashiell_Hammett,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Being_born:has_theme,Richard Thomas Hammett and his wife Anne Bond Dashiell,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Residence:has_location,where,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Being_named:has_entity,that,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Thin_Man_(film),Categorization:has_item,http://en.wikipedia.org/wiki/Dashiell_Hammett,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Age:has_age,26 years,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Intentionally_create:has_theme,characters,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Behind_the_scenes:has_type,noir,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Kinship:has_theme,sister,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Inclusion:has_theme,its list of the 100 best English-language novels published between 1923 and 2005,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Text:has_theme,English-language,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Age:has_entity,sister,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Being_named:has_location,http://en.wikipedia.org/wiki/Philadelphia,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Text:has_text,Red Harvest,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Measure_duration:has_theme,four,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Being_named:has_entity,whose,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Age:has_time,1920,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text:has_theme,hard-boiled,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Behind_the_scenes:has_type,mystery,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Inclusion:has_theme,style that came to be known as film noir,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Inclusion:has_time,1929,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Text_creation:has_text,hard-boiled detective novels and short stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Text:has_text,writers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Residence:has_theme,http://en.wikipedia.org/wiki/Dashiell_Hammett,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_New_York_Times,Age:has_entity,brother,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Arriving:has_theme,that,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Measure_duration:has_theme,26,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Inclusion:has_theme,mystery films,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Personal_relationship:has_theme,Anne Bond Dashiell,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Time_vector:has_event,Maltese Falcon placed second on The Top 100 Mystery Novels of All Time as selected by the Mystery Writers of America,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Kinship:has_theme,Hammett's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Measure_duration:has_theme,Five,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_New_York_Times,Categorization:has_location,New York Times,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Text_creation:has_time,1961,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Political_locales:has_theme,city,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Locative_relation:has_time,1920,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Arriving:has_goal,be known as film noir,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Objective_influence:has_theme,"mystery films, including the style that came to be known as film noir",0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Personal_relationship:has_location,Saint Mary,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Kinship:has_time,1920,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_New_York_Times,Choosing:has_theme,Mystery Writers of America,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Desirability:has_theme,mystery writers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Desirability:has_theme,English-language novels published between 1923 and 2005,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Being_named:has_theme,as Sam,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Be_subset_of:has_theme,characters he created,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Duration_description:has_time,1961,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Time_vector:has_theme,Five years,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Political_locales:has_time,1920,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Maltese_Falcon_(1941_film),Ordinal_numbers:has_theme,Top 100 Mystery Novels of All Time,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Text:has_time,1990,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Desirability:has_degree,very,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Text:has_author,Hammett's,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Duration_description:has_theme,stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Objective_influence:has_degree,significant,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Maltese_Falcon_(1941_film),Ordinal_numbers:has_item,Maltese Falcon,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text:has_time,1961,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Text:has_time,1929,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Age:has_age,four years,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Text_creation:has_author,"American writer (1894–1961 ) Samuel Dashiell Hammett ( / d l h m t / DASH -l HAM -it ; May 27, 1894 – January 10, 1961)",0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Measure_duration:has_time,1920,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Text:has_theme,mystery,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Kinship:has_location,http://en.wikipedia.org/wiki/France,0.9,Unknown,True
http://en.wikipedia.org/wiki/Maryland,Age:has_entity,Maryland family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Locative_relation:has_theme,where,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Text:has_time,1929,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Text:has_theme,1929,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Measure_duration:has_theme,years,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nick_and_Nora_Charles,Publishing:has_time,between 1923 and 2005,0.9,Unknown,True
