Source,Target,Label,Frame
http://en.wikipedia.org/wiki/The_Pickwick_Papers,novel,has work,Publishing
http://en.wikipedia.org/wiki/Gospel_of_John,beginning his literary career as a journalist,has theme,Time_vector
http://en.wikipedia.org/wiki/Portsmouth,boot-blacking factory,has theme,Being_employed
http://en.wikipedia.org/wiki/Gospel_of_John,three,has theme,Measure_duration
http://en.wikipedia.org/wiki/Gospel_of_John,stories,has theme,Duration_description
http://en.wikipedia.org/wiki/Gospel_of_John,20,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Gospel_of_John,five,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Gospel_of_John,three years,has theme,Time_vector
http://en.wikipedia.org/wiki/Gospel_of_John,today,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Gospel_of_John,today,has time,Reading_activity
http://en.wikipedia.org/wiki/The_Pickwick_Papers,few,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Gospel_of_John,unprecedented,has degree,Desirability
http://en.wikipedia.org/wiki/The_Pickwick_Papers,international literary celebrity,has entity,Fame
http://en.wikipedia.org/wiki/Gospel_of_John,widely,has theme,Dimension
http://en.wikipedia.org/wiki/Gospel_of_John,era,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Charles_Dickens,"international literary celebrity, famous for his humour, satire and keen observation of character and society",has theme,Becoming
http://en.wikipedia.org/wiki/Gospel_of_John,novellas,has text,Text
http://en.wikipedia.org/wiki/Charles_Dickens,Charles John Huffam Dickens  d k n z / i,has author,Text_creation
http://en.wikipedia.org/wiki/Charles_Dickens,publications,has text,Text
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Victorian,has agent,Dominate_situation
http://en.wikipedia.org/wiki/Gospel_of_John,before,has theme,Time_vector
http://en.wikipedia.org/wiki/Charles_Dickens,short story,has text,Text_creation
http://en.wikipedia.org/wiki/The_Pickwick_Papers,dominant Victorian mode for novel publication,has theme,Becoming
http://en.wikipedia.org/wiki/The_Pickwick_Papers,international,has theme,Political_locales
http://en.wikipedia.org/wiki/Charles_Dickens,when his father John was incarcerated in a debtors'prison,has time,Departing
http://en.wikipedia.org/wiki/Charles_Dickens,novels,has text,Text
http://en.wikipedia.org/wiki/The_Pickwick_Papers,readers,has theme,Stimulus_focus
http://en.wikipedia.org/wiki/The_Pickwick_Papers,novel,has text,Text
http://en.wikipedia.org/wiki/Gospel_of_John,years,has theme,Measure_duration
http://en.wikipedia.org/wiki/Gospel_of_John,literature's best-known fictional characters,has theme,Proportional_quantity
