Source,Target,Label,Frame
http://en.wikipedia.org/wiki/John_Keats,writers,has theme,Quantified_mass
http://en.wikipedia.org/wiki/John_Keats,later,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/John_Keats,"his "" Ode to a Nightingale ",has item,Communicate_categorization
http://en.wikipedia.org/wiki/John_Keats,time,has theme,Event_instance
http://en.wikipedia.org/wiki/England,Today,has time,Be_subset_of
http://en.wikipedia.org/wiki/John_Keats,http://en.wikipedia.org/wiki/England,has location,Text
http://en.wikipedia.org/wiki/John_Keats,century,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/England,On First Looking into Chapman's Homer,has text,Text
http://en.wikipedia.org/wiki/John_Keats,Keats and his family,has theme,Give_impression
http://en.wikipedia.org/wiki/England,into Chapman's Homer,has theme,Perception_active
http://en.wikipedia.org/wiki/England,his poems and letters,has theme,Be_subset_of
http://en.wikipedia.org/wiki/John_Keats,http://en.wikipedia.org/wiki/United_States,has theme,Origin
http://en.wikipedia.org/wiki/John_Keats,tuberculosis,has theme,Death
http://en.wikipedia.org/wiki/John_Keats,literature,has theme,Fields
http://en.wikipedia.org/wiki/Sleep_and_Poetry,among the most popular and analysed in English literature,has state,State_continue
http://en.wikipedia.org/wiki/John_Keats,years,has theme,Measure_duration
http://en.wikipedia.org/wiki/John_Keats,"Moorgate, London",has location,Being_born
http://en.wikipedia.org/wiki/John_Keats,end of the century,has time,Placing
http://en.wikipedia.org/wiki/John_Keats,later,has theme,Calendric_unit
http://en.wikipedia.org/wiki/John_Keats,25,has age,Age
http://en.wikipedia.org/wiki/John_Keats,many writers of the Pre-Raphaelite Brotherhood,has theme,Subjective_influence
http://en.wikipedia.org/wiki/England,Urn,has theme,Containers
http://en.wikipedia.org/wiki/John_Keats,four,has theme,Measure_duration
http://en.wikipedia.org/wiki/John_Keats,century,has theme,Calendric_unit
http://en.wikipedia.org/wiki/John_Keats,poems,has text,Text
http://en.wikipedia.org/wiki/Ode_on_a_Grecian_Urn,"poets such as Algernon Charles Swinburne, Dante Gabriel Rossetti, and William Morris",has theme,Subjective_influence
http://en.wikipedia.org/wiki/John_Keats,medievalist,has theme,Text
http://en.wikipedia.org/wiki/England,his poems and letters,has theme,Scrutiny
http://en.wikipedia.org/wiki/John_Keats,31 October 1795,has time,Being_born
http://en.wikipedia.org/wiki/John_Keats,Victorian era,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/John_Keats,strongly,has theme,Subjective_influence
http://en.wikipedia.org/wiki/John_Keats,Keats disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/John_Keats,many,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/John_Keats,time reading,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/John_Keats,John Keats 31 October 1795 – 23 February 1821,has person,People_by_vocation
http://en.wikipedia.org/wiki/The_Eve_of_St._Agnes,baptism records,has theme,Giving
http://en.wikipedia.org/wiki/John_Keats,Pre-Raphaelite movement,has theme,Importance
http://en.wikipedia.org/wiki/John_Keats,age of 25,has time,Death
http://en.wikipedia.org/wiki/John_Keats,Encyclopdia Britannica of 1888,has speaker,Communicate_categorization
http://en.wikipedia.org/wiki/John_Keats,http://en.wikipedia.org/wiki/England,has location,Origin
http://en.wikipedia.org/wiki/John_Keats,he felt all his life,has theme,Perception_experience
http://en.wikipedia.org/wiki/John_Keats,have marked his birthday on 29 October,has theme,Give_impression
http://en.wikipedia.org/wiki/John_Keats,second generation of Romantic poets,has theme,People_by_vocation
http://en.wikipedia.org/wiki/John_Keats,Pre-Raphaelite movement,has theme,Objective_influence
http://en.wikipedia.org/wiki/John_Keats,John Keats 31 October 1795 – 23 February 1821,has participant,Accompaniment
http://en.wikipedia.org/wiki/John_Keats,writer and biographer,has entity,Origin
http://en.wikipedia.org/wiki/John_Keats,major,has degree,Objective_influence
http://en.wikipedia.org/wiki/Sleep_and_Poetry,Today,has time,State_continue
