subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Havana,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Connectors:has_type,interlanguage,0.9,Unknown,True
http://en.wikipedia.org/wiki/Havana,Change_of_leadership:has_degree,fully,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Being_named:has_time,1908,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado_de_Assis,Attending:has_theme,never,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado_de_Assis,Education_teaching:has_theme,"French, English, German and Greek",0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Usefulness:has_entity,starting point,0.9,Unknown,True
http://en.wikipedia.org/wiki/Rio_de_Janeiro,Being_born:has_theme,poor family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Source_of_getting:has_theme,your translation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Assis,Being_named:has_entity,paternal family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Contacting:has_time,2024,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portuguese_language,Translating:has_theme,corresponding article in Portuguese,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Supply:has_location,foreign-language article,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado_de_Assis,Reference_text:has_theme,Wikipedia:Translation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado_de_Assis,Increment:has_class,guidance,0.9,Unknown,True
http://en.wikipedia.org/wiki/Rio_de_Janeiro,Being_born:has_location,Morro do Livramento [ pt ],0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Translating:has_means,Machine,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brazil,Supply:has_location,edit summary accompanying your translation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brazil,Supply:has_theme,interlanguage link to the source of your translation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado_de_Assis,Becoming:has_time,1897,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Contacting:has_purpose,important translation instructions,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portuguese_language,Being_named:has_time,1908,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portuguese_language,Assistance:has_goal,expand this article with text translated from the corresponding article in Portuguese,0.9,Unknown,True
http://en.wikipedia.org/wiki/Havana,Kinship:has_theme,poor,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado_de_Assis,Temporal_collocation:has_theme,he founded and became the first President of the Brazilian Academy of Letters,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado_de_Assis,Leadership:has_theme,Brazilian Academy of Letters,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brazil,Supply:has_theme,copyright attribution,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado_de_Assis,Locale_by_use:has_theme,schools,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado_de_Assis,Intentionally_create:has_time,1897,0.9,Unknown,True
http://en.wikipedia.org/wiki/Assis,Being_named:has_time,1908,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado_de_Assis,Possibility:has_theme,also add the template Translated,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado_de_Assis,Education_teaching:has_student,himself,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Required_event:has_theme,provide copyright attribution in the edit summary accompanying your translation by providing an interlanguage link to the source of your translation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Being_named:has_entity,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado_de_Assis,Locale_by_use:has_theme,university,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portuguese_language,Being_named:has_theme,name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brazil,Supply:has_means,providing an interlanguage link to the source of your translation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Ordinal_numbers:has_time,1908,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Ordinal_numbers:has_type,family name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado_de_Assis,Education_teaching:has_time,later in life,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Cotheme:has_theme,edit summary,0.9,Unknown,True
http://en.wikipedia.org/wiki/Havana,Change_of_leadership:has_theme,slavery,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portuguese_language,Translating:has_theme,text,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Importance:has_theme,translation instructions,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Being_named:has_type,maternal,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Correctness:has_information,translation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Text:has_text,article,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado_de_Assis,Education_teaching:has_location,public schools,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Calendric_unit:has_theme,errors,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Give_impression:has_theme,text,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portuguese_language,Text:has_text,article,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brazil,Translating:has_text,translation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Connectors:has_theme,link,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado_de_Assis,Ordinal_numbers:has_type,President of the Brazilian Academy of Letters,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Text:has_text,text,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Source_of_getting:has_theme,source,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Cotheme:has_theme,your translation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado_de_Assis,Attending:has_event,university,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado,Required_event:has_theme,revise errors as necessary and confirm that the translation is accurate,0.9,Unknown,True
http://en.wikipedia.org/wiki/Machado_de_Assis,Education_teaching:has_degree,barely,0.9,Unknown,True
