Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Virginia_Euwer_Wolff,Virginia Euwer Wolff,has theme,Reference_text
http://en.wikipedia.org/wiki/Virginia_Euwer_Wolff,American children's,has theme,Text
http://en.wikipedia.org/wiki/United_Kingdom,modernist,has text,Text_creation
http://en.wikipedia.org/wiki/Virginia_Woolf,1941,has time,Text_creation
http://en.wikipedia.org/wiki/Sussex,1940,has time,Colonization
http://en.wikipedia.org/wiki/Virginia_Woolf,during the interwar period,has time,Prominence
http://en.wikipedia.org/wiki/Virginia_Woolf,feminist,has theme,Judgment_communication
http://en.wikipedia.org/wiki/Virginia_Woolf,Virginia Woolf,has person,People_by_age
http://en.wikipedia.org/wiki/Virginia_Woolf,Her work,has theme,Translating
http://en.wikipedia.org/wiki/Leonard_Woolf,which published much of her work,has theme,Intentionally_create
http://en.wikipedia.org/wiki/Virginia_Woolf,central to 1970s feminist criticism,has theme,Becoming
http://en.wikipedia.org/wiki/South_Kensington,Relatives,has theme,Kinship
http://en.wikipedia.org/wiki/Virginia_Woolf,"South Kensington, London",has location,Being_born
http://en.wikipedia.org/wiki/Virginia_Woolf,Her work,has entity,State_continue
http://en.wikipedia.org/wiki/England,http://en.wikipedia.org/wiki/Virginia_Woolf,has student,Education_teaching
http://en.wikipedia.org/wiki/Virginia_Woolf,novels,has text,Text
http://en.wikipedia.org/wiki/Virginia_Woolf,Virginia Wolf,has theme,Reference_text
http://en.wikipedia.org/wiki/Virginia_Woolf,1904,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Sussex,http://en.wikipedia.org/wiki/Leonard_Woolf,has theme,Colonization
http://en.wikipedia.org/wiki/Virginia_Woolf,1900,has time,Activity_start
http://en.wikipedia.org/wiki/Virginia_Woolf,influential,has state,State_continue
http://en.wikipedia.org/wiki/Virginia_Woolf,over,has theme,Proportional_quantity
http://en.wikipedia.org/wiki/Virginia_Woolf,1904,has time,Membership
http://en.wikipedia.org/wiki/Virginia_Woolf,1941,has time,Being_named
http://en.wikipedia.org/wiki/Sussex,literary circles,has institution,Participation
http://en.wikipedia.org/wiki/Virginia_Woolf,bohemian Bloomsbury district,has goal,Motion
http://en.wikipedia.org/wiki/England,1941,has time,Text
http://en.wikipedia.org/wiki/Virginia_Woolf,prominence,has goal,Motion_directional
http://en.wikipedia.org/wiki/Virginia_Woolf,feminist,has theme,Text
http://en.wikipedia.org/wiki/England,Woolf disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Virginia_Woolf,1912,has time,Labor_product
http://en.wikipedia.org/wiki/Sussex,their involvement in literary circles,has activity,Activity_ongoing
http://en.wikipedia.org/wiki/Virginia_Woolf,founding member of the influential Bloomsbury Group,has theme,Becoming
http://en.wikipedia.org/wiki/Virginia_Woolf,death of her father in 1904,has theme,Relative_time
http://en.wikipedia.org/wiki/Virginia_Woolf,Her work,has entity,Becoming
http://en.wikipedia.org/wiki/Sussex,1940,has time,Aggregate
http://en.wikipedia.org/wiki/Sussex,1940,has time,Time_vector
http://en.wikipedia.org/wiki/Sussex,settled in Sussex in 1940,has event,Time_vector
http://en.wikipedia.org/wiki/Virginia_Woolf,seventh,has age,People_by_age
http://en.wikipedia.org/wiki/Virginia_Woolf,1904,has time,Relative_time
http://en.wikipedia.org/wiki/Sussex,1940,has time,Participation
http://en.wikipedia.org/wiki/Bloomsbury,1904,has time,Aggregate
http://en.wikipedia.org/wiki/Virginia_Woolf,father,has theme,Kinship
http://en.wikipedia.org/wiki/Virginia_Woolf,founding,has theme,Membership
http://en.wikipedia.org/wiki/Virginia_Woolf,literary,has theme,Gizmo
http://en.wikipedia.org/wiki/Virginia_Woolf,worldwide,has location,Subjective_influence
http://en.wikipedia.org/wiki/Bloomsbury,Group,has theme,Aggregate
http://en.wikipedia.org/wiki/Virginia_Woolf,50,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Virginia_Woolf,much of her work,has work,Publishing
http://en.wikipedia.org/wiki/Virginia_Woolf,English classics and Victorian literature,has theme,Education_teaching
http://en.wikipedia.org/wiki/Virginia_Woolf,death of her father,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Virginia_Woolf,pioneer the use of stream of consciousness narration as a literary device,has goal,Assistance
http://en.wikipedia.org/wiki/Virginia_Woolf,which,has theme,Publishing
http://en.wikipedia.org/wiki/Sussex,1940,has time,Activity_ongoing
http://en.wikipedia.org/wiki/Virginia_Woolf,as a literary device,has role,Using
