Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,Mercedes Barcha Pardo,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Latin_America,Spanish language,has text,Text_creation
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,1958,has time,Kinship
http://en.wikipedia.org/wiki/Latin_America,1982,has time,Political_locales
http://en.wikipedia.org/wiki/Latin_America,His works,has theme,Judgment_communication
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,1982,has time,Receiving
http://en.wikipedia.org/wiki/Latin_America,authors,has theme,Importance
http://en.wikipedia.org/wiki/Colombia,paternal,has entity,Being_named
http://en.wikipedia.org/wiki/Latin_America,sons,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/Latin_America,century,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Latin_America,1958,has time,Temporal_collocation
http://en.wikipedia.org/wiki/Latin_America,1982,has time,Hostile_encounter
http://en.wikipedia.org/wiki/Latin_America,http://en.wikipedia.org/wiki/Gabriel_García_Márquez,has theme,Judgment_communication
http://en.wikipedia.org/wiki/Latin_America,he married Mercedes Barcha Pardo,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Latin_America,Literature,has location,Text_creation
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,sons,has theme,Kinship
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,novels,has text,Text
http://en.wikipedia.org/wiki/Latin_America,1961,has time,Commerce_sell
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Literature,has location,Receiving
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,1961,has time,Fame
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,1961,has time,Text
http://en.wikipedia.org/wiki/Latin_America,Literature,has location,Duration_description
http://en.wikipedia.org/wiki/Latin_America,non-fiction works and short stories,has theme,Judgment_communication
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,as a journalist,has role,Activity_start
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Nobel Prize in Literature,has theme,Receiving
http://en.wikipedia.org/wiki/Colombia,1927,has time,Being_named
http://en.wikipedia.org/wiki/Latin_America,significant,has degree,Judgment_communication
http://en.wikipedia.org/wiki/Latin_America,situations,has theme,Typicality
http://en.wikipedia.org/wiki/Latin_America,works and short stories,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Latin_America,world of imagination,has text,Text_creation
http://en.wikipedia.org/wiki/Colombia,1927,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/Latin_America,Colombian and foreign politics,has theme,Judgment_communication
http://en.wikipedia.org/wiki/Latin_America,literary style,has entity,Being_named
http://en.wikipedia.org/wiki/Latin_America,authors,has author,Text_creation
http://en.wikipedia.org/wiki/Colombia,Garca,has theme,Being_named
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,many acclaimed non-fiction works and short stories,has text,Text_creation
http://en.wikipedia.org/wiki/Colombia,1927,has time,First_experience
http://en.wikipedia.org/wiki/Latin_America,many,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/Latin_America,richly composed world of imagination,has theme,Amalgamation
http://en.wikipedia.org/wiki/Latin_America,non-fiction,has theme,Labor_product
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,second or maternal family,has entity,Being_named
http://en.wikipedia.org/wiki/Neustadt_International_Prize_for_Literature,1972,has time,Receiving
http://en.wikipedia.org/wiki/Latin_America,over fifty million copies,has buyer,Commerce_sell
http://en.wikipedia.org/wiki/Latin_America,magical elements and events,has instrument,Using
http://en.wikipedia.org/wiki/Latin_America,1972,has time,Text_creation
http://en.wikipedia.org/wiki/Spain,1927,has time,Being_named
http://en.wikipedia.org/wiki/Latin_America,fantastic and the realistic,has theme,Amalgamation
http://en.wikipedia.org/wiki/Latin_America,His works,has agent,Success_or_failure
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,"his novels, such as No One Writes to the Colonel 1961 , One Hundred Years of Solitude 1967 , which has sold over fifty million copies worldwide, Chronicle of a Death Foretold 1981 , and Love in the Time of Cholera 1985",has reason,Fame
http://en.wikipedia.org/wiki/Latin_America,which,has agent,Using
http://en.wikipedia.org/wiki/Latin_America,1982,has time,Duration_description
http://en.wikipedia.org/wiki/Latin_America,otherwise ordinary and realistic situations,has theme,Using
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,Garca Márquez,has author,Text_creation
http://en.wikipedia.org/wiki/Latin_America,works,has theme,Labor_product
http://en.wikipedia.org/wiki/Latin_America,world,has theme,Political_locales
http://en.wikipedia.org/wiki/Spain,name,has theme,Being_named
http://en.wikipedia.org/wiki/Latin_America,widespread,has degree,Success_or_failure
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,1927,has time,Being_named
http://en.wikipedia.org/wiki/Latin_America,which,has goods,Commerce_sell
http://en.wikipedia.org/wiki/Latin_America,1958,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Latin_America,Literature,has location,Amalgamation
http://en.wikipedia.org/wiki/Latin_America,20th,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Latin_America,stories,has theme,Duration_description
http://en.wikipedia.org/wiki/Latin_America,1982,has time,Text_creation
http://en.wikipedia.org/wiki/Latin_America,Literature,has location,Importance
http://en.wikipedia.org/wiki/Latin_America,imagination,has theme,Political_locales
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,1982,has time,Text
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,maternal,has entity,Being_named
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,http://en.wikipedia.org/wiki/Gabriel_García_Márquez,has recipient,Receiving
http://en.wikipedia.org/wiki/Latin_America,1982,has time,Amalgamation
http://en.wikipedia.org/wiki/Latin_America,literary,has theme,Fields
http://en.wikipedia.org/wiki/Latin_America,Literature,has location,Political_locales
http://en.wikipedia.org/wiki/Macondo,"his birthplace, Aracataca",has theme,Subjective_influence
http://en.wikipedia.org/wiki/Latin_America,1972,has time,Calendric_unit
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,1958,has time,Personal_relationship
http://en.wikipedia.org/wiki/Colombia,family name,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Latin_America,career in journalism,has purpose,Departing
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,"his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts",has theme,Receiving
http://en.wikipedia.org/wiki/Macondo,fictional,has theme,Political_locales
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,Garca Márquez,has agent,Activity_start
http://en.wikipedia.org/wiki/Latin_America,self-directed,has theme,Education_teaching
http://en.wikipedia.org/wiki/Latin_America,foreign,has theme,Foreign_or_domestic_country
http://en.wikipedia.org/wiki/Latin_America,20th century,has degree,Importance
http://en.wikipedia.org/wiki/Colombia,surname,has theme,First_experience
http://en.wikipedia.org/wiki/Latin_America,1972,has time,Importance
http://en.wikipedia.org/wiki/Latin_America,two,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Latin_America,law school,has theme,Departing
http://en.wikipedia.org/wiki/Latin_America,1958,has time,Cardinal_numbers
http://en.wikipedia.org/wiki/Neustadt_International_Prize_for_Literature,1972 Neustadt International Prize for Literature and the 1982 Nobel Prize in Literature,has theme,Receiving
http://en.wikipedia.org/wiki/Latin_America,critical,has theme,Judgment_communication
http://en.wikipedia.org/wiki/Latin_America,continent's,has location,Hostile_encounter
http://en.wikipedia.org/wiki/Latin_America,http://en.wikipedia.org/wiki/Gabriel_García_Márquez,has student,Education_teaching
http://en.wikipedia.org/wiki/Latin_America,worldwide,has location,Commerce_sell
http://en.wikipedia.org/wiki/Neustadt_International_Prize_for_Literature,Literature,has location,Receiving
http://en.wikipedia.org/wiki/Macondo,village,has theme,Political_locales
http://en.wikipedia.org/wiki/Latin_America,Literature,has location,Calendric_unit
http://en.wikipedia.org/wiki/Neustadt_International_Prize_for_Literature,http://en.wikipedia.org/wiki/Gabriel_García_Márquez,has recipient,Receiving
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,http://en.wikipedia.org/wiki/Spanish_language,has text,Text_creation
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,Literature,has location,Text
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,works,has theme,Labor_product
http://en.wikipedia.org/wiki/Latin_America,as magic realism,has theme,Being_named
