subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Adolf_Hitler,Arriving:has_time,1933,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize,Fame:has_entity,His highly symbolic and ironic epic novels and novellas,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize,People:has_time,1955,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Mann,Fleeing:has_time,When Adolf Hitler came to power in 1933,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Killing:has_theme,his trading firm,0.9,Unknown,True
http://en.wikipedia.org/wiki/Erika_Mann,Kinship:has_theme,brother,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize,People:has_person,people,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Type:has_theme,modernized,0.9,Unknown,True
http://en.wikipedia.org/wiki/Hanseatic_League,Kinship:has_theme,hanseatic Mann,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Origin:has_entity,writers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize,Create_physical_artwork:has_creator,artist,0.9,Unknown,True
http://en.wikipedia.org/wiki/Adolf_Hitler,Leadership:has_time,1933,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Businesses:has_theme,http://en.wikipedia.org/wiki/Thomas_Mann,0.9,Unknown,True
http://en.wikipedia.org/wiki/Erika_Mann,Cardinal_numbers:has_entity,Mann's six children,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Text_creation:has_author,writers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize,Reference_text:has_theme,Thomas Mann (disambiguation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Mann,Being_named:has_time,1955,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize,Fame:has_reason,their insight into the psychology of the artist and the intellectual,0.9,Unknown,True
http://en.wikipedia.org/wiki/Erika_Mann,Arriving:has_goal,http://en.wikipedia.org/wiki/Switzerland,0.9,Unknown,True
http://en.wikipedia.org/wiki/Erika_Mann,Motion:has_theme,http://en.wikipedia.org/wiki/Thomas_Mann,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Businesses:has_business,firm,0.9,Unknown,True
http://en.wikipedia.org/wiki/Erika_Mann,Kinship:has_theme,mother,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Mann,Being_named:has_entity,other people,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Relative_time:has_theme,that,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize,Increment:has_time,1955,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize,Reference_text:has_time,1955,0.9,Unknown,True
http://en.wikipedia.org/wiki/Erika_Mann,Kinship:has_theme,father,0.9,Unknown,True
http://en.wikipedia.org/wiki/Adolf_Hitler,Text_creation:has_theme,exile,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Mann,Using:has_theme,"so-called Exilliteratur, German literature written in exile by those who opposed the Hitler regime",0.9,Unknown,True
http://en.wikipedia.org/wiki/Friedrich_Nietzsche,Personal_relationship:has_theme,Jlia da Silva Bruhns,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Taking_sides:has_theme,Hitler regime,0.9,Unknown,True
http://en.wikipedia.org/wiki/Erika_Mann,Arriving:has_time,1952,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Cardinal_numbers:has_entity,children,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Mann,Kinship:has_theme,father,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Age:has_degree,older,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Origin:has_theme,http://en.wikipedia.org/wiki/Germany,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Relative_time:has_theme,his trading firm was liquidated,0.9,Unknown,True
http://en.wikipedia.org/wiki/Erika_Mann,Arriving:has_theme,http://en.wikipedia.org/wiki/Thomas_Mann,0.9,Unknown,True
http://en.wikipedia.org/wiki/Erika_Mann,Motion:has_goal,http://en.wikipedia.org/wiki/United_States,0.9,Unknown,True
http://en.wikipedia.org/wiki/Adolf_Hitler,Arriving:has_goal,power,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Cardinal_numbers:has_theme,six,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Taking_sides:has_theme,who,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize,Increment:has_class,people,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Mann,Text:has_text,http://en.wikipedia.org/wiki/Buddenbrooks,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Mann,Becoming:has_theme,significant German writers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Erika_Mann,Cardinal_numbers:has_theme,three,0.9,Unknown,True
http://en.wikipedia.org/wiki/Adolf_Hitler,Text_creation:has_text,German literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Mann,Rite:has_organization,into his father's Lutheran religion,0.9,Unknown,True
http://en.wikipedia.org/wiki/Erika_Mann,Kinship:has_theme,children,0.9,Unknown,True
http://en.wikipedia.org/wiki/Europe,Using:has_instrument,"modernized versions of German and Biblical stories, as well as the ideas of Johann Wolfgang von Goethe, Friedrich Nietzsche, and Arthur Schopenhauer",0.9,Unknown,True
http://en.wikipedia.org/wiki/Erika_Mann,Kinship:has_theme,http://en.wikipedia.org/wiki/Thomas_Mann,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Ordinal_numbers:has_type,novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Mann,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Adolf_Hitler,Text_creation:has_author,those who opposed the Hitler regime,0.9,Unknown,True
http://en.wikipedia.org/wiki/Erika_Mann,Motion:has_time,When World War II broke out in 1939,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Type:has_category,German and Biblical stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Businesses:has_theme,trading,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Mann,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Europe,Using:has_agent,His analysis and critique of the European and German soul,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Mann,Fleeing:has_goal,http://en.wikipedia.org/wiki/Switzerland,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Killing:has_time,after that,0.9,Unknown,True
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Age:has_entity,brother,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Mann,Becoming:has_entity,"three of Mann's six children – Erika Mann, Klaus Mann and Golo Mann –",0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Mann,Kinship:has_theme,Mann's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Friedrich_Nietzsche,Scrutiny:has_theme,European and German soul,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Mann,Membership:has_group,hanseatic Mann family,0.9,Unknown,True
