subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Neustadt_International_Prize_for_Literature,Receiving:has_theme,"Park Kyong-ni Prize in 2019, and the Neustadt International Prize for Literature in 2020",0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Peace_Prize,Leadership:has_type,totalitarian,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ismail_Kadare,Avoiding:has_time,1990,0.9,Unknown,True
http://en.wikipedia.org/wiki/Prix_mondial_Cino_Del_Duca,Receiving:has_recipient,http://en.wikipedia.org/wiki/Ismail_Kadare,0.9,Unknown,True
http://en.wikipedia.org/wiki/Communism,Quitting_a_place:has_time,1990,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ismail_Kadare,Text:has_text,writing,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ismail_Kadare,Coming_up_with:has_location,http://en.wikipedia.org/wiki/Albania,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ismail_Kadare,Leadership:has_type,consensual,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Scrutiny:has_theme,into the infernal mechanism of totalitarian power and its impact on the human soul,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Peace_Prize,Statement:has_message,Kadare is the successor of Franz Kafka,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Objective_influence:has_theme,human soul,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ismail_Kadare,Leadership:has_leader,President,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_General_of_the_Dead_Army_(novel),Causation:has_theme,http://en.wikipedia.org/wiki/Ismail_Kadare,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albania,Change_position_on_a_scale:has_time,1990s,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ismail_Kadare,Categorization:has_category,as one of the greatest writers and intellectuals of the 20th and 21st centuries,0.9,Unknown,True
http://en.wikipedia.org/wiki/Communism,Quitting_a_place:has_purpose,escape the Communist regime and its Sigurimi secret police,0.9,Unknown,True
