subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Nanjing,Quitting:has_time,eventually,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wu_Cheng'en,Categorization:has_theme,many,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nanjing,Locale_by_use:has_theme,university,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nanjing,Time_vector:has_event,resigned,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ming_dynasty,Quantified_mass:has_quantity,several,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wu_Cheng'en,Text_creation:has_location,his hometown,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ming_dynasty,Political_locales:has_theme,world,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ming_dynasty,Desirability:has_theme,stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ming_dynasty,Text:has_text,poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ming_dynasty,Desirability:has_theme,primary education,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wu_Cheng'en,State_continue:has_state,poor,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wu_Cheng'en,Kinship:has_theme,Wu,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jiangsu,Political_locales:has_theme,province,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ming_dynasty,Origin:has_entity,novelist,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wu_Cheng'en,Motion:has_goal,http://en.wikipedia.org/wiki/Huai'an,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wu_Rui_(eunuch),Activity_ongoing:has_activity,devote himself to literary pursuits,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nanjing,Examination:has_theme,http://en.wikipedia.org/wiki/Wu_Cheng'en,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ming_dynasty,Work:has_theme,Literary,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ming_dynasty,Getting:has_location,http://en.wikipedia.org/wiki/Nanjing,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ming_dynasty,Experiencer_focus:has_theme,political climate of the time and with the corruption of the world,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wu_Cheng'en,Attempt:has_location,http://en.wikipedia.org/wiki/Nanjing,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wu_Cheng'en,Leadership:has_theme,Journey to the West,0.9,Unknown,True
http://en.wikipedia.org/wiki/Chinese_language,Being_named:has_entity,Chinese novelist and poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wu_Cheng'en,Wealthiness:has_person,Wu,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ming_dynasty,Getting:has_theme,entry into the imperial university,0.9,Unknown,True
