subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Fernando_Pessoa,Being_named:has_entity,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Causation:has_effect,He did not define these as pseudonyms,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Trust:has_information,sources,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Increment:has_class,names,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Opinion:has_opinion,that this did not capture their true independent intellectual life,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Size:has_entity,flat,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Text:has_text,article,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Source_of_getting:has_time,2022,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Source_of_getting:has_theme,reliable,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Being_born:has_location,http://en.wikipedia.org/wiki/Lisbon,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Expertise:has_theme,writer,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portuguese_language,Importance:has_theme,literary figures,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Increment:has_theme,approximately seventy-five,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Ordinal_numbers:has_type,family name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Locative_relation:has_theme,So Carlos Square,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portuguese_language,Aggregate:has_theme,band,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Kinship:has_theme,father,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Education_teaching:has_skill,how and when to remove this message,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Building_subparts:has_location,So Carlos Square,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Source_of_getting:has_theme,sources,0.9,Unknown,True
http://en.wikipedia.org/wiki/Lisbon,Businesses:has_location,Lisbon's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Text_creation:has_text,his own name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Locating:has_theme,sources,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Age:has_age,younger,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Removing:has_theme,this message,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portuguese_language,Ordinal_numbers:has_type,family name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Removing:has_time,2022,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Age:has_entity,brother,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Opinion:has_theme,These imaginary figures,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Communicate_categorization:has_category,as pseudonyms,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Categorization:has_category,as one of the most significant literary figures of the 20th century and one of the greatest poets in the Portuguese language,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Increment:has_class,citations,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Building_subparts:has_theme,flat,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Assistance:has_goal,improve this article by adding citations to reliable sources in this section,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fernando_Pessoa,Age:has_age,one,0.9,Unknown,True
