Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Spanish_language,name,has theme,Being_named
http://en.wikipedia.org/wiki/Spanish_language,expand this article with text translated from the corresponding article in Spanish,has goal,Assistance
http://en.wikipedia.org/wiki/Spanish_language,additional citations,has theme,Have_as_requirement
http://en.wikipedia.org/wiki/Spanish_language,2018,has time,Removing
http://en.wikipedia.org/wiki/Spanish_language,translation instructions,has theme,Importance
http://en.wikipedia.org/wiki/Spanish_language,text,has theme,Give_impression
http://en.wikipedia.org/wiki/Jaime_Lozano,1914,has time,Being_named
http://en.wikipedia.org/wiki/Spanish_language,edit summary,has theme,Cotheme
http://en.wikipedia.org/wiki/Spanish_language,corresponding article in Spanish,has theme,Translating
http://en.wikipedia.org/wiki/Mexico,edit summary accompanying your translation,has location,Supply
http://en.wikipedia.org/wiki/Spanish_language,verification,has theme,Have_as_requirement
http://en.wikipedia.org/wiki/Spanish_language,this message,has theme,Removing
http://en.wikipedia.org/wiki/Spanish_language,Unsourced,has theme,Substance
http://en.wikipedia.org/wiki/Spanish_language,these issues,has theme,Discussion
http://en.wikipedia.org/wiki/Spanish_language,references,has theme,Supply
http://en.wikipedia.org/wiki/Spanish_language,sources,has theme,Locating
http://en.wikipedia.org/wiki/Spanish_language,how and when to remove these messages,has theme,Coming_to_believe
http://en.wikipedia.org/wiki/Spanish_language,translation,has information,Correctness
http://en.wikipedia.org/wiki/Spanish_language,family name,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Spanish_language,citations,has class,Increment
http://en.wikipedia.org/wiki/Spanish_language,how and when to remove this message,has skill,Education_teaching
http://en.wikipedia.org/wiki/Spanish_language,August,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Spanish_language,2018,has time,Locating
http://en.wikipedia.org/wiki/Jaime_Lozano,second or maternal family,has entity,Being_named
http://en.wikipedia.org/wiki/Spanish_language,these messages,has theme,Removing
http://en.wikipedia.org/wiki/Spanish_language,Wikipedia:Translation,has theme,Reference_text
http://en.wikipedia.org/wiki/Spanish_language,important translation instructions,has purpose,Contacting
http://en.wikipedia.org/wiki/Spanish_language,guidance,has class,Increment
http://en.wikipedia.org/wiki/Spanish_language,improve this article by adding citations to reliable sources,has goal,Assistance
http://en.wikipedia.org/wiki/Spanish_language,This article,has theme,Verification
http://en.wikipedia.org/wiki/Spanish_language,2018,has time,Source_of_getting
http://en.wikipedia.org/wiki/Spanish_language,also add the template Translated,has theme,Possibility
http://en.wikipedia.org/wiki/Spanish_language,your translation,has theme,Cotheme
http://en.wikipedia.org/wiki/Spanish_language,source,has theme,Source_of_getting
http://en.wikipedia.org/wiki/Spanish_language,1914,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/Spanish_language,starting point,has entity,Usefulness
http://en.wikipedia.org/wiki/Spanish_language,This article,has theme,Have_as_requirement
http://en.wikipedia.org/wiki/Spanish_language,improve it or discuss these issues on the talk page,has goal,Assistance
http://en.wikipedia.org/wiki/Mexico,interlanguage link to the source of your translation,has theme,Supply
http://en.wikipedia.org/wiki/Spanish_language,your translation,has theme,Source_of_getting
http://en.wikipedia.org/wiki/Spanish_language,1914,has time,Being_named
http://en.wikipedia.org/wiki/Spanish_language,text with references provided in the foreign-language article,has theme,Verification
http://en.wikipedia.org/wiki/Spanish_language,surname,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Spanish_language,material,has theme,Substance
http://en.wikipedia.org/wiki/Spanish_language,2018,has time,Calendric_unit
http://en.wikipedia.org/wiki/Spanish_language,talk page,has location,Discussion
http://en.wikipedia.org/wiki/Mexico,copyright attribution,has theme,Supply
http://en.wikipedia.org/wiki/Spanish_language,revise errors as necessary and confirm that the translation is accurate,has theme,Required_event
http://en.wikipedia.org/wiki/Spanish_language,text,has text,Text
http://en.wikipedia.org/wiki/Spanish_language,2018,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Spanish_language,link,has theme,Connectors
http://en.wikipedia.org/wiki/Spanish_language,sources,has information,Trust
http://en.wikipedia.org/wiki/Spanish_language,provide copyright attribution in the edit summary accompanying your translation by providing an interlanguage link to the source of your translation,has theme,Required_event
http://en.wikipedia.org/wiki/Spanish_language,foreign-language article,has location,Supply
http://en.wikipedia.org/wiki/Spanish_language,article,has text,Text
http://en.wikipedia.org/wiki/Spanish_language,interlanguage,has type,Connectors
http://en.wikipedia.org/wiki/Spanish_language,unreliable or low-quality,has theme,Give_impression
http://en.wikipedia.org/wiki/Spanish_language,foreign-language,has language,Text
http://en.wikipedia.org/wiki/Spanish_language,reliable,has theme,Source_of_getting
http://en.wikipedia.org/wiki/Spanish_language,errors,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Spanish_language,help expand this article with text translated from the corresponding article in Spanish,has event,Capability
http://en.wikipedia.org/wiki/Mexico,providing an interlanguage link to the source of your translation,has means,Supply
http://en.wikipedia.org/wiki/Mexico,translation,has text,Translating
http://en.wikipedia.org/wiki/Spanish_language,text,has theme,Translating
http://en.wikipedia.org/wiki/Spanish_language,errors,has theme,Being_necessary
http://en.wikipedia.org/wiki/Spanish_language,2023,has time,Importance
http://en.wikipedia.org/wiki/Spanish_language,Machine,has means,Translating
http://en.wikipedia.org/wiki/Spanish_language,Unsourced material,has theme,Removing
http://en.wikipedia.org/wiki/Spanish_language,sources,has theme,Source_of_getting
http://en.wikipedia.org/wiki/Spanish_language,2018,has time,Education_teaching
http://en.wikipedia.org/wiki/Spanish_language,2023,has time,Contacting
