Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Geoffrey_Chaucer,Almost,has theme,Proportional_quantity
http://en.wikipedia.org/wiki/England,poetic matter,has theme,Locating
http://en.wikipedia.org/wiki/The_Canterbury_Tales,http://en.wikipedia.org/wiki/England,has location,Capability
http://en.wikipedia.org/wiki/England,fyndere of our fair langage,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Geoffrey_Chaucer,manuscripts,has text,Text
http://en.wikipedia.org/wiki/The_Canterbury_Tales,finding poetic matter in English,has event,Capability
http://en.wikipedia.org/wiki/Geoffrey_Chaucer,two thousand English words,has theme,Proportional_quantity
http://en.wikipedia.org/wiki/England,Chaucer disambiguation ,has theme,Reference_text
http://en.wikipedia.org/wiki/England,uses,has class,Increment
http://en.wikipedia.org/wiki/London,early,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/England,poet,has text,Text
http://en.wikipedia.org/wiki/England,still,has theme,Continued_state_of_affairs
http://en.wikipedia.org/wiki/The_Canterbury_Tales,precise date and location,has entity,State_continue
http://en.wikipedia.org/wiki/London,some accounts,has theme,Inclusion
http://en.wikipedia.org/wiki/Geoffrey_Chaucer,as crucial in legitimising the literary use of Middle English at a time when the dominant literary languages in England were still Anglo-Norman French and Latin,has category,Grasp
http://en.wikipedia.org/wiki/England,languages,has theme,Locale
http://en.wikipedia.org/wiki/Geoffrey_Chaucer,"scientific A Treatise on the Astrolabe for his ten-year-old son, Lewis",has text,Text_creation
http://en.wikipedia.org/wiki/England,our fair langage,has theme,First_rank
http://en.wikipedia.org/wiki/Geoffrey_Chaucer,Arms,has theme,Body_parts
http://en.wikipedia.org/wiki/London,his monument,has theme,Inclusion
http://en.wikipedia.org/wiki/Westminster_Abbey,other works,has theme,Increment
http://en.wikipedia.org/wiki/Westminster_Abbey,his other works,has theme,Interior_profile_relation
http://en.wikipedia.org/wiki/England,1400,has time,Death
http://en.wikipedia.org/wiki/England,one capable of finding poetic matter in English,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Westminster_Abbey,http://en.wikipedia.org/wiki/Geoffrey_Chaucer,has theme,Change_of_leadership
http://en.wikipedia.org/wiki/Westminster_Abbey,extraordinary,has theme,Instance
http://en.wikipedia.org/wiki/Parliament_of_the_United_Kingdom,member,has member,Membership
http://en.wikipedia.org/wiki/Westminster_Abbey,writer,has theme,Expertise
http://en.wikipedia.org/wiki/England,use of Middle English,has activity,Fields
http://en.wikipedia.org/wiki/England,literary languages in England,has theme,Dominate_situation
http://en.wikipedia.org/wiki/Geoffrey_Chaucer,important wine merchant with a royal appointment,has theme,Becoming
http://en.wikipedia.org/wiki/England,"as "" the firste fyndere of our fair langage "" i.e., the first one capable of finding poetic matter in English",has reason,Judgment_communication
http://en.wikipedia.org/wiki/Westminster_Abbey,be buried in what has since become Poets'Corner in Westminster Abbey,has theme,Ordinal_numbers
http://en.wikipedia.org/wiki/Geoffrey_Chaucer,http://en.wikipedia.org/wiki/England,has location,Grasp
http://en.wikipedia.org/wiki/Geoffrey_Chaucer,http://en.wikipedia.org/wiki/London,has location,Being_born
http://en.wikipedia.org/wiki/Westminster_Abbey,http://en.wikipedia.org/wiki/England,has location,Expertise
http://en.wikipedia.org/wiki/Westminster_Abbey,example,has theme,Instance
http://en.wikipedia.org/wiki/Westminster_Abbey,what,has entity,Becoming
http://en.wikipedia.org/wiki/Westminster_Abbey,Poets'Corner in Westminster Abbey,has theme,Becoming
http://en.wikipedia.org/wiki/England,http://en.wikipedia.org/wiki/Geoffrey_Chaucer,has item,First_rank
http://en.wikipedia.org/wiki/The_Legend_of_Good_Women,Women,has person,People
http://en.wikipedia.org/wiki/Geoffrey_Chaucer,http://en.wikipedia.org/wiki/Westminster_Abbey,has location,Text_creation
http://en.wikipedia.org/wiki/Geoffrey_Chaucer,"his father, John Chaucer",has entity,Becoming
http://en.wikipedia.org/wiki/England,literary,has purpose,Using
http://en.wikipedia.org/wiki/The_Book_of_the_Duchess,Book,has text,Text
http://en.wikipedia.org/wiki/The_Canterbury_Tales,first writer,has theme,Burying
