subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Arriving:has_goal,"U.S., where he settled in Key West, Florida",0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Perception_experience:has_theme,http://en.wikipedia.org/wiki/Ernest_Hemingway,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Supply:has_recipient,Arms,0.9,Unknown,True
http://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,Time_vector:has_event,he spent six months as a reporter for The Kansas City Star before enlisting in the Red Cross,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Travel:has_time,1954,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Labor_product:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Text:has_text,Farewell to Arms,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Aggregate:has_theme,expatriate,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Impact:has_theme,plane,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_entity,novelist,0.9,Unknown,True
http://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,Time_vector:has_theme,before,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Medical_conditions:has_theme,health,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Fields:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Publishing:has_audience,considerable acclaim,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Text:has_text,Old Man and the Sea,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_recipient,http://en.wikipedia.org/wiki/Ernest_Hemingway,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Text:has_time,1954,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Colonization:has_theme,http://en.wikipedia.org/wiki/Ernest_Hemingway,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Labor_product:has_theme,non-fiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Aggregate:has_theme,short-story,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Text:has_theme,1940,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Growing_food:has_location,"Oak Park, Illinois, a suburb of Chicago",0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,People_by_vocation:has_type,ambulance,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Text:has_time,1937,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Rest:has_theme,rest,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Foreign_or_domestic_country:has_time,1921,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Sun_Also_Rises,Win_prize:has_prize,http://en.wikipedia.org/wiki/Pulitzer_Prize_for_Fiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Text:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Motion:has_purpose,cover the Spanish Civil War,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Temporal_subregion:has_theme,20th-century,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Temporal_collocation:has_time,1928,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Fame:has_reason,"economical, understated style that influenced later 20th-century writers",0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Text:has_time,1929,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,First_rank:has_time,1926,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Rest:has_theme,his life,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Subjective_influence:has_entity,"modernist writers and artists of the "" Lost Generation "" expatriate community",0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Text_creation:has_time,1937,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_entity,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Cardinal_numbers:has_entity,successive plane crashes,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Assistance:has_theme,http://en.wikipedia.org/wiki/Ernest_Hemingway,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Travel:has_goal,http://en.wikipedia.org/wiki/Africa,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Labor_product:has_theme,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Supply:has_theme,His experiences during the war,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_time,1961,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Judgment_communication:has_theme,considerable,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Text:has_time,1952,0.9,Unknown,True
http://en.wikipedia.org/wiki/Havana,Topic:has_time,1937,0.9,Unknown,True
http://en.wikipedia.org/wiki/Walter_Mitty,Causation:has_effect,pain and ill health for much of the rest of his life,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Cause_harm:has_theme,http://en.wikipedia.org/wiki/Ernest_Hemingway,0.9,Unknown,True
http://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,Time_vector:has_theme,enlisting in the Red Cross,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Aggregate:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,Time_vector:has_theme,high school,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Cardinal_numbers:has_entity,non-fiction works,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Temporal_collocation:has_theme,"Hemingway was seriously injured in two successive plane crashes, leaving him in pain and ill health for much of the rest of his life",0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Perception_experience:has_time,during the war,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Temporal_collocation:has_theme,1928,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Cardinal_numbers:has_time,1954,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Vehicle:has_time,1954,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Cardinal_numbers:has_theme,two,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Publishing:has_work,"His debut novel, The Sun Also Rises",0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Cause_harm:has_theme,two successive plane crashes,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text:has_text,Hemingway,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Impact:has_time,1954,0.9,Unknown,True
http://en.wikipedia.org/wiki/Havana,Hostile_encounter:has_time,1937,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Assistance:has_time,1918,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Cause_harm:has_time,1954,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Cardinal_numbers:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Create_physical_artwork:has_time,1921,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_entity,author and journalist,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Objective_influence:has_theme,that,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Temporal_collocation:has_theme,1921,0.9,Unknown,True
http://en.wikipedia.org/wiki/Walter_Mitty,Causation:has_theme,http://en.wikipedia.org/wiki/Ernest_Hemingway,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Text_creation:has_theme,modernist,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Publishing:has_work,his novel The Old Man and the Sea,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Temporal_collocation:has_time,1954,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Supply:has_theme,material for his 1929 novel A Farewell,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Text_creation:has_location,"Havana, Cuba",0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Arriving:has_location,Key West,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Cardinal_numbers:has_entity,short-story collections,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Aggregate:has_theme,collections,0.9,Unknown,True
http://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,Becoming_a_member:has_theme,http://en.wikipedia.org/wiki/Ernest_Hemingway,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Temporal_subregion:has_theme,writers,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Create_physical_artwork:has_theme," Lost Generation "" expatriate community",0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Colonization:has_theme,where,0.9,Unknown,True
http://en.wikipedia.org/wiki/Havana,Hostile_encounter:has_theme,Spanish Civil,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Motion:has_goal,http://en.wikipedia.org/wiki/Spain,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Publishing:has_time,1952,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,First_rank:has_item,novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Assistance:has_goal,as an ambulance driver on the Italian Front in World War I,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Aggregate:has_time,1954,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Becoming:has_entity,"Some of his seven novels, six short-story collections and two non-fiction works",0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Motion:has_time,1921,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Cause_harm:has_degree,seriously,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Fields:has_theme,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Cause_harm:has_time,1918,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Temporal_collocation:has_theme,1954 trip to Africa,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Sun_Also_Rises,Win_prize:has_time,1952,0.9,Unknown,True
http://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,Time_vector:has_theme,After,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Motion:has_location,http://en.wikipedia.org/wiki/Havana,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Text:has_text,Whom the Bell Tolls,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Temporal_collocation:has_location,Key West,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Temporal_collocation:has_time,1921,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Temporal_collocation:has_theme,"Hemingway moved to Paris, where he worked as a foreign correspondent for the Toronto Star and was influenced by the modernist writers and artists of the "" Lost Generation "" expatriate community",0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Aggregate:has_theme,community,0.9,Unknown,True
http://en.wikipedia.org/wiki/Havana,Topic:has_theme,"Spanish Civil War, which formed the basis for his 1940 novel For Whom the Bell Tolls, written in Havana, Cuba",0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Cause_harm:has_cause,shrapnel,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Foreign_or_domestic_country:has_theme,foreign,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Supply:has_time,1929,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Text_creation:has_time,1921,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Publishing:has_time,1926,0.9,Unknown,True
http://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,Measure_duration:has_theme,months,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_theme,1954 Nobel Prize in Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Importance:has_location,World War,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,People_by_vocation:has_location,World War,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Reference_text:has_theme,Hemingway (disambiguation),0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Text:has_theme,1929,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Labor_product:has_time,1954,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Cause_harm:has_location,World War,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Fields:has_time,1954,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text:has_time,1961,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Importance:has_theme,wounded by shrapnel in 1918,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Increment:has_class,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Cardinal_numbers:has_theme,two,0.9,Unknown,True
http://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,Cardinal_numbers:has_theme,months,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_time,1954,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Cardinal_numbers:has_theme,seven,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Create_physical_artwork:has_creator,artists,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Cardinal_numbers:has_entity,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Text:has_time,1926,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Colonization:has_time,1928,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Motion:has_time,1937,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Colonization:has_location,"Key West, Florida",0.9,Unknown,True
http://en.wikipedia.org/wiki/Walter_Mitty,Causation:has_time,1954,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Subjective_influence:has_time,1921,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Medical_conditions:has_time,1954,0.9,Unknown,True
http://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,Measure_duration:has_theme,six,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,People_by_vocation:has_time,1918,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Cardinal_numbers:has_theme,six,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Cause_harm:has_degree,seriously,0.9,Unknown,True
http://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,Time_vector:has_event,he spent six months as a reporter for The Kansas City Star,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Importance:has_time,1918,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Text:has_location,http://en.wikipedia.org/wiki/Havana,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Assistance:has_location,World War,0.9,Unknown,True
http://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement,Cardinal_numbers:has_theme,six,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Becoming:has_time,1954,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Strictness:has_theme,http://en.wikipedia.org/wiki/Paris,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Perception_body:has_time,1954,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Becoming:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Medical_conditions:has_patient,http://en.wikipedia.org/wiki/Ernest_Hemingway,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Rest:has_time,1954,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Objective_influence:has_theme,later 20th-century writers,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Cardinal_numbers:has_time,1954,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Arriving:has_time,1928,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Text_creation:has_author,writers,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Fields:has_theme,Literary,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Motion:has_goal,"Paris, where he worked as a foreign correspondent for the Toronto Star and was influenced by the modernist writers and artists of the "" Lost Generation "" expatriate community",0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Vehicle:has_theme,plane,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Perception_body:has_theme,http://en.wikipedia.org/wiki/Ernest_Hemingway,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Aggregate:has_time,1921,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Temporal_collocation:has_theme,"Hemingway returned to the U.S., where he settled in Key West, Florida",0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Sun_Also_Rises,Win_prize:has_competitor,his novel The Old Man and the Sea,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_time,1954,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Text:has_text,Sun Also Rises,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Becoming:has_theme,classics of American literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Text_creation:has_text,his 1940 novel For Whom the Bell Tolls,0.9,Unknown,True
http://en.wikipedia.org/wiki/World_War_I,Judgment_communication:has_time,1952,0.9,Unknown,True
