Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Stephen_King,departure from the genre,has theme,Importance
http://en.wikipedia.org/wiki/Stephen_King,2003,has time,Win_prize
http://en.wikipedia.org/wiki/Stephen_King,1982,has time,Aggregate
http://en.wikipedia.org/wiki/Dolores_Claiborne,awards,has class,Increment
http://en.wikipedia.org/wiki/Stephen_King,his horror novels,has reason,Fame
http://en.wikipedia.org/wiki/Stephen_King,1981,has time,Text_creation
http://en.wikipedia.org/wiki/Dolores_Claiborne,1994,has time,Leadership
http://en.wikipedia.org/wiki/United_States,1947,has time,Being_born
http://en.wikipedia.org/wiki/Stephen_King,other people,has entity,Being_named
http://en.wikipedia.org/wiki/Dolores_Claiborne,inspiration,has theme,Source_of_getting
http://en.wikipedia.org/wiki/Dolores_Claiborne,http://en.wikipedia.org/wiki/Stephen_King,has theme,Publishing
http://en.wikipedia.org/wiki/Dolores_Claiborne,films adapted from King's fiction,has theme,Be_subset_of
http://en.wikipedia.org/wiki/Stephen_King,Stephen King disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Stephen_King,people,has person,People
http://en.wikipedia.org/wiki/Dolores_Claiborne,2003,has time,Inclusion
http://en.wikipedia.org/wiki/Owen_King,King,has competitor,Win_prize
http://en.wikipedia.org/wiki/Dolores_Claiborne,The Man in the Black Suit,has theme,Leadership
http://en.wikipedia.org/wiki/Dolores_Claiborne,under the pseudonym Richard Bachman,has theme,Publishing
http://en.wikipedia.org/wiki/Dolores_Claiborne,"2003 Medal for Distinguished Contribution to American Letters, the 2007 Grand Master Award from the Mystery Writers of America and the 2014 National Medal of Arts",has theme,Inclusion
http://en.wikipedia.org/wiki/Stephen_King,genres,has class,Increment
http://en.wikipedia.org/wiki/Stephen_King,major departure from the genre,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Stephen_King,1982,has time,Importance
http://en.wikipedia.org/wiki/Owen_King,King,has person,Being_born
http://en.wikipedia.org/wiki/Stephen_King,1982,has time,Text
http://en.wikipedia.org/wiki/Stephen_King,four novellas,has theme,Aggregate
http://en.wikipedia.org/wiki/Stephen_King,genres,has theme,Type
http://en.wikipedia.org/wiki/United_States,writer,has entity,Origin
http://en.wikipedia.org/wiki/Owen_King,"Portland, Maine",has location,Being_born
http://en.wikipedia.org/wiki/Dolores_Claiborne,http://en.wikipedia.org/wiki/Stephen_King,has theme,Commemorative
http://en.wikipedia.org/wiki/Stephen_King,names,has theme,Similarity
http://en.wikipedia.org/wiki/Stephen_King,novellas,has text,Text
http://en.wikipedia.org/wiki/Stephen_King,same or similar names,has theme,People
http://en.wikipedia.org/wiki/Dolores_Claiborne,his overall contributions to literature,has theme,Commemorative
http://en.wikipedia.org/wiki/Dolores_Claiborne,2003,has time,Commemorative
http://en.wikipedia.org/wiki/Dolores_Claiborne,literature,has recipient,Giving
http://en.wikipedia.org/wiki/Dolores_Claiborne,continuous,has theme,Source_of_getting
http://en.wikipedia.org/wiki/Dolores_Claiborne,films,has score,Behind_the_scenes
http://en.wikipedia.org/wiki/Stephen_King,primarily,has degree,Fame
http://en.wikipedia.org/wiki/Stephen_King,1982,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/Dolores_Claiborne,1976,has time,Behind_the_scenes
http://en.wikipedia.org/wiki/Stephen_King,horror,has theme,Text
http://en.wikipedia.org/wiki/Stephen_King,collections,has theme,Aggregate
http://en.wikipedia.org/wiki/United_States,popular culture,has entity,Origin
http://en.wikipedia.org/wiki/Stephen_King,nonfiction,has text,Text_creation
http://en.wikipedia.org/wiki/Dolores_Claiborne,"Carrie 1976 , The Shining 1980 , The Dead Zone and Christine both 1983 , Stand by Me 1986 , Misery 1990 , The Shawshank Redemption 1994, Dolores Claiborne 1995 , The Green Mile 1999 , The Mist 2007, and It 2017",has theme,Be_subset_of
http://en.wikipedia.org/wiki/Stephen_King,widely,has degree,Fame
http://en.wikipedia.org/wiki/Stephen_King,King of Horror,has theme,Name_conferral
http://en.wikipedia.org/wiki/Stephen_King,"his overall contributions to literature, including the 2003 Medal for Distinguished Contribution to American Letters, the 2007 Grand Master Award from the Mystery Writers of America and the 2014 National Medal of Arts",has theme,Win_prize
http://en.wikipedia.org/wiki/Dolores_Claiborne,O. Henry,has leader,Leadership
http://en.wikipedia.org/wiki/Dolores_Claiborne,Award,has role,Leadership
http://en.wikipedia.org/wiki/Owen_King,"September 21, 1947",has time,Being_born
http://en.wikipedia.org/wiki/United_States,author,has entity,Origin
http://en.wikipedia.org/wiki/Owen_King,"O. Henry Award for "" The Man in the Black Suit "" 1994 and the Los Angeles Times Book Prize for Mystery/Thriller",has prize,Win_prize
http://en.wikipedia.org/wiki/Stephen_King,honors,has prize,Win_prize
http://en.wikipedia.org/wiki/Joyce_Carol_Oates,King,has entity,Labeling
http://en.wikipedia.org/wiki/Dolores_Claiborne,King,has theme,Be_subset_of
http://en.wikipedia.org/wiki/Stephen_King,sons,has theme,Kinship
http://en.wikipedia.org/wiki/Dolores_Claiborne,authors,has author,Text_creation
http://en.wikipedia.org/wiki/Stephen_King,"approximately 200 short stories, most of which have been published in collections",has text,Text_creation
http://en.wikipedia.org/wiki/Dolores_Claiborne,authors,has class,Increment
http://en.wikipedia.org/wiki/Stephen_King,most of which,has work,Publishing
http://en.wikipedia.org/wiki/Dolores_Claiborne,overall contributions to literature,has theme,Inclusion
http://en.wikipedia.org/wiki/Stephen_King,collections,has theme,Publishing
http://en.wikipedia.org/wiki/Dolores_Claiborne,http://en.wikipedia.org/wiki/Stephen_King,has theme,Giving
http://en.wikipedia.org/wiki/Stephen_King,stories,has theme,Duration_description
http://en.wikipedia.org/wiki/Dolores_Claiborne,American scene,has theme,Source_of_getting
http://en.wikipedia.org/wiki/Stephen_King,collection,has theme,Aggregate
http://en.wikipedia.org/wiki/Stephen_King,names,has type,Identicality
http://en.wikipedia.org/wiki/Stephen_King,"other genres, among them suspense, crime, science-fiction, fantasy, and mystery",has theme,Scrutiny
http://en.wikipedia.org/wiki/United_States,1947,has time,Origin
http://en.wikipedia.org/wiki/Stephen_King,his novels,has reason,Fame
http://en.wikipedia.org/wiki/Dolores_Claiborne,2003,has time,Political_locales
http://en.wikipedia.org/wiki/Peter_Straub,http://en.wikipedia.org/wiki/Stephen_King,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Dolores_Claiborne,1994,has time,Increment
http://en.wikipedia.org/wiki/Dolores_Claiborne,National,has theme,Political_locales
http://en.wikipedia.org/wiki/Stephen_King,author,has text,Text_creation
http://en.wikipedia.org/wiki/United_States,American writer,has person,Being_born
http://en.wikipedia.org/wiki/Joyce_Carol_Oates,"brilliantly rooted, psychologically'realistic'writer for whom the American scene has been a continuous source of inspiration, and American popular culture a vast cornucopia of possibilities",has theme,Labeling
http://en.wikipedia.org/wiki/Dolores_Claiborne,other awards,has theme,Be_subset_of
http://en.wikipedia.org/wiki/Stephen_King,novels,has text,Text
http://en.wikipedia.org/wiki/Dolores_Claiborne,2003,has time,Giving
http://en.wikipedia.org/wiki/Stephen_King,http://en.wikipedia.org/wiki/United_States,has location,Text_creation
http://en.wikipedia.org/wiki/Dolores_Claiborne,1976,has time,Be_subset_of
http://en.wikipedia.org/wiki/Stephen_King,1947,has time,Text_creation
http://en.wikipedia.org/wiki/Stephen_King,"September 21, 1947",has time,Being_born
http://en.wikipedia.org/wiki/Stephen_King,people,has class,Increment
http://en.wikipedia.org/wiki/Dolores_Claiborne,1994,has time,Be_subset_of
http://en.wikipedia.org/wiki/Stephen_King,1974,has time,Making_faces
http://en.wikipedia.org/wiki/Owen_King,11/22/63 2011,has time,Win_prize
