Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,several,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,part,has theme,Part_whole
http://en.wikipedia.org/wiki/Boston_Custom_House,http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,has employee,Being_employed
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,His published works,has theme,Inclusion
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Hawthorne and family,has theme,Taking
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,"Salem, Massachusetts",has location,Being_born
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,their return to Concord in 1860,has theme,Time_vector
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,themes,has theme,Topic
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,suppress it,has goal,Attempt
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,anti- Puritan,has theme,Subjective_influence
"http://en.wikipedia.org/wiki/Salem,_Oregon",that town,has group,Membership
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,before marrying Peabody in 1842,has time,Becoming_a_member
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,"novels, short stories, and a biography of his college friend Franklin Pierce, written for his 1852 campaign for President of the United States, which Pierce won, becoming the 14th president",has theme,Inclusion
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,14th,has theme,Appellations
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,family,has theme,Kinship
http://en.wikipedia.org/wiki/The_Wayside,later,has time,Motion
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,biography of his college friend Franklin Pierce,has text,Text_creation
http://en.wikipedia.org/wiki/President_of_the_United_States,which,has competition,Win_prize
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,stories,has text,Text
http://en.wikipedia.org/wiki/President_of_the_United_States,becoming the 14th president,has theme,Win_prize
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,community,has theme,Aggregate
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,his 1852 campaign for President of the United States,has purpose,Text_creation
http://en.wikipedia.org/wiki/President_of_the_United_States,http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,has theme,Personal_relationship
http://en.wikipedia.org/wiki/The_Wayside,His fiction works,has item,Categorization
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,1850,has time,Publishing
"http://en.wikipedia.org/wiki/Salem,_Oregon",family,has theme,Kinship
http://en.wikipedia.org/wiki/The_Wayside,Wayside,has theme,Interior_profile_relation
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,works,has theme,Labor_product
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,http://en.wikipedia.org/wiki/United_States,has theme,Leadership
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,family long associated with that town,has theme,Being_born
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,1825,has time,Education_teaching
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,novels,has class,Increment
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,president,has type,Appellations
http://en.wikipedia.org/wiki/Boston_Custom_House,before marrying Peabody in 1842,has time,Being_employed
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,President,has leader,Leadership
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,stories,has theme,Duration_description
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,1860,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,that it was not equal to the standard of his later work,has theme,Feeling
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,http://en.wikipedia.org/wiki/Bowdoin_College,has theme,Attributed_information
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,which,has theme,Gathering_up
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,novels,has text,Text
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,1828,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,author,has entity,Origin
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,novelist and short story writer,has entity,Origin
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,moral metaphors,has behavior,Subjective_influence
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,periodicals,has theme,Publishing
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,He published his first work,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,1837,has time,Gathering_up
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,1804,has time,Being_born
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,as Twice-Told Tales,has means,Gathering_up
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,college,has theme,Locale_by_use
