subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Virginia_Euwer_Wolff,Reference_text:has_theme,Virginia Euwer Wolff,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Euwer_Wolff,Text:has_theme,American children's,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_Kingdom,Text_creation:has_text,modernist,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Text_creation:has_time,1941,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sussex,Colonization:has_time,1940,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Prominence:has_time,during the interwar period,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Judgment_communication:has_theme,feminist,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,People_by_age:has_person,Virginia Woolf,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Translating:has_theme,Her work,0.9,Unknown,True
http://en.wikipedia.org/wiki/Leonard_Woolf,Intentionally_create:has_theme,which published much of her work,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Becoming:has_theme,central to 1970s feminist criticism,0.9,Unknown,True
http://en.wikipedia.org/wiki/South_Kensington,Kinship:has_theme,Relatives,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Being_born:has_location,"South Kensington, London",0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,State_continue:has_entity,Her work,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Education_teaching:has_student,http://en.wikipedia.org/wiki/Virginia_Woolf,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Reference_text:has_theme,Virginia Wolf,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Temporal_collocation:has_theme,1904,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sussex,Colonization:has_theme,http://en.wikipedia.org/wiki/Leonard_Woolf,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Activity_start:has_time,1900,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,State_continue:has_state,influential,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Proportional_quantity:has_theme,over,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Membership:has_time,1904,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Being_named:has_time,1941,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sussex,Participation:has_institution,literary circles,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Motion:has_goal,bohemian Bloomsbury district,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Text:has_time,1941,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Motion_directional:has_goal,prominence,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Text:has_theme,feminist,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Reference_text:has_theme,Woolf (disambiguation),0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Labor_product:has_time,1912,0.9,Unknown,True
http://en.wikipedia.org/wiki/Sussex,Activity_ongoing:has_activity,their involvement in literary circles,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Becoming:has_theme,founding member of the influential Bloomsbury Group,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Relative_time:has_theme,death of her father in 1904,0.9,Unknown,True
http://en.wikipedia.org/wiki/Virginia_Woolf,Becoming:has_entity,Her work,0.9,Unknown,True
