subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Philip_K._Dick,Motion:has_theme,his family,0.9,Unknown,True
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Sequence:has_theme,mystical experiences in 1974,0.9,Unknown,True
http://en.wikipedia.org/wiki/Philip_K._Dick,Success_or_failure:has_degree,little,0.9,Unknown,True
http://en.wikipedia.org/wiki/Chicago,Age:has_attribute,age,0.9,Unknown,True
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Age:has_age,53,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Pynchon,Relative_time:has_theme,his death,0.9,Unknown,True
http://en.wikipedia.org/wiki/Hugo_Award_for_Best_Novel,Inclusion:has_theme,acclaim,0.9,Unknown,True
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Philip_K._Dick,Becoming:has_theme,"widelyly regarded as a master of imaginative, paranoid fiction in the vein of Franz Kafka and Thomas Pynchon",0.9,Unknown,True
http://en.wikipedia.org/wiki/Philip_K._Dick,Success_or_failure:has_goal,commercial,0.9,Unknown,True
http://en.wikipedia.org/wiki/Science_fiction,Publishing:has_work,science fiction stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Pynchon,Subordinates_and_superiors:has_theme,http://en.wikipedia.org/wiki/Philip_K._Dick,0.9,Unknown,True
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Relative_time:has_theme,"Dick's work engaged more explicitly with issues of theology, metaphysics, and the nature of reality",0.9,Unknown,True
http://en.wikipedia.org/wiki/Philip_K._Dick,Categorization:has_category,one of the most important figures in 20th-century science fiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/Philip_K._Dick,Becoming:has_time,Following his death,0.9,Unknown,True
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Perception_experience:has_theme,Androids,0.9,Unknown,True
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Perception_experience:has_time,1974,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Pynchon,Death:has_theme,http://en.wikipedia.org/wiki/Philip_K._Dick,0.9,Unknown,True
http://en.wikipedia.org/wiki/Philip_K._Dick,Motion:has_time,young age,0.9,Unknown,True
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Measure_duration:has_time,1974,0.9,Unknown,True
http://en.wikipedia.org/wiki/Science_fiction,Importance:has_theme,20th-century science fiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Relative_time:has_theme,years of drug use and a series of mystical experiences in 1974,0.9,Unknown,True
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Relative_time:has_theme,http://en.wikipedia.org/wiki/Philip_K._Dick,0.9,Unknown,True
http://en.wikipedia.org/wiki/Philip_K._Dick,Work:has_time,1974,0.9,Unknown,True
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Kinship:has_location,http://en.wikipedia.org/wiki/Chicago,0.9,Unknown,True
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Science_fiction,Desirability:has_time,1974,0.9,Unknown,True
http://en.wikipedia.org/wiki/Science_fiction,Text_creation:has_text,short story,0.9,Unknown,True
http://en.wikipedia.org/wiki/Philip_K._Dick,Being_born:has_location,http://en.wikipedia.org/wiki/Chicago,0.9,Unknown,True
http://en.wikipedia.org/wiki/Philip_K._Dick,Motion:has_location,http://en.wikipedia.org/wiki/Chicago,0.9,Unknown,True
http://en.wikipedia.org/wiki/Science_fiction,Duration_description:has_theme,stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Philip_K._Dick,Text:has_text,Man in the High Castle,0.9,Unknown,True
http://en.wikipedia.org/wiki/Hugo_Award_for_Best_Novel,Win_prize:has_competition,"His 1974 novel Flow My Tears, the Policeman Said",0.9,Unknown,True
http://en.wikipedia.org/wiki/Philip_K._Dick,Publishing:has_work,collection of his speculative nonfiction writing on these themes,0.9,Unknown,True
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Point_of_dispute:has_theme,"theology, metaphysics, and the nature of reality",0.9,Unknown,True
http://en.wikipedia.org/wiki/Science_fiction,Publishing:has_time,1952,0.9,Unknown,True
http://en.wikipedia.org/wiki/Thomas_Pynchon,Relative_time:has_theme,"he became ""widely regarded as a master of imaginative, paranoid fiction in the vein of Franz Kafka and Thomas Pynchon ",0.9,Unknown,True
http://en.wikipedia.org/wiki/Philip_K._Dick,Work:has_agent,Dick's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Science_fiction,Circumscribed_existence:has_location,science fiction magazines,0.9,Unknown,True
http://en.wikipedia.org/wiki/Science_fiction,Origin:has_entity,science fiction author,0.9,Unknown,True
http://en.wikipedia.org/wiki/Hugo_Award_for_Best_Novel,Inclusion:has_time,1962,0.9,Unknown,True
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Aggregate:has_theme,his speculative nonfiction writing on these themes,0.9,Unknown,True
http://en.wikipedia.org/wiki/Philip_K._Dick,Text:has_time,2011,0.9,Unknown,True
http://en.wikipedia.org/wiki/Science_fiction,Origin:has_time,1928,0.9,Unknown,True
http://en.wikipedia.org/wiki/Science_fiction,Desirability:has_theme,Science Fiction Novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Judgment_communication:has_time,1962,0.9,Unknown,True
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Text:has_time,1974,0.9,Unknown,True
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Sequence:has_time,1974,0.9,Unknown,True
http://en.wikipedia.org/wiki/Hugo_Award_for_Best_Novel,Win_prize:has_time,1974,0.9,Unknown,True
http://en.wikipedia.org/wiki/Philip_K._Dick,Activity_start:has_time,1952,0.9,Unknown,True
http://en.wikipedia.org/wiki/Philip_K._Dick,Text:has_theme,these themes,0.9,Unknown,True
http://en.wikipedia.org/wiki/San_Francisco_Bay_Area,Age:has_time,1982,0.9,Unknown,True
http://en.wikipedia.org/wiki/Philip_K._Dick,Publishing:has_theme,posthumously,0.9,Unknown,True
