Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Leaves_of_Grass,focused on both loss and healing,has event,Frequency
http://en.wikipedia.org/wiki/Leaves_of_Grass,often,has theme,Emphasizing
http://en.wikipedia.org/wiki/Leaves_of_Grass,collection,has theme,Aggregate
http://en.wikipedia.org/wiki/Walt_Whitman,http://en.wikipedia.org/wiki/Brooklyn,has location,Residence
http://en.wikipedia.org/wiki/Walt_Whitman,expanding and revising Leaves of Grass until his death in 1892,has activity,Activity_ongoing
http://en.wikipedia.org/wiki/Walt_Whitman,which,has item,Categorization
http://en.wikipedia.org/wiki/Walt_Whitman,greatly,has degree,Judgment
http://en.wikipedia.org/wiki/Walt_Whitman,free verse,has theme,Kinship
http://en.wikipedia.org/wiki/Leaves_of_Grass,formal,has level,Education_teaching
http://en.wikipedia.org/wiki/Leaves_of_Grass,teacher,has teacher,Education_teaching
http://en.wikipedia.org/wiki/Leaves_of_Grass,money,has theme,Money
http://en.wikipedia.org/wiki/Leaves_of_Grass,http://en.wikipedia.org/wiki/Walt_Whitman,has employee,Being_employed
http://en.wikipedia.org/wiki/Walt_Whitman,as obscene,has category,Categorization
http://en.wikipedia.org/wiki/Leaves_of_Grass,further,has degree,Improvement_or_decline
http://en.wikipedia.org/wiki/Walt_Whitman,two,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Leaves_of_Grass,wounded,has theme,Cause_harm
http://en.wikipedia.org/wiki/Leaves_of_Grass,suffering a stroke towards the end of his life,has theme,Time_vector
http://en.wikipedia.org/wiki/Walt_Whitman,http://en.wikipedia.org/wiki/Leaves_of_Grass,has item,Cause_expansion
http://en.wikipedia.org/wiki/Leaves_of_Grass,Whitman's influence on poetry,has theme,Level_of_force_exertion
http://en.wikipedia.org/wiki/Walt_Whitman,poetry,has theme,Objective_influence
http://en.wikipedia.org/wiki/Walt_Whitman,work,has goal,Motion
http://en.wikipedia.org/wiki/Leaves_of_Grass,work,has theme,Labor_product
http://en.wikipedia.org/wiki/Leaves_of_Grass,His poetry,has theme,Emphasizing
http://en.wikipedia.org/wiki/Leaves_of_Grass,poems,has text,Text
http://en.wikipedia.org/wiki/Walt_Whitman,go to work,has purpose,Departing
http://en.wikipedia.org/wiki/Leaves_of_Grass,caring for the wounded,has task,Being_employed
http://en.wikipedia.org/wiki/Walt_Whitman,as a child and through much of his career,has time,Residence
http://en.wikipedia.org/wiki/Walt_Whitman,two novels,has text,Text_creation
http://en.wikipedia.org/wiki/Leaves_of_Grass,"Whitman's major poetry collection, Leaves of Grass",has work,Publishing
http://en.wikipedia.org/wiki/United_States,literature,has entity,Origin
http://en.wikipedia.org/wiki/Walt_Whitman,whom,has evaluee,Judgment
http://en.wikipedia.org/wiki/Leaves_of_Grass,http://en.wikipedia.org/wiki/Walt_Whitman,has patient,Medical_conditions
http://en.wikipedia.org/wiki/Leaves_of_Grass,poetry,has theme,Aggregate
http://en.wikipedia.org/wiki/Leaves_of_Grass,both loss and healing,has theme,Emphasizing
http://en.wikipedia.org/wiki/Walt_Whitman,father of free verse,has theme,Labeling
