Source,Target,Label,Frame
"http://en.wikipedia.org/wiki/Glenside,_Bristol",Harper's,has theme,Text
"http://en.wikipedia.org/wiki/Glenside,_Bristol",registering for the class,has theme,Emotion_directed
http://en.wikipedia.org/wiki/United_States,her private life,has theme,Inclusion
http://en.wikipedia.org/wiki/Anne_Sexton,Alfred Muller Sexton II,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Anne_Sexton,husband,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Anne_Sexton,1901,has time,Being_born
http://en.wikipedia.org/wiki/Anne_Sexton,together,has state,State_continue
http://en.wikipedia.org/wiki/United_States,1953,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/United_States,manic episode,has type,Ordinal_numbers
"http://en.wikipedia.org/wiki/Glenside,_Bristol",1955,has time,Medical_professionals
http://en.wikipedia.org/wiki/Anne_Sexton,1928,has time,Reference_text
http://en.wikipedia.org/wiki/Linda_Gray_Sexton,Poetry Sexton,has entity,Eventive_affecting
http://en.wikipedia.org/wiki/United_States,whom,has theme,Rape
http://en.wikipedia.org/wiki/American_poetry,1923,has time,Kinship
http://en.wikipedia.org/wiki/Linda_Gray_Sexton,severe bipolar disorder,has event,Eventive_affecting
"http://en.wikipedia.org/wiki/Glenside,_Bristol",http://en.wikipedia.org/wiki/Linda_Gray_Sexton,has theme,Cotheme
http://en.wikipedia.org/wiki/American_poetry,http://en.wikipedia.org/wiki/United_States,has theme,Origin
"http://en.wikipedia.org/wiki/Glenside,_Bristol",friend,has addressee,Request
"http://en.wikipedia.org/wiki/Glenside,_Bristol",friend,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Anne_Sexton,until 1973,has theme,State_continue
http://en.wikipedia.org/wiki/Boston_University,later,has time,Education_teaching
"http://en.wikipedia.org/wiki/Glenside,_Bristol",1955,has time,Becoming
http://en.wikipedia.org/wiki/United_States,her first manic episode,has event,Event
http://en.wikipedia.org/wiki/Anne_Sexton,children,has theme,Kinship
http://en.wikipedia.org/wiki/Anne_Sexton,http://en.wikipedia.org/wiki/United_States,has location,Text
http://en.wikipedia.org/wiki/Anne_Sexton,"August 16, 1948",has time,Personal_relationship
"http://en.wikipedia.org/wiki/Glenside,_Bristol",first session,has goal,Cotheme
http://en.wikipedia.org/wiki/United_States,bipolar disorder,has theme,Hostile_encounter
http://en.wikipedia.org/wiki/United_States,1954,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/United_States,"Her second child, Joyce Ladd Sexton, was born",has event,Time_vector
"http://en.wikipedia.org/wiki/Glenside,_Bristol",http://en.wikipedia.org/wiki/Anne_Sexton,has theme,Make_acquaintance
http://en.wikipedia.org/wiki/United_States,1954,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/United_States,http://en.wikipedia.org/wiki/Anne_Sexton,has theme,Hostile_encounter
http://en.wikipedia.org/wiki/United_States,singer,has speaker,Communication_manner
http://en.wikipedia.org/wiki/Anne_Sexton,1948,has time,State_continue
"http://en.wikipedia.org/wiki/Glenside,_Bristol",Glenside,has theme,Buildings
http://en.wikipedia.org/wiki/Linda_Gray_Sexton,"great trepidation about registering for the class, asking a friend to make the phone call and accompany her to the first session",has evaluation,Feeling
http://en.wikipedia.org/wiki/American_poetry,1928,has time,Fame
http://en.wikipedia.org/wiki/Anne_Sexton,1928,has time,Text
"http://en.wikipedia.org/wiki/Glenside,_Bristol",make the phone call and accompany her to the first session,has message,Request
