Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Emily_Dickinson,her family's home in Amherst,has goal,Arriving
http://en.wikipedia.org/wiki/American_poetry,family,has theme,Kinship
http://en.wikipedia.org/wiki/Thomas_Wentworth_Higginson,Thomas H. Johnson,has person,People_by_vocation
http://en.wikipedia.org/wiki/American_poetry,complete,has theme,Aggregate
http://en.wikipedia.org/wiki/Emily_Dickinson,1955,has time,Text
http://en.wikipedia.org/wiki/American_poetry,publications during her lifetime,has type,Sole_instance
http://en.wikipedia.org/wiki/American_poetry,often,has theme,Using
http://en.wikipedia.org/wiki/American_poetry,writer,has theme,Expertise
http://en.wikipedia.org/wiki/Emily_Dickinson,"Lavinia, Dickinson's younger sister",has theme,Becoming_aware
http://en.wikipedia.org/wiki/American_poetry,guests,has theme,Guest_and_host
http://en.wikipedia.org/wiki/American_poetry,her poetry,has theme,Aggregate
http://en.wikipedia.org/wiki/American_poetry,Many of her poems,has cause,Resolve_problem
http://en.wikipedia.org/wiki/American_poetry,most,has theme,Partitive
http://en.wikipedia.org/wiki/American_poetry,poems,has work,Publishing
http://en.wikipedia.org/wiki/Emily_Dickinson,locals,has theme,Categorization
http://en.wikipedia.org/wiki/Emily_Dickinson,poems,has text,Text
"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",ties,has theme,Social_connection
http://en.wikipedia.org/wiki/American_poetry,clothing,has theme,Clothing
"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",family,has theme,Kinship
http://en.wikipedia.org/wiki/Emily_Dickinson,briefly,has theme,Attending
http://en.wikipedia.org/wiki/Emily_Dickinson,"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",has location,Attending
http://en.wikipedia.org/wiki/American_poetry,poet,has entity,Origin
"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",its community,has theme,Social_connection
http://en.wikipedia.org/wiki/American_poetry,collection of her poetry,has theme,Completeness
http://en.wikipedia.org/wiki/United_States,http://en.wikipedia.org/wiki/Emily_Dickinson,has text,Text
http://en.wikipedia.org/wiki/American_poetry,1955,has time,Completeness
http://en.wikipedia.org/wiki/Thomas_Wentworth_Higginson,Thomas Wentworth Higginson and Mabel Loomis Todd,has author,Text_creation
http://en.wikipedia.org/wiki/Emily_Dickinson,Dickinson's acquaintances,has theme,Awareness
http://en.wikipedia.org/wiki/American_poetry,letter,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/American_poetry,clothing,has entity,Color
http://en.wikipedia.org/wiki/Thomas_Wentworth_Higginson,1955,has time,Text
http://en.wikipedia.org/wiki/Emily_Dickinson,"her reluctance to greet guests or, later in life, even to leave her bedroom",has theme,Being_named
http://en.wikipedia.org/wiki/Emily_Dickinson,poetry,has text,Text
http://en.wikipedia.org/wiki/Thomas_Wentworth_Higginson,1955,has time,People_by_vocation
http://en.wikipedia.org/wiki/Emily_Dickinson,her cache of poems,has theme,Becoming_aware
http://en.wikipedia.org/wiki/Emily_Dickinson,before returning to her family's home in Amherst,has time,Attending
http://en.wikipedia.org/wiki/Emily_Dickinson,http://en.wikipedia.org/wiki/United_States,has theme,People_by_vocation
http://en.wikipedia.org/wiki/American_poetry,her friendships,has group,Partitive
"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",seven,has theme,Measure_duration
http://en.wikipedia.org/wiki/American_poetry,her poems,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Emily_Dickinson,became available in 1955 when scholar Thomas H. Johnson published The Poems of Emily Dickinson,has theme,First_experience
http://en.wikipedia.org/wiki/American_poetry,"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",has location,Kinship
http://en.wikipedia.org/wiki/Thomas_Wentworth_Higginson,Poems of Emily Dickinson,has text,Text
http://en.wikipedia.org/wiki/Emily_Dickinson,"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",has location,Arriving
http://en.wikipedia.org/wiki/American_poetry,poems,has agent,Using
http://en.wikipedia.org/wiki/American_poetry,Her poems,has theme,Idiosyncrasy
http://en.wikipedia.org/wiki/American_poetry,letters,has text,Text
http://en.wikipedia.org/wiki/American_poetry,then,has time,Publishing
http://en.wikipedia.org/wiki/American_poetry,poetry,has theme,Aggregate
http://en.wikipedia.org/wiki/American_poetry,poems,has text,Text
http://en.wikipedia.org/wiki/American_poetry,her friends,has theme,Text
"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",strong,has degree,Social_connection
http://en.wikipedia.org/wiki/American_poetry,friends,has theme,Personal_relationship
http://en.wikipedia.org/wiki/American_poetry,http://en.wikipedia.org/wiki/United_States,has location,Origin
http://en.wikipedia.org/wiki/American_poetry,poems published then,has text,Text_creation
http://en.wikipedia.org/wiki/American_poetry,bedroom,has theme,Building_subparts
http://en.wikipedia.org/wiki/American_poetry,letter,has text,Text
http://en.wikipedia.org/wiki/American_poetry,her work,has entity,Becoming
http://en.wikipedia.org/wiki/American_poetry,http://en.wikipedia.org/wiki/Emily_Dickinson,has item,Categorization
http://en.wikipedia.org/wiki/Emily_Dickinson,poems,has owner,Possession
http://en.wikipedia.org/wiki/American_poetry,1955,has time,Aggregate
"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",community,has theme,Aggregate
http://en.wikipedia.org/wiki/Emily_Dickinson,publications,has text,Text
http://en.wikipedia.org/wiki/American_poetry,lines,has theme,Boundary
http://en.wikipedia.org/wiki/American_poetry,available,has theme,Becoming
http://en.wikipedia.org/wiki/American_poetry,when scholar Thomas H. Johnson published The Poems of Emily Dickinson,has time,Becoming
http://en.wikipedia.org/wiki/American_poetry,titles,has document,Documents
http://en.wikipedia.org/wiki/Emily_Dickinson,"greet guests or, later in life, even to leave her bedroom",has activity,Willingness
http://en.wikipedia.org/wiki/American_poetry,fit conventional poetic rules,has purpose,Text_creation
http://en.wikipedia.org/wiki/Emily_Dickinson,"Emily Elizabeth Dickinson December 10, 1830 – May 15, 1886 ",has person,People_by_vocation
http://en.wikipedia.org/wiki/Emily_Dickinson,Considered an eccentric by locals,has theme,Coming_to_be
http://en.wikipedia.org/wiki/Emily_Dickinson,Thomas Wentworth Higginson and Mabel Loomis Todd,has entity,Familiarity
http://en.wikipedia.org/wiki/American_poetry,"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",has location,Prominence
http://en.wikipedia.org/wiki/American_poetry,poetry,has entity,Origin
http://en.wikipedia.org/wiki/American_poetry,published,has theme,Aggregate
http://en.wikipedia.org/wiki/American_poetry,Evidence,has theme,Evidence
http://en.wikipedia.org/wiki/American_poetry,poetry,has text,Text
http://en.wikipedia.org/wiki/American_poetry,use slant rhyme as well as unconventional capitalization and punctuation,has event,Frequency
http://en.wikipedia.org/wiki/Emily_Dickinson,her writing,has theme,Awareness
"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",years,has theme,Measure_duration
http://en.wikipedia.org/wiki/American_poetry,locals,has entity,Indigenous_origin
http://en.wikipedia.org/wiki/American_poetry,leave her bedroom,has event,Time_vector
http://en.wikipedia.org/wiki/American_poetry,as one of the most important figures in American poetry,has category,Categorization
http://en.wikipedia.org/wiki/American_poetry,10,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Thomas_Wentworth_Higginson,content,has text,Text_creation
http://en.wikipedia.org/wiki/American_poetry,http://en.wikipedia.org/wiki/Emily_Dickinson,has theme,Kinship
"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",http://en.wikipedia.org/wiki/Amherst_College,has institution,Studying
"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",prominent family,has theme,Social_connection
"http://en.wikipedia.org/wiki/Amherst,_Massachusetts",home,has theme,Buildings
