Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Clarice_Lispector,1920,has time,Being_born
http://en.wikipedia.org/wiki/Family_Ties,http://en.wikipedia.org/wiki/Clarice_Lispector,has theme,Cause_harm
http://en.wikipedia.org/wiki/Europe,1944,has time,Relative_time
http://en.wikipedia.org/wiki/Family_Ties,"novels and stories, including the celebrated gua Viva",has work,Publishing
http://en.wikipedia.org/wiki/Family_Ties,pain,has event,Frequency
http://en.wikipedia.org/wiki/Benjamin_Moser,2009,has theme,Text
http://en.wikipedia.org/wiki/Rio_de_Janeiro,law,has law,Law
http://en.wikipedia.org/wiki/Brazil,http://en.wikipedia.org/wiki/Rio_de_Janeiro,has location,Interior_profile_relation
http://en.wikipedia.org/wiki/Europe,10,has theme,Measure_duration
http://en.wikipedia.org/wiki/Family_Ties,Several of her works,has entity,Cause_change
http://en.wikipedia.org/wiki/Podolia,pogroms,has theme,Committing_crime
http://en.wikipedia.org/wiki/Rio_de_Janeiro,novel,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Clarice_Lispector,http://en.wikipedia.org/wiki/Rio_de_Janeiro,has location,Text
http://en.wikipedia.org/wiki/Benjamin_Moser,writer Benjamin Moser,has entity,Origin
http://en.wikipedia.org/wiki/Clarice_Lispector,publishing her first journalistic work and short stories,has activity,Activity_start
http://en.wikipedia.org/wiki/Ukraine,style and language that,has item,Categorization
http://en.wikipedia.org/wiki/Family_Ties,accident,has cause,Cause_harm
http://en.wikipedia.org/wiki/Ukraine,revolutionary,has category,Categorization
http://en.wikipedia.org/wiki/Rio_de_Janeiro,http://en.wikipedia.org/wiki/Clarice_Lispector,has theme,Publishing
http://en.wikipedia.org/wiki/Europe,decade,has theme,Measure_duration
http://en.wikipedia.org/wiki/Europe,1944,has time,Part_whole
http://en.wikipedia.org/wiki/Rio_de_Janeiro,"her first novel, Near to the Wild Heart  Perto do Coraço Selvagem ",has work,Publishing
http://en.wikipedia.org/wiki/Clarice_Lispector,journalistic,has theme,Labor_product
http://en.wikipedia.org/wiki/Family_Ties,last,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Clarice_Lispector,works,has entity,Distinctiveness
http://en.wikipedia.org/wiki/Clarice_Lispector,following her marriage to a Brazilian diplomat,has time,Departing
http://en.wikipedia.org/wiki/Family_Ties,1977,has time,Death
http://en.wikipedia.org/wiki/Family_Ties,1966,has time,Inclusion
http://en.wikipedia.org/wiki/Clarice_Lispector,Jewish family,has theme,Being_born
http://en.wikipedia.org/wiki/Rio_de_Janeiro,as an interior monologue in a style and language that was considered revolutionary in Brazil,has theme,Text_creation
http://en.wikipedia.org/wiki/Europe,her marriage to a Brazilian diplomat,has theme,Relative_time
http://en.wikipedia.org/wiki/Rio_de_Janeiro,law school in Rio,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Brazil,style and language that was considered revolutionary,has theme,Interior_profile_relation
http://en.wikipedia.org/wiki/Clarice_Lispector,http://en.wikipedia.org/wiki/Europe,has location,Departing
http://en.wikipedia.org/wiki/Rio_de_Janeiro,23,has age,Age
http://en.wikipedia.org/wiki/Ukraine,family,has theme,Kinship
http://en.wikipedia.org/wiki/Clarice_Lispector,mother,has theme,Kinship
http://en.wikipedia.org/wiki/Rio_de_Janeiro,when she was in her teens,has time,Motion
http://en.wikipedia.org/wiki/Clarice_Lispector,1966,has time,Text_creation
