Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Marcel_Proust,critics and writers,has theme,Categorization
http://en.wikipedia.org/wiki/Marcel_Proust,1908,has time,Activity_start
http://en.wikipedia.org/wiki/Marcel_Proust,who,has theme,Scrutiny
http://en.wikipedia.org/wiki/Marcel_Proust,Proust disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Marcel_Proust,his later novel,has theme,Supply
http://en.wikipedia.org/wiki/Marcel_Proust,narrator's,has theme,Memory
http://en.wikipedia.org/wiki/Marcel_Proust,du temps perdu,has theme,Research
http://en.wikipedia.org/wiki/Adrien_Proust,have a disrupted education,has effect,Causation
http://en.wikipedia.org/wiki/Marcel_Proust,his later novel,has product,Subjective_influence
http://en.wikipedia.org/wiki/Marcel_Proust,his brother Robert,has theme,Publishing
http://en.wikipedia.org/wiki/Marcel_Proust,asthma,has theme,Attack
http://en.wikipedia.org/wiki/Marcel_Proust,volumes,has theme,Remainder
http://en.wikipedia.org/wiki/Marcel_Proust,inspiration and material,has theme,Supply
http://en.wikipedia.org/wiki/Catholic_Church,http://en.wikipedia.org/wiki/Marcel_Proust,has theme,Causation
http://en.wikipedia.org/wiki/Marcel_Proust,works,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Adrien_Proust,atheist,has theme,Becoming
http://en.wikipedia.org/wiki/Les_plaisirs_et_les_jours,"His first works, including the collection of stories Les plaisirs et les jours",has work,Publishing
http://en.wikipedia.org/wiki/Adrien_Proust,http://en.wikipedia.org/wiki/Marcel_Proust,has entity,Becoming
http://en.wikipedia.org/wiki/Marcel_Proust,posthumously,has time,Publishing
http://en.wikipedia.org/wiki/Marcel_Proust,seven volumes,has theme,Publishing
http://en.wikipedia.org/wiki/Adrien_Proust,mother,has theme,Kinship
http://en.wikipedia.org/wiki/In_Search_of_Lost_Time,1908,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Adrien_Proust,works,has theme,Labor_product
http://en.wikipedia.org/wiki/Marcel_Proust,1890s,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Marcel_Proust,These social connections,has theme,Supply
http://en.wikipedia.org/wiki/Marcel_Proust,later,has theme,Time_vector
http://en.wikipedia.org/wiki/Marcel_Proust,asthma,has theme,Medical_conditions
http://en.wikipedia.org/wiki/Robert,remaining volumes,has process,Cause_to_resume
http://en.wikipedia.org/wiki/Robert,based on drafts and proofs,has means,Cause_to_resume
http://en.wikipedia.org/wiki/Adrien_Proust,father,has theme,Kinship
http://en.wikipedia.org/wiki/Marcel_Proust,elite Parisian high society salons frequented by aristocrats and the upper bourgeoisie,has location,Motion
http://en.wikipedia.org/wiki/Marcel_Proust,1908,has time,Research
http://en.wikipedia.org/wiki/Marcel_Proust,novel,has text,Text
http://en.wikipedia.org/wiki/Adrien_Proust,later,has time,Becoming
http://en.wikipedia.org/wiki/Adrien_Proust,http://en.wikipedia.org/wiki/Marcel_Proust,has theme,Kinship
http://en.wikipedia.org/wiki/Les_plaisirs_et_les_jours,stories Les plaisirs et les jours,has theme,Aggregate
http://en.wikipedia.org/wiki/Marcel_Proust,work on la recherche du temps perdu,has activity,Activity_start
http://en.wikipedia.org/wiki/Marcel_Proust,he later became an atheist,has theme,Concessive
http://en.wikipedia.org/wiki/Marcel_Proust,initial sections,has entity,Coming_to_be
http://en.wikipedia.org/wiki/Adrien_Proust,brother,has theme,Kinship
http://en.wikipedia.org/wiki/Marcel_Proust,English,has location,Text
http://en.wikipedia.org/wiki/Adrien_Proust,http://en.wikipedia.org/wiki/Marcel_Proust,has agent,Labor_product
http://en.wikipedia.org/wiki/Les_plaisirs_et_les_jours,collection of stories Les plaisirs et les jours,has theme,Inclusion
http://en.wikipedia.org/wiki/Marcel_Proust,These social connections,has theme,Subjective_influence
http://en.wikipedia.org/wiki/Adrien_Proust,novel,has text,Text
http://en.wikipedia.org/wiki/Marcel_Proust,literature and writing,has theme,Emotion_directed
http://en.wikipedia.org/wiki/Marcel_Proust,wealthy bourgeois family,has theme,Being_born
http://en.wikipedia.org/wiki/Marcel_Proust,connections,has theme,Social_connection
http://en.wikipedia.org/wiki/Robert,his brother Robert,has agent,Cause_to_resume
http://en.wikipedia.org/wiki/Marcel_Proust,http://en.wikipedia.org/wiki/20th_century_in_literature,has time,Subjective_influence
http://en.wikipedia.org/wiki/Marcel_Proust,novel,has event,Time_vector
