subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/National_Book_Award,Attention:has_theme,miniaturist ’s,0.9,Unknown,True
http://en.wikipedia.org/wiki/Neustadt_International_Prize_for_Literature,Finish_competition:has_location,Poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/Neustadt_International_Prize_for_Literature,Finish_competition:has_competition,Poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Award,Differentiation:has_quality,"tranquil observation, craft-like accuracy, care for the small things of the world, a miniaturist ’s discretion and attention",0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Award,Relative_time:has_time,1916,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text:has_time,1911,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nova_Scotia,Separating:has_theme,http://en.wikipedia.org/wiki/Elizabeth_Bishop,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dwight_Garner_(critic),Reasoning:has_theme,"that she was perhaps "" the most purely gifted poet of the 20th century",0.9,Unknown,True
http://en.wikipedia.org/wiki/Elizabeth_Bishop,Kinship:has_theme,mother,0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Award,Fame:has_reason,its careful attention to detail,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text:has_text,poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Worcester,Sole_instance:has_type,child,0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Award,Time_vector:has_event,"write about the time of her mother's struggles in her short story "" In the Village",0.9,Unknown,True
http://en.wikipedia.org/wiki/Nova_Scotia,Causation:has_cause,her separation from her maternal grandparents,0.9,Unknown,True
http://en.wikipedia.org/wiki/Worcester,Recording:has_theme,Her time in Worcester,0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Award,Text:has_time,1949,0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Award,Relative_time:has_theme,"her father, a successful builder, died when she was eight months old",0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Award,Calendric_unit:has_time,2018,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bishop,Being_born:has_location,"Worcester, Massachusetts",0.9,Unknown,True
http://en.wikipedia.org/wiki/Bishop,Statement:has_theme,time of her mother's struggles,0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Award,Fame:has_entity,her poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nova_Scotia,Causation:has_effect,lonely,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elizabeth_Bishop,Text:has_location,http://en.wikipedia.org/wiki/Worcester,0.9,Unknown,True
http://en.wikipedia.org/wiki/Worcester,Recording:has_theme,"her poem "" In the Waiting Room ",0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Award,Hostile_encounter:has_theme,her mother's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bishop,Increment:has_time,1911,0.9,Unknown,True
http://en.wikipedia.org/wiki/Worcester,Recording:has_theme,briefly,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bishop,Increment:has_class,people,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bishop,Being_born:has_theme,William Thomas and Gertrude May (Bulmer) Bishop,0.9,Unknown,True
http://en.wikipedia.org/wiki/Worcester,Interior_profile_relation:has_theme,she was living,0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Award,Calendric_unit:has_theme,century,0.9,Unknown,True
http://en.wikipedia.org/wiki/Worcester,Medical_conditions:has_theme,asthma,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elizabeth_Bishop,Text_creation:has_author,"Elizabeth Bishop (February 8, 1911 – October 6, 1979 )",0.9,Unknown,True
http://en.wikipedia.org/wiki/Bishop,People:has_person,people,0.9,Unknown,True
http://en.wikipedia.org/wiki/Worcester,Medical_conditions:has_theme,"chronic asthma, from which she suffered for the rest of her life",0.9,Unknown,True
http://en.wikipedia.org/wiki/National_Book_Award,Success_or_failure:has_agent,builder,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bishop,State_continue:has_state,asylum,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nova_Scotia,Time_vector:has_event,Bishop's paternal family gained custody,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bishop,Becoming:has_theme,mentally ill,0.9,Unknown,True
http://en.wikipedia.org/wiki/Worcester,Medical_conditions:has_theme,chronic,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bishop,Statement:has_time,later,0.9,Unknown,True
http://en.wikipedia.org/wiki/Great_Village,Topic:has_theme,http://en.wikipedia.org/wiki/Elizabeth_Bishop,0.9,Unknown,True
http://en.wikipedia.org/wiki/Neustadt_International_Prize_for_Literature,Finish_competition:has_prize,Pulitzer Prize,0.9,Unknown,True
