subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Golden_Horde,Quitting:has_purpose,serve Vasily II of Moscow,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ivan_Turgenev,Kinship:has_theme,Ivan Ivanovich Lutovinov,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ivan_Turgenev,Age:has_entity,Turgenev family,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Documents:has_theme,Sportsman's Sketches,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Being_named:has_theme,http://en.wikipedia.org/wiki/Ivan_Turgenev,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Kinship:has_location,http://en.wikipedia.org/wiki/Oryol,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Fields:has_theme,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Difficulty:has_activity,childhood,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ivan_Turgenev,Origin:has_theme,wealthy noble Lutovinov house of the Oryol Governorate,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Text:has_text,story,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ivan_Turgenev,Personal_relationship:has_time,1816,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Aggregate:has_theme,short story,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Text:has_text,fiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ivan_Turgenev,Age:has_attribute,old,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Buildings:has_theme,house,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Assistance:has_theme,Lev Turgen (Ivan Turgenev after his baptism),0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Text:has_theme,19th-century,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Kinship:has_theme,mother,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Luck:has_theme,huge,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Labor_product:has_theme,major,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ivan_Turgenev,Text:has_text,Fathers and Sons,0.9,Unknown,True
http://en.wikipedia.org/wiki/Fathers_and_Sons_(novel),Categorization:has_item,His novel Fathers and Sons (1862),0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavic_languages,Relative_time:has_theme,left his house,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ivan_Turgenev,Kinship:has_theme,ancestor,0.9,Unknown,True
