subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/James_Baldwin,Reference_text:has_theme,James Baldwin (disambiguation),0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_entity,writer,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Create_physical_artwork:has_creator,artists,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Objective_influence:has_theme,that,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Fame:has_time,1955,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Age:has_location,http://en.wikipedia.org/wiki/Harlem,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Judgment_communication:has_reason,"his essays, novels, plays, and poems",0.9,Unknown,True
http://en.wikipedia.org/wiki/Beale_Street,Being_named:has_entity,2018 film,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beale_Street,Judgment_communication:has_theme,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Text:has_time,2016,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,People:has_theme,same name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beale_Street,Being_named:has_theme,name,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Being_named:has_theme,name,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Occupy_rank:has_time,1953,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Indigenous_origin:has_entity,Son,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beale_Street,Behind_the_scenes:has_product,same name,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Assistance:has_theme,His 1955 essay collection Notes of a Native Son,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Text:has_time,1924,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Confronting_problem:has_theme,typically,0.9,Unknown,True
http://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Documentary,Win_prize:has_competitor,His unfinished manuscript Remember This House,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Occupy_rank:has_item,100 English-language novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Assessing:has_time,1953,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,People:has_person,people,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beale_Street,Separating:has_time,1903,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Arriving:has_time,when she was 19 years old,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Text:has_text,essay,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Text:has_text,If Beale Street Could Talk,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Intentionally_create:has_theme,intricate narratives that influenced both the civil rights movement and the gay liberation movement in mid-twentieth century America,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Text:has_text,Go Tell It on the Mountain,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Assessing:has_standard,as one of the top 100 English-language novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beale_Street,Cause_change_of_phase:has_patient,His 1974 novel If Beale Street Could Talk,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Assessing:has_theme,His 1953 novel Go Tell It on the Mountain,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Objective_influence:has_theme,artists and writers,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Being_born:has_time,"August 2, 1924",0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Scrutiny:has_theme,self- and social acceptance,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Text:has_theme,1953,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Arriving:has_goal,"Harlem, New York",0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Aggregate:has_theme,collection,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Intentionally_create:has_theme,his reputation as a voice for human equality,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emma_Davies_(cyclist),Being_born:has_person,Emma Jones,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Performing_arts:has_theme,plays,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beale_Street,Interior_profile_relation:has_theme,http://en.wikipedia.org/wiki/Southern_United_States,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Being_born:has_theme,Emma Berdis Jones,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beale_Street,Identicality:has_type,name,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Text:has_theme,1974,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Objective_influence:has_theme,Baldwin's work,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beale_Street,Interior_profile_relation:has_time,1903,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Text:has_text,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Text:has_time,1953,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Identicality:has_type,name,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Text:has_theme,1956,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Text_creation:has_author,"James Arthur Baldwin ( né Jones ; August 2, 1924 – December 1, 1987",0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Fame:has_reason,as a voice for human equality,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Text:has_text,essays,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Objective_influence:has_theme,both the civil rights movement and the gay liberation movement in mid-twentieth century America,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beale_Street,Behind_the_scenes:has_time,2018,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Confronting_problem:has_agent,His characters,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Intentionally_create:has_role,as the 2016 documentary film I Am Not Your Negro,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Performing_arts:has_time,1924,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Text:has_time,1974,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emma_Davies_(cyclist),Being_born:has_location,"Deal Island, Maryland",0.9,Unknown,True
http://en.wikipedia.org/wiki/Great_Migration_(African_American),Fleeing:has_theme,who,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Assistance:has_goal,establish his reputation as a voice for human equality,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Text:has_time,1956,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beale_Street,Interior_profile_relation:has_theme,racial segregation and discrimination,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beale_Street,Judgment_communication:has_degree,widespread,0.9,Unknown,True
http://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Documentary,Win_prize:has_competition,BAFTA Award for Best Documentary,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_time,1924,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Intentionally_create:has_theme,His unfinished manuscript Remember This House,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Point_of_dispute:has_theme,questions,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Intentionally_create:has_time,2016,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beale_Street,Judgment_communication:has_time,1974,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Arriving:has_location,http://en.wikipedia.org/wiki/Harlem,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Cause_expansion:has_time,2016,0.9,Unknown,True
http://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Documentary,Win_prize:has_time,2016,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Age:has_age,19 years,0.9,Unknown,True
http://en.wikipedia.org/wiki/Great_Migration_(African_American),Fleeing:has_time,during the Great Migration,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Text:has_time,1955,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Judgment_communication:has_time,1924,0.9,Unknown,True
http://en.wikipedia.org/wiki/Beale_Street,Separating:has_criterion,racial,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Text:has_time,1953,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Subjective_influence:has_entity,public figure and orator,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Indigenous_origin:has_time,1955,0.9,Unknown,True
http://en.wikipedia.org/wiki/Great_Migration_(African_American),Fleeing:has_theme,racial segregation and discrimination in the South,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Text:has_theme,English-language,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Aggregate:has_time,1955,0.9,Unknown,True
http://en.wikipedia.org/wiki/Harlem,Measure_duration:has_theme,years,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Confronting_problem:has_purpose,their search for self- and social acceptance,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Baldwin,Labor_product:has_agent,Baldwin,0.9,Unknown,True
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Point_of_dispute:has_theme,personal,0.9,Unknown,True
